Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,06:50,1,1,0,1,0,0,1,1,6121,58
Durzi Sean,LA,Player,17:17,0,0,0,0,0,0,0,9,6611,82
Doughty Drew,LA,Player,25:22,0,1,0,-2,0,0,1,7,216,294
Kopitar Anze,LA,Player,22:48,0,1,0,0,0,0,6,3,2287,298
Lemieux Brendan,LA,Player,14:22,0,0,0,-2,0,0,0,2,1391,443
Edler Alexander,LA,Player,26:05,0,0,0,-3,0,0,0,3,3842,611
Roy Matt,LA,Player,18:14,0,0,0,-4,0,0,0,3,4118,728
Moore Trevor,LA,Player,12:46,0,1,0,0,0,0,1,0,3034,732
Fiala Kevin,LA,Player,19:24,0,0,0,-1,0,0,0,1,2511,803
Lizotte Blake,LA,Player,06:30,0,0,0,-2,0,0,0,0,1333,1149
Anderson Mikey,LA,Player,19:13,0,0,0,-3,0,0,0,4,6513,1866
Kempe Adrian,LA,Player,28:18,1,0,0,0,0,0,2,1,6129,2020
Bjornfot Tobias,LA,Player,15:47,0,1,0,0,0,0,0,2,6530,2222
Kaliyev Arthur,LA,Player,09:29,0,0,0,-3,0,0,1,2,6567,2354
Kupari Rasmus,LA,Player,06:02,1,1,0,1,0,0,2,0,6581,2405
Byfield Quinton,LA,Player,05:16,0,0,0,-2,0,0,0,1,6582,2406
Arvidsson Viktor,LA,Player,15:45,0,0,0,-5,0,0,1,1,4310,4040
Danault Phillip,LA,Player,20:34,0,0,2,-5,0,0,2,4,5218,4101
Petersen Cal,LA,Goalie,60:00,-,0,2,-,9,0,28,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Ferland Michael,VAN,Player,13:27,0,1,0,0,0,0,1,0,623,83
Horvat Bo,VAN,Player,17:56,1,1,0,2,0,0,3,1,2502,104
Ekman-Larsson Oliver,VAN,Player,23:11,0,1,0,3,0,0,1,2,2592,139
Garland Conor,VAN,Player,12:01,0,2,0,2,0,0,0,0,2704,520
Poolman Tucker,VAN,Player,10:27,0,1,0,1,0,0,0,3,6203,574
Highmore Matthew,VAN,Player,14:12,0,1,2,-1,0,0,2,2,1472,665
Stillman Riley,VAN,Player,12:08,0,0,2,1,0,0,0,3,4268,719
Hughes Quinton,VAN,Player,15:22,0,0,0,1,0,0,0,6,1188,1210
Podkolzin Vasili,VAN,Player,10:49,1,1,0,2,0,0,4,3,5788,1577
Lazar Curtis,VAN,Player,13:31,2,2,0,3,0,0,4,0,2496,2115
Miller J.T.,VAN,Player,24:46,3,0,0,3,0,2,7,2,3233,2378
Pettersson Elias,VAN,Player,15:22,0,1,0,1,0,0,1,0,6254,2525
Kuzmenko Andrei,VAN,Player,12:25,0,1,0,2,0,0,1,0,2462,2782
Myers Tyler,VAN,Player,25:55,0,0,0,2,0,0,0,3,1127,2893
Schenn Luke,VAN,Player,34:17,0,1,0,4,0,0,0,5,237,3199
Pearson Tanner,VAN,Player,06:45,1,2,0,1,0,0,2,2,3944,3524
Mikheyev Ilya,VAN,Player,13:11,1,0,0,0,0,0,1,0,4751,3929
Boeser Brock,VAN,Player,15:14,0,1,0,1,0,0,1,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,59:01,-,1,0,-,3,0,17,-,5939,4241
