Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,16:27,0,1,0,0,0,0,1,1,6121,58
Durzi Sean,LA,Player,20:31,1,0,0,0,0,0,2,1,6611,82
Doughty Drew,LA,Player,21:21,0,0,0,-1,0,0,0,3,216,294
Kopitar Anze,LA,Player,16:25,0,2,0,-1,0,0,4,0,2287,298
Lemieux Brendan,LA,Player,15:00,0,0,0,1,0,0,0,3,1391,443
Edler Alexander,LA,Player,20:55,0,0,0,-1,0,0,0,4,3842,611
Roy Matt,LA,Player,18:00,0,0,0,0,0,0,1,2,4118,728
Moore Trevor,LA,Player,17:43,1,0,0,0,0,0,3,2,3034,732
Fiala Kevin,LA,Player,15:44,0,1,0,-1,0,0,0,1,2511,803
Lizotte Blake,LA,Player,13:13,1,1,0,1,0,0,1,4,1333,1149
Anderson Mikey,LA,Player,19:06,0,0,0,0,0,0,0,6,6513,1866
Kempe Adrian,LA,Player,14:39,2,0,0,-1,0,0,4,1,6129,2020
Bjornfot Tobias,LA,Player,20:07,0,0,0,0,0,0,0,3,6530,2222
Kaliyev Arthur,LA,Player,13:39,0,0,0,-1,0,0,2,2,6567,2354
Kupari Rasmus,LA,Player,16:04,0,0,0,-1,0,0,2,0,6581,2405
Byfield Quinton,LA,Player,12:46,0,1,0,1,0,0,0,1,6582,2406
Arvidsson Viktor,LA,Player,13:54,0,0,0,-1,0,0,0,1,4310,4040
Danault Phillip,LA,Player,14:34,0,0,0,0,0,0,0,2,5218,4101
Petersen Cal,LA,Goalie,59:44,-,0,2,-,5,1,22,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Kessel Phil,WOF,Player,17:38,0,1,0,1,0,0,0,1,534,45
McNabb Brayden,WOF,Player,18:40,0,0,0,0,0,0,0,0,1752,369
Howden Brett,WOF,Player,17:23,0,1,0,0,0,0,2,2,2471,867
Carrier William,WOF,Player,17:43,0,1,0,-1,0,0,0,3,6095,930
Hague Nicolas,WOF,Player,20:49,0,0,0,1,0,0,1,0,5488,961
Hutton Ben,WOF,Player,21:03,0,0,0,1,0,0,1,3,6562,1631
Smith Reilly,WOF,Player,12:24,0,1,0,1,0,0,3,2,3007,2049
Marchessault Jonathan,WOF,Player,17:42,1,1,0,1,0,0,3,1,3137,2310
Martinez Alec,WOF,Player,18:15,0,2,0,0,0,0,0,2,4236,2365
Stone Mark,WOF,Player,19:32,2,0,0,-1,0,0,4,1,2036,2389
Roy Nicolas,WOF,Player,15:27,1,0,0,1,0,0,2,0,1223,2651
Eichel Jack,WOF,Player,15:28,1,1,0,1,0,0,2,0,3513,3151
Karlsson William,WOF,Player,18:02,0,2,0,-1,0,0,0,4,4720,3501
Theodore Shea,WOF,Player,20:42,0,0,0,0,0,0,0,0,1674,3810
Pietrangelo Alex,WOF,Player,20:31,0,0,0,0,0,0,0,2,2185,4012
Stephenson Chandler,WOF,Player,11:03,0,0,0,0,0,0,3,1,4995,4026
Patrick  Nolan,WOF,Player,07:12,0,1,0,1,0,0,0,0,6161,4408
Kolesar Keegan,WOF,Player,10:26,1,0,0,0,0,0,2,2,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,5,0,20,-,2708,3541
