Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Addison Calen,MIN,Player,21:15,0,1,0,0,0,0,0,6,6612,144
Boldy Matt,MIN,Player,12:06,0,1,0,-1,0,0,1,0,6613,287
Dewar Connor,MIN,Player,17:55,2,1,0,1,1,0,2,3,6614,389
Reaves Ryan,MIN,Player,14:29,0,0,0,-1,0,0,3,2,4442,394
Eriksson Ek Joel,MIN,Player,12:24,1,0,0,-2,0,0,1,0,6071,558
Hartman Ryan,MIN,Player,14:21,0,0,0,-2,0,0,2,1,2648,869
Dumba Matt,MIN,Player,22:42,0,0,0,-1,0,0,0,6,4445,1196
Merrill Jon,MIN,Player,18:53,0,0,0,-1,0,0,0,2,2956,1496
Zuccarello Mats,MIN,Player,16:25,0,2,0,2,0,0,0,1,5807,1559
Greenway Jordan,MIN,Player,14:44,0,1,0,-2,0,0,3,2,866,2130
Brodin Jonas,MIN,Player,19:26,0,0,0,-2,0,0,0,2,4506,2217
Duhaime Brandon,MIN,Player,14:05,0,0,0,-1,0,0,1,0,6565,2258
Foligno Marcus,MIN,Player,14:29,0,0,0,-2,0,0,2,1,579,3395
Spurgeon Jared,MIN,Player,19:09,1,1,0,0,0,0,1,1,4407,3434
Kaprizov Kirill,MIN,Player,19:20,0,0,0,1,0,0,1,1,1717,3774
Goligoski Alex,MIN,Player,18:35,0,0,0,-2,0,0,0,3,5323,4287
Steel Sam,MIN,Player,15:27,0,0,0,0,0,0,3,2,3212,4357
Gaudreau Frederick ,MIN,Player,14:22,0,0,0,-2,0,0,3,0,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,59:53,-,0,0,-,6,0,37,-,652,508
Zegras Trevor,ANA,Player,19:20,0,0,0,-1,0,0,5,1,6553,22
Shattenkirk Kevin,ANA,Player,22:32,0,0,0,2,0,0,0,9,4438,172
Kulikov Dmitry,ANA,Player,21:24,0,0,0,-1,0,0,0,7,4685,272
Groulx Benoit-Olivier,ANA,Player,10:55,0,0,0,0,0,0,1,1,1457,295
Comtois Maxime,ANA,Player,17:33,1,1,0,2,0,0,5,1,4341,303
Henrique Adam,ANA,Player,16:22,1,1,0,2,0,0,5,2,837,320
Drysdale Jamie,ANA,Player,15:21,0,0,0,2,0,0,0,4,6570,406
Terry Troy,ANA,Player,16:50,0,0,2,-1,0,0,3,3,1967,2146
Fowler Cam,ANA,Player,23:57,0,1,0,2,0,0,0,4,4436,2371
Grant Derek,ANA,Player,10:48,0,0,0,0,0,0,4,0,5353,2392
Leason Brett,ANA,Player,16:03,1,1,0,1,0,0,2,0,6600,2466
De Leo Chase,ANA,Player,16:12,1,1,0,3,0,0,3,1,545,2482
McTavish Mason,ANA,Player,15:24,0,0,0,-1,0,0,2,2,6601,2491
Benoit Simon,ANA,Player,14:39,0,1,0,2,0,0,0,4,3723,2670
Klingberg John,ANA,Player,22:07,0,0,0,-1,0,0,1,3,2537,2843
Silfverberg Jakob,ANA,Player,11:20,0,0,0,0,0,0,3,0,1362,3143
Strome Ryan,ANA,Player,13:30,2,0,0,2,0,0,2,0,396,3219
Vatrano Frank,ANA,Player,15:17,0,0,0,2,0,0,1,3,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,1,0,-,4,0,23,-,2104,2896
