Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Addison Calen,MIN,Player,21:28,0,0,0,-3,0,0,0,4,6612,144
Boldy Matt,MIN,Player,13:49,0,0,0,-3,0,0,0,1,6613,287
Dewar Connor,MIN,Player,15:37,0,0,0,1,0,0,2,0,6614,389
Reaves Ryan,MIN,Player,10:55,0,1,0,0,0,0,1,2,4442,394
Eriksson Ek Joel,MIN,Player,15:35,0,0,0,-2,0,0,2,2,6071,558
Hartman Ryan,MIN,Player,18:47,0,1,0,-1,0,0,1,1,2648,869
Dumba Matt,MIN,Player,17:54,0,0,0,-3,0,0,0,2,4445,1196
Merrill Jon,MIN,Player,25:13,0,1,0,2,0,0,0,3,2956,1496
Zuccarello Mats,MIN,Player,15:44,0,1,0,1,0,0,1,1,5807,1559
Greenway Jordan,MIN,Player,11:50,0,0,0,-2,0,0,2,3,866,2130
Brodin Jonas,MIN,Player,17:37,0,0,0,-1,0,0,0,4,4506,2217
Duhaime Brandon,MIN,Player,15:10,1,0,0,0,0,0,3,1,6565,2258
Foligno Marcus,MIN,Player,16:03,1,0,0,0,0,0,1,1,579,3395
Spurgeon Jared,MIN,Player,20:27,1,0,0,2,0,0,1,3,4407,3434
Kaprizov Kirill,MIN,Player,14:58,0,0,0,1,0,0,1,1,1717,3774
Goligoski Alex,MIN,Player,17:21,0,0,0,-1,0,0,0,7,5323,4287
Steel Sam,MIN,Player,12:46,0,1,2,0,0,0,2,4,3212,4357
Gaudreau Frederick ,MIN,Player,13:46,0,1,0,-1,0,0,0,3,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,5,0,21,-,652,508
Johnston Wyatt,DAL,Player,12:46,0,0,0,1,0,0,0,1,6609,195
Benn Jamie,DAL,Player,20:03,1,1,0,0,0,0,3,2,3078,215
Suter Ryan,DAL,Player,18:52,0,0,0,1,0,0,0,3,3444,362
Heiskanen Miro,DAL,Player,24:17,0,0,0,-1,0,0,0,3,825,505
Seguin Tyler,DAL,Player,17:28,0,0,0,1,0,0,0,2,3529,541
Pavelski Joe,DAL,Player,21:24,0,2,0,0,0,0,2,1,1826,546
Guryanov Denis,DAL,Player,11:38,0,0,0,1,0,0,0,2,2137,600
Caamano Nicholas,DAL,Player,14:16,0,0,0,1,0,0,1,1,1383,691
Robertson Jason,DAL,Player,19:56,1,1,0,0,0,0,3,3,6511,1107
Kiviranta Joel,DAL,Player,08:18,1,0,0,0,0,0,1,1,1746,1247
Hakanpaa Jani,DAL,Player,25:36,0,0,0,-1,0,0,0,1,3629,1606
Hintz Roope,DAL,Player,17:45,1,0,0,1,0,0,3,1,4787,1720
Faksa Radek,DAL,Player,08:24,0,1,0,0,0,0,1,2,1664,2024
Dellandrea Ty,DAL,Player,08:22,0,1,0,0,0,0,0,0,5062,2211
Lundkvist Nils,DAL,Player,19:35,0,1,0,2,0,0,0,3,6586,2420
Marchment Mason,DAL,Player,19:40,1,0,0,1,0,0,6,1,1942,2629
Hanley Joel,DAL,Player,16:16,0,0,0,1,0,0,0,4,5563,2691
Lindell Esa,DAL,Player,15:24,0,0,0,2,0,0,1,2,1621,3674
Oettinger Jake,DAL,Goalie,60:00,-,1,0,-,3,0,17,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
