Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Addison Calen,MIN,Player,16:41,0,0,0,0,0,0,0,3,6612,144
Boldy Matt,MIN,Player,13:12,0,0,0,0,0,0,1,0,6613,287
Dewar Connor,MIN,Player,14:33,0,1,0,-1,0,0,2,0,6614,389
Reaves Ryan,MIN,Player,14:39,0,0,0,-1,0,0,0,1,4442,394
Eriksson Ek Joel,MIN,Player,14:19,0,0,0,0,0,0,2,2,6071,558
Hartman Ryan,MIN,Player,14:58,0,0,0,-3,0,0,1,0,2648,869
Dumba Matt,MIN,Player,17:11,0,1,0,-1,0,0,0,3,4445,1196
Merrill Jon,MIN,Player,19:34,0,0,0,-1,0,0,0,1,2956,1496
Zuccarello Mats,MIN,Player,14:10,0,0,0,-1,0,0,1,2,"",1559
Greenway Jordan,MIN,Player,14:48,0,0,0,0,0,0,4,0,866,2130
Brodin Jonas,MIN,Player,22:45,0,0,0,-4,0,0,0,4,4506,2217
Duhaime Brandon,MIN,Player,15:13,0,0,0,-1,0,0,0,0,6565,2258
Foligno Marcus,MIN,Player,17:29,0,0,0,-3,0,0,1,0,579,3395
Spurgeon Jared,MIN,Player,20:07,1,0,0,-1,1,0,2,0,4407,3434
Kaprizov Kirill,MIN,Player,14:06,0,0,0,-1,0,0,1,1,1717,3774
Goligoski Alex,MIN,Player,23:42,0,0,0,-3,0,0,1,0,5323,4287
Steel Sam,MIN,Player,16:26,0,0,0,-1,0,0,1,0,3212,4357
Gaudreau Frederick ,MIN,Player,16:23,0,0,0,-3,0,0,0,0,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,59:44,-,0,0,-,5,0,34,-,652,508
Smith Brendan,NJ,Player,19:45,0,0,0,2,0,0,0,2,1851,38
Haula Erik,NJ,Player,17:32,1,1,0,2,0,0,2,3,5356,74
Sharangovich Yegor,NJ,Player,17:55,0,0,2,1,0,0,6,2,1810,200
Hamilton Dougie,NJ,Player,24:16,0,1,0,2,0,0,0,2,782,212
Zetterlund Fabian,NJ,Player,17:22,0,0,0,1,0,0,0,0,6629,375
Siegenthaler Jonas,NJ,Player,18:39,0,0,0,2,0,0,1,3,3442,512
Bratt Jesper,NJ,Player,15:10,0,0,0,1,0,0,1,1,375,636
Graves Ryan,NJ,Player,17:05,0,0,0,1,0,0,0,3,4126,684
Tatar Tomas,NJ,Player,15:44,0,1,0,2,0,0,1,0,5524,695
Marino John,NJ,Player,15:20,0,1,0,1,0,0,0,3,3769,932
Hughes Jack,NJ,Player,15:39,1,0,0,1,0,0,4,2,916,1222
Severson Damon,NJ,Player,24:55,0,0,0,2,0,0,0,9,2492,1685
Bastian Nathan,NJ,Player,15:42,1,0,0,2,0,0,3,2,6514,2063
Mercer Dawson,NJ,Player,12:00,0,1,0,1,0,0,3,0,6563,2223
Palat Ondrej,NJ,Player,14:21,0,1,0,1,0,0,3,1,2871,2416
McLeod Michael,NJ,Player,09:33,0,0,0,1,0,0,1,1,4939,3240
Wood Miles,NJ,Player,11:33,1,0,0,1,0,0,3,0,5940,4242
Hischier Nico,NJ,Player,16:29,1,0,0,1,0,0,6,1,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,2,-,1,0,17,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
