Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Addison Calen,MIN,Player,17:50,0,0,0,0,0,0,0,4,6612,144
Boldy Matt,MIN,Player,10:34,0,0,0,0,0,0,3,0,6613,287
Dewar Connor,MIN,Player,14:55,0,0,0,-1,0,0,2,1,6614,389
Reaves Ryan,MIN,Player,10:31,0,0,0,0,0,0,2,0,4442,394
Eriksson Ek Joel,MIN,Player,20:24,0,0,0,0,0,0,1,2,6071,558
Hartman Ryan,MIN,Player,13:51,0,1,0,0,0,0,0,0,2648,869
Dumba Matt,MIN,Player,18:51,0,0,0,0,0,0,0,3,4445,1196
Merrill Jon,MIN,Player,22:22,0,0,0,-1,0,0,0,4,2956,1496
Zuccarello Mats,MIN,Player,14:53,0,0,2,-2,0,0,3,3,5807,1559
Greenway Jordan,MIN,Player,12:50,0,1,0,1,0,0,1,3,866,2130
Brodin Jonas,MIN,Player,18:22,0,0,0,0,0,0,0,5,4506,2217
Duhaime Brandon,MIN,Player,19:09,1,0,0,1,0,0,1,3,6565,2258
Foligno Marcus,MIN,Player,15:58,1,0,0,0,0,0,3,2,579,3395
Spurgeon Jared,MIN,Player,21:26,0,0,0,-1,0,0,0,5,4407,3434
Kaprizov Kirill,MIN,Player,14:19,0,0,0,-2,0,0,3,1,1717,3774
Goligoski Alex,MIN,Player,21:09,0,0,0,0,0,0,0,5,5323,4287
Steel Sam,MIN,Player,11:03,0,1,0,0,0,0,2,0,3212,4357
Gaudreau Frederick ,MIN,Player,16:48,1,1,0,0,0,0,2,2,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,59:47,-,0,0,-,4,0,28,-,652,508
Tkachuk Brady,OTT,Player,20:33,0,0,0,-1,0,0,6,2,4369,96
Chabot Thomas,OTT,Player,25:27,0,0,0,0,0,0,0,2,6067,343
Batherson Drake,OTT,Player,13:13,0,1,0,1,0,0,0,1,6270,452
Sanderson Jake,OTT,Player,21:24,0,0,0,1,0,0,1,5,6626,478
Formenton Alex,OTT,Player,15:47,0,0,0,0,0,0,2,1,5078,965
Joseph Mathieu,OTT,Player,15:43,1,1,0,0,0,0,2,3,6178,1208
Zub Artyom,OTT,Player,18:23,0,0,0,0,0,0,0,4,5298,2138
Norris Josh,OTT,Player,13:56,1,1,0,1,0,0,3,3,6533,2238
Stutzle Tim,OTT,Player,20:47,0,0,0,-1,0,0,3,2,6534,2242
Holden Nick,OTT,Player,12:17,0,0,0,0,0,0,0,5,4405,2309
Pinto Shane,OTT,Player,10:55,0,1,0,1,0,0,4,0,6587,2421
Zaitsev Nikita,OTT,Player,26:11,0,0,0,0,0,0,0,4,2746,2442
Hamonic Travis,OTT,Player,16:18,0,0,0,1,0,0,0,2,5797,3535
DeBrincat Alex,OTT,Player,21:37,0,0,0,-1,0,0,1,3,331,3711
Motte Tyler,OTT,Player,12:49,0,1,0,1,0,0,0,1,5938,3850
Watson Austin,OTT,Player,09:23,1,0,0,1,0,0,2,1,4657,3999
Giroux Claude,OTT,Player,12:58,1,0,0,0,0,0,2,1,3923,4237
Brassard Derrick,OTT,Player,12:19,0,1,0,1,0,0,2,1,5278,4283
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,3,0,23,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
