Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Addison Calen,MIN,Player,17:50,0,0,0,-1,0,0,0,3,6612,144
Boldy Matt,MIN,Player,14:45,0,0,0,-2,0,0,1,0,6613,287
Dewar Connor,MIN,Player,12:25,1,0,0,-2,0,0,2,0,6614,389
Reaves Ryan,MIN,Player,14:19,0,1,0,0,0,0,3,0,4442,394
Eriksson Ek Joel,MIN,Player,16:50,1,0,0,-2,0,0,2,2,6071,558
Hartman Ryan,MIN,Player,17:45,1,0,0,-2,0,0,2,2,2648,869
Dumba Matt,MIN,Player,16:42,0,1,2,-1,0,0,1,2,4445,1196
Merrill Jon,MIN,Player,24:14,0,0,0,-3,0,0,0,1,2956,1496
Zuccarello Mats,MIN,Player,13:05,0,1,0,-2,0,0,0,1,"",1559
Greenway Jordan,MIN,Player,15:09,0,1,0,-2,0,0,2,1,866,2130
Brodin Jonas,MIN,Player,18:13,0,0,0,-1,0,0,0,5,4506,2217
Duhaime Brandon,MIN,Player,16:11,0,0,0,1,0,0,2,1,6565,2258
Foligno Marcus,MIN,Player,16:20,0,1,0,-2,0,0,1,4,579,3395
Spurgeon Jared,MIN,Player,25:44,0,0,0,-2,0,0,0,5,4407,3434
Kaprizov Kirill,MIN,Player,12:44,0,1,0,-2,0,0,0,0,1717,3774
Goligoski Alex,MIN,Player,17:17,0,0,0,-2,0,0,0,3,5323,4287
Steel Sam,MIN,Player,13:00,1,0,0,1,0,0,4,1,3212,4357
Gaudreau Frederick ,MIN,Player,15:29,0,0,0,-1,0,0,0,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,2,-,11,0,38,-,652,508
Provorov Ivan,PHI,Player,21:57,1,1,0,0,0,0,1,1,2543,183
Cates Noah,PHI,Player,11:06,1,1,0,3,0,0,5,0,6625,338
Konecny Travis,PHI,Player,21:07,1,3,0,0,0,0,6,1,6068,391
Garland Conor,PHI,Player,16:35,1,1,0,1,1,0,2,0,2704,520
DeAngelo Anthony,PHI,Player,23:00,0,0,0,0,0,0,0,2,5961,573
Sedlak Lukas,PHI,Player,12:11,1,2,0,3,0,0,2,1,6073,610
Sedin Henrik,PHI,Player,13:04,1,1,0,1,0,0,2,1,1795,759
Seeler Nick,PHI,Player,19:12,0,0,0,1,0,0,0,5,3217,1375
Petry Jeff,PHI,Player,19:36,0,2,0,4,0,0,1,3,1116,1433
Laughton Scott,PHI,Player,14:49,1,0,0,1,0,0,2,0,1055,2075
Morin Samuel,PHI,Player,18:32,0,1,0,4,0,0,0,2,389,2143
Tippett Owen,PHI,Player,11:55,0,1,0,1,0,0,0,0,6528,2215
Roslovic Jack,PHI,Player,20:05,0,2,0,0,0,0,2,1,3804,2225
Bunting Michael,PHI,Player,15:13,0,0,0,1,0,0,2,1,6597,2463
MacEwen Zack,PHI,Player,11:25,1,0,0,3,0,0,2,1,3423,2577
Van Riemsdyk James,PHI,Player,12:34,2,0,0,1,1,0,4,0,2752,3033
Ristolainen Rasmus,PHI,Player,17:43,0,1,0,1,0,0,2,0,3837,3376
Hayes Kevin,PHI,Player,20:20,1,2,0,0,0,0,5,2,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,59:36,-,0,0,-,4,0,20,-,5616,2479
