Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Addison Calen,MIN,Player,19:47,0,0,0,0,0,0,0,2,6612,144
Boldy Matt,MIN,Player,08:41,0,0,0,0,0,0,1,1,6613,287
Dewar Connor,MIN,Player,13:24,0,0,0,0,0,0,1,2,6614,389
Reaves Ryan,MIN,Player,11:16,1,0,0,0,0,0,1,2,4442,394
Eriksson Ek Joel,MIN,Player,15:24,0,0,0,0,0,0,2,0,6071,558
Hartman Ryan,MIN,Player,15:38,0,0,0,-2,0,0,2,2,2648,869
Dumba Matt,MIN,Player,15:36,0,0,2,-1,0,0,0,1,4445,1196
Merrill Jon,MIN,Player,23:55,0,0,2,-2,0,0,1,1,2956,1496
Zuccarello Mats,MIN,Player,15:55,0,0,0,0,0,0,1,2,5807,1559
Greenway Jordan,MIN,Player,08:02,0,0,0,0,0,0,4,0,866,2130
Brodin Jonas,MIN,Player,19:03,0,0,0,-2,0,0,0,4,4506,2217
Duhaime Brandon,MIN,Player,17:45,0,0,0,-1,0,0,2,2,6565,2258
Foligno Marcus,MIN,Player,19:33,1,0,0,-2,0,1,3,0,579,3395
Spurgeon Jared,MIN,Player,18:46,0,0,0,-1,0,0,1,3,4407,3434
Kaprizov Kirill,MIN,Player,14:01,0,0,0,0,0,0,2,2,1717,3774
Goligoski Alex,MIN,Player,23:23,0,0,0,-1,0,0,0,2,5323,4287
Steel Sam,MIN,Player,15:34,0,2,0,-1,0,0,3,1,3212,4357
Gaudreau Frederick ,MIN,Player,14:23,0,0,0,-3,0,0,5,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,1,0,-,6,0,20,-,652,508
Marner Mitchell,TOR,Player,20:09,0,0,0,-1,0,0,0,0,6033,348
Nylander William,TOR,Player,20:42,0,0,0,0,0,0,2,1,1498,646
Engvall Pierre,TOR,Player,11:07,2,1,0,2,0,0,3,3,3511,947
Liljegren Timothy,TOR,Player,22:53,0,0,0,-1,0,0,1,4,5449,953
Kampf David,TOR,Player,09:31,0,3,0,2,0,0,1,2,6153,1102
Muzzin Jake,TOR,Player,22:16,0,2,0,0,0,0,0,5,2862,1186
Simmonds Wayne,TOR,Player,12:16,1,0,0,1,0,0,1,1,3263,1200
Benn Jordie,TOR,Player,17:12,0,0,0,0,0,0,0,2,4012,2021
Rielly Morgan,TOR,Player,21:22,0,0,0,0,0,0,0,3,5557,2086
Aston-Reese Zach,TOR,Player,12:56,0,1,0,1,0,0,2,1,4927,2274
Gaudette Adam,TOR,Player,12:37,0,1,0,1,0,0,0,1,1194,2383
Jarnkrok Calle,TOR,Player,10:06,1,1,0,2,0,0,1,0,459,2396
Bunting Michael,TOR,Player,16:36,0,0,0,1,0,0,2,1,6597,2463
Brodie T.J.,TOR,Player,19:55,0,2,0,4,0,0,0,2,1063,2864
Giordano Mark,TOR,Player,16:22,0,0,0,3,0,0,0,0,3327,2964
Tavares John,TOR,Player,19:35,1,0,0,0,1,0,2,1,719,3008
Matthews Auston,TOR,Player,18:17,0,0,0,0,0,0,2,1,3082,3250
Kerfoot Alex,TOR,Player,16:08,1,1,0,0,0,0,3,2,6186,4530
Samsonov Ilya,TOR,Goalie,60:00,-,0,0,-,2,0,29,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
