Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Suzuki Nick,MTL,Player,19:34,1,0,0,0,0,0,4,3,1922,191
Gallagher Brendan,MTL,Player,19:08,0,1,0,0,0,0,1,0,2699,308
Drouin Jonathan,MTL,Player,08:48,0,0,0,-1,0,0,2,0,2499,346
Anderson Josh,MTL,Player,17:02,0,1,0,1,0,0,2,3,4955,381
Guhle Kaiden,MTL,Player,16:23,0,0,0,0,0,0,0,4,6615,405
Slafkovsky Juraj,MTL,Player,17:10,0,0,0,0,0,0,1,1,6616,466
Dadonov Evgeny,MTL,Player,15:50,0,0,0,0,0,0,1,1,4051,640
Savard David,MTL,Player,26:17,0,1,0,1,0,0,0,7,4423,707
Evans Jake,MTL,Player,11:49,0,0,0,1,0,0,2,2,3818,754
Matheson Michael,MTL,Player,27:13,0,0,0,1,0,0,0,6,6057,846
Caufield Cole,MTL,Player,11:37,0,0,0,-1,0,0,1,2,6558,1110
Dach Kirby,MTL,Player,11:16,1,0,0,0,0,0,5,5,3937,1163
Monahan Sean,MTL,Player,18:11,0,0,0,0,0,0,3,1,5281,1397
Edmundson Joel,MTL,Player,23:59,0,0,0,0,0,0,0,6,4557,1904
Dvorak Christian,MTL,Player,14:32,0,0,0,-2,0,0,0,6,6034,2057
Hoffman Mike,MTL,Player,17:00,0,1,0,0,0,0,1,1,2611,3520
Wideman Chris,MTL,Player,20:30,0,0,0,-2,0,0,0,3,4184,4009
Bowey Madison,MTL,Player,15:06,0,0,2,-2,0,0,2,3,6201,4553
Price Carey,MTL,Goalie,64:06,-,0,0,-,3,0,25,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
Landeskog Gabriel,COL,Player,24:19,0,1,0,1,0,0,2,4,1157,105
Nichushkin Valery,COL,Player,15:39,0,0,0,-1,0,0,5,3,2145,258
Cogliano Andrew,COL,Player,08:50,0,0,0,0,0,0,0,2,5163,259
Galchenyuk Alex,COL,Player,13:05,1,0,0,1,0,0,3,2,1690,281
Johnson Erik,COL,Player,21:53,0,1,0,1,0,0,0,1,5288,544
MacKinnon Nathan,COL,Player,24:35,0,0,0,1,0,0,2,3,3917,599
Makar Cale,COL,Player,26:14,0,0,0,0,0,0,0,6,4146,683
MacDermid Kurtis,COL,Player,20:09,0,0,0,-1,0,0,0,1,1114,747
Toews Devon,COL,Player,20:24,0,0,0,0,0,0,0,9,3708,854
Lehkonen Artturi,COL,Player,17:15,0,0,2,-2,0,0,1,4,3216,1447
Newhook Alex,COL,Player,20:26,0,0,0,-1,0,0,1,4,6560,1456
Rantanen Mikko,COL,Player,23:39,1,0,0,1,0,0,4,3,5444,1683
O'Connor Logan,COL,Player,09:24,0,1,0,0,0,0,0,2,6576,2388
Rodrigues Evan,COL,Player,07:50,0,1,0,1,0,0,2,4,6126,2650
Manson Josh,COL,Player,20:38,0,0,0,0,0,0,1,8,5585,3493
Compher J.T.,COL,Player,09:29,1,0,0,0,0,0,1,3,5937,3848
Helm Darren,COL,Player,08:43,0,0,0,1,0,0,2,1,5382,4289
Girard Samuel,COL,Player,18:54,0,1,0,2,0,0,1,5,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,64:06,-,0,0,-,2,0,25,-,2460,341
