Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Suzuki Nick,MTL,Player,12:18,0,0,0,-3,0,0,1,2,1922,191
Gallagher Brendan,MTL,Player,11:36,0,0,0,-3,0,0,1,1,2699,308
Drouin Jonathan,MTL,Player,17:18,0,0,0,-1,0,0,3,1,2499,346
Anderson Josh,MTL,Player,11:38,0,0,0,-3,0,0,0,2,4955,381
Guhle Kaiden,MTL,Player,20:36,0,0,0,-1,0,0,0,9,6615,405
Slafkovsky Juraj,MTL,Player,16:24,0,0,0,0,0,0,1,4,6616,466
Dadonov Evgeny,MTL,Player,15:01,0,0,0,0,0,0,3,0,4051,640
Savard David,MTL,Player,21:56,0,0,0,-3,0,0,0,7,4423,707
Evans Jake,MTL,Player,14:13,0,0,0,-1,0,0,2,0,3818,754
Matheson Michael,MTL,Player,23:14,0,0,0,-3,0,0,0,1,6057,846
Caufield Cole,MTL,Player,17:57,0,0,0,-1,0,0,2,2,6558,1110
Dach Kirby,MTL,Player,15:26,0,0,0,-1,0,0,0,2,3937,1163
Monahan Sean,MTL,Player,21:09,0,0,0,0,0,0,1,0,5281,1397
Edmundson Joel,MTL,Player,20:26,0,0,0,-1,0,0,0,3,4557,1904
Dvorak Christian,MTL,Player,12:20,0,0,0,-1,0,0,1,0,6034,2057
Hoffman Mike,MTL,Player,14:40,0,0,0,-1,0,0,1,1,2611,3520
Wideman Chris,MTL,Player,16:10,0,0,0,-1,0,0,0,3,4184,4009
Bowey Madison,MTL,Player,17:38,0,0,0,-1,0,0,0,2,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,5,0,34,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
Tkachuk Brady,OTT,Player,16:51,1,2,0,3,0,0,4,2,4369,96
Chabot Thomas,OTT,Player,16:44,0,0,0,3,0,0,0,3,6067,343
Batherson Drake,OTT,Player,15:01,0,0,0,0,0,0,0,1,6270,452
Sanderson Jake,OTT,Player,26:43,0,0,0,2,0,0,1,4,6626,478
Formenton Alex,OTT,Player,16:13,1,1,0,2,0,0,5,2,5078,965
Joseph Mathieu,OTT,Player,12:15,1,0,0,2,0,0,2,0,6178,1208
Zub Artyom,OTT,Player,16:33,0,0,0,0,0,0,0,1,5298,2138
Norris Josh,OTT,Player,14:33,0,0,0,1,0,0,4,2,6533,2238
Stutzle Tim,OTT,Player,16:42,2,1,0,3,0,0,4,1,6534,2242
Holden Nick,OTT,Player,18:56,0,1,0,1,0,0,0,1,4405,2309
Pinto Shane,OTT,Player,11:53,0,0,0,0,0,0,3,1,6587,2421
Zaitsev Nikita,OTT,Player,17:14,0,1,0,3,0,0,0,3,2746,2442
Hamonic Travis,OTT,Player,23:50,0,1,0,1,0,0,0,7,5797,3535
DeBrincat Alex,OTT,Player,17:10,0,2,0,3,0,0,3,2,331,3711
Motte Tyler,OTT,Player,19:01,0,0,0,0,0,0,4,4,5938,3850
Watson Austin,OTT,Player,11:36,0,0,0,0,0,0,2,2,4657,3999
Giroux Claude,OTT,Player,17:01,0,1,0,1,0,0,2,0,3923,4237
Brassard Derrick,OTT,Player,11:44,0,0,0,0,0,0,0,0,5278,4283
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,0,0,16,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
