Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Suzuki Nick,MTL,Player,18:29,1,0,0,0,0,0,2,4,1922,191
Gallagher Brendan,MTL,Player,23:26,0,1,0,-2,0,0,3,1,2699,308
Drouin Jonathan,MTL,Player,12:44,0,0,0,-1,0,0,3,2,2499,346
Anderson Josh,MTL,Player,16:44,0,0,0,0,0,0,5,0,4955,381
Guhle Kaiden,MTL,Player,23:23,0,0,0,-4,0,0,1,7,6615,405
Slafkovsky Juraj,MTL,Player,14:46,0,1,0,-4,0,0,0,0,6616,466
Dadonov Evgeny,MTL,Player,11:24,0,0,0,-2,0,0,1,1,4051,640
Savard David,MTL,Player,19:47,0,0,0,0,0,0,0,7,4423,707
Evans Jake,MTL,Player,15:05,0,0,0,-2,0,0,0,0,3818,754
Matheson Michael,MTL,Player,21:01,0,1,0,-1,0,0,0,1,6057,846
Caufield Cole,MTL,Player,11:45,0,0,0,-1,0,0,0,1,6558,1110
Dach Kirby,MTL,Player,12:58,0,0,0,-2,0,0,0,1,3937,1163
Monahan Sean,MTL,Player,12:39,1,0,0,-3,1,0,3,1,5281,1397
Edmundson Joel,MTL,Player,24:47,0,0,0,-4,0,0,0,5,4557,1904
Dvorak Christian,MTL,Player,13:47,0,0,0,-2,0,0,2,0,6034,2057
Hoffman Mike,MTL,Player,15:46,0,0,0,-2,0,0,2,0,2611,3520
Wideman Chris,MTL,Player,15:36,0,0,0,-2,0,0,0,2,4184,4009
Bowey Madison,MTL,Player,15:26,0,0,2,-3,0,0,0,2,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,8,0,29,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
Bozak Tyler,STL,Player,12:08,0,1,0,2,0,0,3,0,2255,571
Barbashyov Ivan,STL,Player,17:25,2,0,0,1,0,0,2,0,3871,986
Buchnevich Pavel,STL,Player,15:24,1,3,0,4,0,0,2,0,226,1067
Saad Brandon,STL,Player,14:35,2,1,0,4,0,0,4,3,1737,1234
Thomas Robert,STL,Player,15:07,1,0,0,1,0,0,3,2,3452,1332
Acciari Noel,STL,Player,13:17,1,0,0,1,0,0,3,1,2639,1973
Bortuzzo Robert,STL,Player,19:40,0,0,0,1,0,0,0,1,4409,2134
Mikkola Niko,STL,Player,19:06,0,1,0,4,0,0,0,5,1141,2155
Parayko Colton,STL,Player,21:43,0,1,0,2,0,0,1,3,4669,2158
Pitlick Rem,STL,Player,16:35,0,1,0,1,0,0,0,1,6566,2343
O'Reilly Ryan,STL,Player,13:45,0,1,0,0,0,0,1,2,3062,2382
Perunovich Scott,STL,Player,16:48,0,0,0,1,0,0,0,1,6590,2441
Kyrou Jordan,STL,Player,16:28,0,1,0,1,0,0,2,1,6208,2446
Krug Torey,STL,Player,19:20,0,1,0,2,0,0,0,1,3615,2521
Schenn Brayden,STL,Player,17:32,1,1,0,4,0,0,3,1,4131,3265
Leivo Josh,STL,Player,11:57,0,0,0,1,0,0,1,1,2541,3307
Faulk Justin,STL,Player,23:23,0,0,0,4,0,0,0,2,3744,3400
Tarasenko Vladimir,STL,Player,12:41,0,1,0,1,0,0,4,2,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,1,2,-,2,0,22,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
