Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Gallagher Brendan,MTL,Player,20:19,1,0,0,-1,0,0,5,1,2699,308
Drouin Jonathan,MTL,Player,05:38,0,0,0,-1,0,0,0,0,2499,346
Anderson Josh,MTL,Player,18:13,0,0,0,-2,0,0,0,0,4955,381
Olofsson Victor,MTL,Player,20:19,0,1,0,-1,0,0,1,1,5859,396
Guhle Kaiden,MTL,Player,17:53,0,0,0,-1,0,0,0,1,6615,405
Slafkovsky Juraj,MTL,Player,18:52,0,0,0,-3,0,0,2,2,6616,466
Dadonov Evgeny,MTL,Player,15:11,0,0,0,0,0,0,1,1,4051,640
Savard David,MTL,Player,18:20,0,0,0,-1,0,0,0,1,4423,707
Matheson Michael,MTL,Player,23:47,0,0,0,-3,0,0,0,2,6057,846
Caufield Cole,MTL,Player,05:38,0,0,0,-1,0,0,1,0,6558,1110
Monahan Sean,MTL,Player,17:40,0,0,0,-2,0,0,0,2,5281,1397
Edmundson Joel,MTL,Player,17:47,0,0,0,-2,0,0,0,1,4557,1904
Dvorak Christian,MTL,Player,16:23,0,0,0,-1,0,0,2,2,6034,2057
Sturm Nico,MTL,Player,05:38,0,0,0,-1,0,0,0,0,3343,2110
Larkin Dylan,MTL,Player,20:19,0,1,0,-1,0,0,3,0,5774,3165
Hoffman Mike,MTL,Player,15:50,0,0,0,-1,0,0,0,2,2611,3520
Wideman Chris,MTL,Player,23:56,0,0,0,-2,0,0,0,2,4184,4009
Bowey Madison,MTL,Player,18:17,0,0,0,-1,0,0,0,1,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,6,0,16,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
Nylander William,TOR,Player,18:17,1,0,0,1,0,0,2,0,1498,646
Engvall Pierre,TOR,Player,13:21,0,1,0,1,0,0,1,0,3511,947
Liljegren Timothy,TOR,Player,17:36,0,1,0,2,0,0,1,1,5449,953
Kampf David,TOR,Player,16:31,1,0,0,1,0,0,2,2,6153,1102
Farabee Joel,TOR,Player,15:00,1,0,0,3,0,0,3,0,3331,1157
Muzzin Jake,TOR,Player,19:30,0,1,0,1,0,0,0,3,2862,1186
Brown Patrick,TOR,Player,13:16,0,0,0,0,0,0,0,0,5121,1856
Rielly Morgan,TOR,Player,17:55,0,0,0,3,0,0,0,3,5557,2086
Toninato Dominic,TOR,Player,10:32,0,0,0,0,0,0,0,1,1633,2188
Zadina Filip,TOR,Player,14:55,0,0,0,0,0,0,0,1,633,2287
Jarnkrok Calle,TOR,Player,13:26,0,1,0,1,0,0,0,0,459,2396
Brodie T.J.,TOR,Player,25:00,0,0,0,1,0,0,0,5,1063,2864
Giordano Mark,TOR,Player,22:35,0,0,0,1,0,0,0,4,3327,2964
Tavares John,TOR,Player,16:52,1,1,0,1,0,0,1,0,719,3008
Panarin Artemi,TOR,Player,15:01,1,1,0,3,0,0,1,1,1917,3139
Matthews Auston,TOR,Player,16:05,1,2,0,3,0,0,4,1,3082,3250
Holl Justin,TOR,Player,17:24,0,1,0,2,0,0,0,1,5988,4271
Kerfoot Alex,TOR,Player,16:44,0,2,0,1,0,0,1,0,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,1,0,-,1,0,15,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
