Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Gallagher Brendan,MTL,Player,27:25,0,1,0,0,0,0,1,0,2699,308
Drouin Jonathan,MTL,Player,09:40,1,0,0,1,0,0,1,1,2499,346
Anderson Josh,MTL,Player,10:34,0,1,0,-1,0,0,1,2,4955,381
Olofsson Victor,MTL,Player,30:10,2,0,0,1,0,0,9,1,5859,396
Guhle Kaiden,MTL,Player,11:20,0,0,0,0,0,0,0,0,6615,405
Slafkovsky Juraj,MTL,Player,13:23,1,0,0,-1,0,0,4,0,6616,466
Dadonov Evgeny,MTL,Player,08:24,0,1,0,0,0,0,1,0,4051,640
Savard David,MTL,Player,13:34,0,0,2,-1,0,0,1,2,4423,707
Matheson Michael,MTL,Player,34:53,0,1,0,2,0,0,0,1,6057,846
Caufield Cole,MTL,Player,03:49,0,1,0,1,0,0,0,0,6558,1110
Monahan Sean,MTL,Player,10:51,0,1,0,-1,0,0,0,0,5281,1397
Edmundson Joel,MTL,Player,18:03,0,0,0,-1,0,0,0,0,4557,1904
Dvorak Christian,MTL,Player,09:46,0,1,0,0,0,0,0,0,6034,2057
Sturm Nico,MTL,Player,09:27,0,1,0,1,0,0,1,0,3343,2110
Larkin Dylan,MTL,Player,34:48,0,1,0,1,0,0,2,3,5774,3165
Hoffman Mike,MTL,Player,15:28,1,0,0,0,0,0,2,1,2611,3520
Wideman Chris,MTL,Player,36:01,0,1,0,2,0,0,0,3,4184,4009
Bowey Madison,MTL,Player,16:54,0,0,0,0,0,0,0,1,6201,4553
Price Carey,MTL,Goalie,64:52,-,0,0,-,4,0,25,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
Kessel Phil,WOF,Player,25:42,1,0,2,1,0,0,5,1,534,45
McNabb Brayden,WOF,Player,32:34,0,1,0,2,0,0,0,5,1752,369
Amadio Michael,WOF,Player,10:27,0,1,0,0,0,0,1,0,3947,736
Howden Brett,WOF,Player,10:30,0,0,0,0,0,0,1,0,2471,867
Carrier William,WOF,Player,15:43,0,0,0,0,0,0,3,0,6095,930
Hague Nicolas,WOF,Player,17:48,0,0,0,-2,0,0,0,6,5488,961
Smith Reilly,WOF,Player,16:16,0,1,0,-2,0,0,1,1,3007,2049
Coghlan Dylan,WOF,Player,12:10,0,0,0,-1,0,0,0,2,6538,2256
Marchessault Jonathan,WOF,Player,21:20,0,1,0,0,0,0,4,0,3137,2310
Martinez Alec,WOF,Player,21:20,0,0,0,-1,0,0,0,3,4236,2365
Stone Mark,WOF,Player,09:35,0,0,0,0,0,0,0,1,2036,2389
Roy Nicolas,WOF,Player,06:22,1,0,0,0,0,0,2,2,1223,2651
Eichel Jack,WOF,Player,25:27,0,0,0,2,0,0,1,4,3513,3151
Karlsson William,WOF,Player,21:24,1,0,0,-2,0,0,4,1,4720,3501
Theodore Shea,WOF,Player,18:21,0,0,0,-2,0,0,0,2,1674,3810
Pietrangelo Alex,WOF,Player,27:31,0,0,0,2,0,0,0,2,2185,4012
Stephenson Chandler,WOF,Player,09:45,0,0,0,-1,0,0,1,1,4995,4026
Kolesar Keegan,WOF,Player,12:15,1,1,0,0,0,0,2,1,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,64:52,-,1,0,-,5,0,23,-,2708,3541
