Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Suzuki Nick,MTL,Player,17:09,0,0,0,-1,0,0,1,0,1922,191
Gallagher Brendan,MTL,Player,15:19,0,0,0,-1,0,0,4,2,2699,308
Drouin Jonathan,MTL,Player,14:18,0,0,0,0,0,0,0,0,2499,346
Anderson Josh,MTL,Player,15:44,0,0,0,-1,0,0,1,3,4955,381
Guhle Kaiden,MTL,Player,18:20,0,0,0,0,0,0,1,3,6615,405
Slafkovsky Juraj,MTL,Player,14:31,0,0,0,0,0,0,4,1,6616,466
Dadonov Evgeny,MTL,Player,16:38,0,0,0,0,0,0,0,1,4051,640
Savard David,MTL,Player,19:32,0,0,0,-1,0,0,0,3,4423,707
Evans Jake,MTL,Player,14:38,0,0,0,-1,0,0,1,0,3818,754
Matheson Michael,MTL,Player,19:37,0,0,0,-1,0,0,0,6,6057,846
Caufield Cole,MTL,Player,16:58,0,0,0,0,0,0,1,2,6558,1110
Dach Kirby,MTL,Player,11:05,0,0,0,-1,0,0,1,1,3937,1163
Monahan Sean,MTL,Player,12:40,0,0,0,0,0,0,0,1,5281,1397
Edmundson Joel,MTL,Player,21:35,0,0,0,0,0,0,2,5,4557,1904
Dvorak Christian,MTL,Player,15:33,0,0,0,0,0,0,1,1,6034,2057
Hoffman Mike,MTL,Player,15:27,0,0,0,-1,0,0,4,1,2611,3520
Wideman Chris,MTL,Player,22:03,0,0,0,-1,0,0,0,5,4184,4009
Bowey Madison,MTL,Player,18:53,0,0,0,-1,0,0,0,3,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,2,0,22,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
Hagelin Carl,WSH,Player,13:16,0,0,0,0,0,0,3,0,1650,360
Ovechkin Alexander,WSH,Player,15:25,1,0,0,1,0,0,2,1,3392,650
Backstrom Nicklas,WSH,Player,16:21,0,0,0,1,0,0,0,1,3066,654
Gustafsson Erik,WSH,Player,19:09,0,0,0,1,0,0,1,3,5592,1753
Milano Sonny,WSH,Player,15:52,1,0,0,1,0,0,2,0,5124,1863
Strome Dylan,WSH,Player,15:05,0,0,0,0,0,0,3,0,1508,1925
Wilson Tom,WSH,Player,15:03,0,1,0,1,0,0,3,0,3194,2128
Irwin Matthew,WSH,Player,19:54,0,0,0,1,0,0,0,3,3503,2183
Fehervary Martin,WSH,Player,24:17,0,0,0,0,0,0,0,6,6598,2464
Aube-Kubel Nicolas,WSH,Player,14:09,0,0,0,0,0,0,1,0,3774,2530
Mantha Anthony,WSH,Player,15:25,0,0,0,0,0,0,2,2,5548,2690
Kuznetsov Evgeny,WSH,Player,16:33,0,1,0,1,0,0,1,2,4336,2909
Eller Lars,WSH,Player,12:01,0,0,0,0,0,0,1,0,4321,3035
Carlson John,WSH,Player,16:34,0,0,0,1,0,0,0,3,4455,3124
Oshie T.J.,WSH,Player,15:23,0,1,0,1,0,0,3,2,5408,3212
Orlov Dmitry,WSH,Player,18:15,0,0,0,1,0,0,0,2,1905,3776
Sheary Conor,WSH,Player,15:27,0,0,0,0,0,0,0,1,648,4142
Jensen Nick,WSH,Player,21:51,0,0,0,0,0,0,0,8,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,0,0,21,-,2785,429
