Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Brendan,NJ,Player,17:53,0,0,0,1,0,0,0,1,1851,38
Haula Erik,NJ,Player,11:52,1,0,0,0,0,0,2,0,5356,74
Sharangovich Yegor,NJ,Player,17:22,1,0,0,0,1,0,2,5,1810,200
Hamilton Dougie,NJ,Player,23:20,0,0,0,-2,0,0,0,8,782,212
Zetterlund Fabian,NJ,Player,11:00,0,0,0,0,0,0,2,0,6629,375
Siegenthaler Jonas,NJ,Player,19:45,0,0,0,0,0,0,0,2,3442,512
Bratt Jesper,NJ,Player,13:07,0,1,0,-1,0,0,0,0,375,636
Graves Ryan,NJ,Player,17:15,0,0,0,-2,0,0,0,4,4126,684
Tatar Tomas,NJ,Player,09:28,0,0,0,1,0,0,2,2,5524,695
Marino John,NJ,Player,20:44,0,0,2,-3,0,0,0,7,3769,932
Hughes Jack,NJ,Player,17:52,0,1,5,-1,0,0,4,2,916,1222
Severson Damon,NJ,Player,22:28,0,0,2,-1,0,0,0,7,2492,1685
Bastian Nathan,NJ,Player,17:32,0,0,0,0,0,0,3,1,6514,2063
Mercer Dawson,NJ,Player,16:04,0,0,0,-1,0,0,1,2,6563,2223
Palat Ondrej,NJ,Player,13:17,0,0,0,-1,0,0,2,1,2871,2416
McLeod Michael,NJ,Player,15:44,0,0,0,-3,0,0,3,3,4939,3240
Wood Miles,NJ,Player,17:31,0,0,0,-2,0,0,4,0,5940,4242
Hischier Nico,NJ,Player,12:03,0,0,0,0,0,0,2,3,6163,4410
Blackwood Mackenzie,NJ,Goalie,59:19,-,0,0,-,5,0,30,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
Zegras Trevor,ANA,Player,17:05,1,0,0,1,0,0,4,0,6553,22
Shattenkirk Kevin,ANA,Player,21:02,0,0,0,1,0,0,1,7,4438,172
Kulikov Dmitry,ANA,Player,17:08,0,1,5,2,0,0,2,7,4685,272
Groulx Benoit-Olivier,ANA,Player,13:49,0,0,0,1,0,0,2,2,1457,295
Comtois Maxime,ANA,Player,15:05,1,1,0,1,0,0,2,3,4341,303
Henrique Adam,ANA,Player,14:54,1,1,0,1,1,0,1,1,837,320
Drysdale Jamie,ANA,Player,14:32,0,0,0,0,0,0,0,8,6570,406
Protas Alexei,ANA,Player,15:22,0,0,0,0,0,0,4,2,6357,1086
Terry Troy,ANA,Player,18:17,0,0,0,1,0,0,1,1,1967,2146
Fowler Cam,ANA,Player,23:48,0,0,0,1,0,0,1,7,4436,2371
Grant Derek,ANA,Player,18:08,1,0,0,1,0,0,5,2,5353,2392
Leason Brett,ANA,Player,14:16,0,2,2,1,0,0,2,1,6600,2466
McTavish Mason,ANA,Player,18:05,0,0,0,1,0,0,0,0,6601,2491
Benoit Simon,ANA,Player,16:25,0,0,0,0,0,0,0,6,3723,2670
Klingberg John,ANA,Player,19:57,0,0,0,1,0,0,1,4,2537,2843
Silfverberg Jakob,ANA,Player,14:47,0,1,0,1,0,0,0,1,1362,3143
Strome Ryan,ANA,Player,09:53,0,1,0,0,0,0,1,0,396,3219
Vatrano Frank,ANA,Player,16:32,1,0,0,1,0,0,3,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,2,0,27,-,2104,2896
