Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Brendan,NJ,Player,18:45,0,0,2,0,0,0,0,4,1851,38
Haula Erik,NJ,Player,08:35,0,0,0,-1,0,0,1,0,5356,74
Sharangovich Yegor,NJ,Player,15:59,0,2,0,0,0,0,2,0,1810,200
Hamilton Dougie,NJ,Player,18:02,0,0,0,-4,0,0,0,3,782,212
Zetterlund Fabian,NJ,Player,15:05,1,0,0,0,0,0,2,3,6629,375
Siegenthaler Jonas,NJ,Player,20:56,0,0,0,0,0,0,0,6,3442,512
Bratt Jesper,NJ,Player,17:23,0,0,0,-3,0,0,0,2,375,636
Graves Ryan,NJ,Player,21:11,0,0,0,1,0,0,0,4,4126,684
Tatar Tomas,NJ,Player,07:06,0,0,0,-1,0,0,1,0,5524,695
Marino John,NJ,Player,19:56,0,0,0,0,0,0,0,3,3769,932
Hughes Jack,NJ,Player,22:28,0,0,0,-3,0,0,3,2,916,1222
Severson Damon,NJ,Player,22:56,0,0,0,-3,0,0,1,4,2492,1685
Bastian Nathan,NJ,Player,10:44,0,0,0,-1,0,0,0,2,6514,2063
Mercer Dawson,NJ,Player,13:23,0,1,0,1,0,0,0,0,6563,2223
Palat Ondrej,NJ,Player,20:17,0,1,0,-3,0,0,1,1,2871,2416
McLeod Michael,NJ,Player,13:04,1,0,0,1,0,0,1,1,4939,3240
Wood Miles,NJ,Player,13:40,0,0,0,1,0,0,0,2,5940,4242
Hischier Nico,NJ,Player,15:34,1,1,0,0,1,0,4,1,6163,4410
Blackwood Mackenzie,NJ,Goalie,59:57,-,0,0,-,5,0,30,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
Kane Patrick,CHI,Player,21:11,1,2,0,3,0,0,3,1,5160,151
Toews Jonathan,CHI,Player,24:15,1,1,0,3,0,0,3,2,5161,152
Johnson Jack,CHI,Player,16:43,0,0,0,-1,0,0,1,2,1232,285
Jones Seth,CHI,Player,26:40,0,1,0,3,0,0,1,3,4044,424
Kurashev Philipp,CHI,Player,12:35,0,0,0,-1,0,0,2,2,1698,542
Connolly Brett,CHI,Player,12:09,0,0,0,0,0,0,1,2,2688,584
Jones Caleb,CHI,Player,16:37,0,0,0,1,0,0,0,4,2949,712
Murphy Connor,CHI,Player,21:01,0,0,0,3,0,0,1,2,289,1842
Johnson Tyler,CHI,Player,15:32,1,1,0,1,0,0,1,0,892,2411
Tinordi Jarred,CHI,Player,19:12,0,0,0,-1,0,0,0,6,2087,2435
Katchouk Boris,CHI,Player,09:14,0,0,2,-1,0,0,0,0,6594,2457
Raddysh Taylor,CHI,Player,14:05,0,1,0,1,0,0,2,0,6595,2458
Blackwell Colin,CHI,Player,09:14,0,0,0,-1,0,0,1,0,3751,2663
McCabe Jake,CHI,Player,19:47,0,0,0,1,0,0,1,4,5306,3478
Domi Max,CHI,Player,22:53,1,2,0,3,0,0,4,2,2552,4013
Khaira Jujhar,CHI,Player,10:59,0,0,0,0,0,0,1,0,4766,4033
Athanasiou Andreas,CHI,Player,18:05,1,1,0,1,0,0,5,0,5664,4103
Dickinson Jason,CHI,Player,06:27,0,0,0,0,0,0,3,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,3,0,16,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
