Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Brendan,NJ,Player,18:44,0,0,0,-1,0,0,0,4,1851,38
Haula Erik,NJ,Player,08:58,1,0,0,0,0,0,3,0,5356,74
Sharangovich Yegor,NJ,Player,17:11,1,0,0,0,0,0,1,0,1810,200
Hamilton Dougie,NJ,Player,20:27,0,0,0,-3,0,0,0,2,782,212
Zetterlund Fabian,NJ,Player,18:26,0,2,0,0,0,0,1,1,6629,375
Siegenthaler Jonas,NJ,Player,20:12,0,0,0,-2,0,0,0,2,3442,512
Bratt Jesper,NJ,Player,17:10,0,0,0,-3,0,0,2,1,375,636
Graves Ryan,NJ,Player,19:21,0,1,0,1,0,0,0,7,4126,684
Tatar Tomas,NJ,Player,10:52,0,0,0,0,0,0,1,1,5524,695
Marino John,NJ,Player,19:23,0,0,0,0,0,0,0,2,3769,932
Hughes Jack,NJ,Player,16:35,0,0,0,-3,0,0,0,4,916,1222
Severson Damon,NJ,Player,21:53,0,0,0,-3,0,0,0,5,2492,1685
Bastian Nathan,NJ,Player,10:09,0,1,0,0,0,0,1,0,6514,2063
Mercer Dawson,NJ,Player,15:30,0,0,0,-1,0,0,1,2,6563,2223
Palat Ondrej,NJ,Player,17:17,0,0,0,-3,0,0,1,1,2871,2416
McLeod Michael,NJ,Player,16:56,0,0,0,-2,0,0,1,1,4939,3240
Wood Miles,NJ,Player,13:25,0,0,0,-1,0,0,1,2,5940,4242
Hischier Nico,NJ,Player,17:31,1,0,0,1,0,0,3,2,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,7,0,36,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
Forsling Gustav,FLA,Player,20:02,1,0,0,3,0,0,2,9,4628,3
Staal Eric,FLA,Player,16:04,0,1,0,2,0,0,2,0,1882,121
Reinhart Sam,FLA,Player,14:50,0,0,0,-1,0,0,0,1,2477,379
Bennett Sam,FLA,Player,15:00,0,0,0,-1,0,0,2,2,2478,393
Staal Marc,FLA,Player,17:28,0,0,0,2,0,0,0,2,5158,433
Barkov Aleksander,FLA,Player,16:08,0,2,0,2,0,0,3,1,1405,699
Lundell Anton,FLA,Player,16:55,0,2,0,2,0,0,6,0,6572,848
Ekblad Aaron,FLA,Player,19:36,0,2,0,3,0,0,0,5,2485,1106
Luostarinen Eetu,FLA,Player,11:05,1,1,0,1,0,0,3,1,2136,1245
Hornqvist Patric,FLA,Player,17:47,1,1,0,2,0,0,1,0,3077,1411
Montour Brandon,FLA,Player,24:00,0,1,0,0,0,0,0,6,6124,2226
Tkachuk Matthew,FLA,Player,16:15,1,2,0,2,0,0,3,1,5951,2362
Duclair Anthony,FLA,Player,15:27,0,0,0,-1,0,0,3,4,2495,2393
Gudas Radko,FLA,Player,22:30,0,0,0,-1,0,0,1,4,3632,2409
Verhaeghe Carter,FLA,Player,16:33,2,0,0,2,0,0,7,0,1035,2641
Mahura Josh,FLA,Player,16:24,1,0,0,1,0,0,2,5,466,2667
Cousins Nick,FLA,Player,12:48,0,1,0,1,0,0,0,2,4665,4041
White Colin,FLA,Player,11:08,0,0,0,1,0,0,1,2,2122,4352
Knight Spencer,FLA,Goalie,60:00,-,0,0,-,3,0,16,-,6557,723
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
