Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Brendan,NJ,Player,22:18,0,2,0,0,0,0,0,1,1851,38
Haula Erik,NJ,Player,14:16,0,0,0,0,0,0,3,1,5356,74
Sharangovich Yegor,NJ,Player,20:09,2,0,0,1,0,0,4,3,1810,200
Hamilton Dougie,NJ,Player,18:28,0,0,2,-3,0,0,0,1,782,212
Zetterlund Fabian,NJ,Player,17:40,2,1,0,4,0,0,5,1,6629,375
Siegenthaler Jonas,NJ,Player,24:29,0,1,0,-1,0,0,1,3,3442,512
Bratt Jesper,NJ,Player,11:01,0,0,0,-2,0,0,4,0,375,636
Graves Ryan,NJ,Player,17:56,0,2,0,4,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,11:30,1,0,0,0,0,0,1,1,5524,695
Marino John,NJ,Player,17:51,0,0,0,3,0,0,0,1,3769,932
Hughes Jack,NJ,Player,14:12,0,1,0,-2,0,0,1,1,916,1222
Severson Damon,NJ,Player,19:51,0,0,0,-2,0,0,0,4,2492,1685
Bastian Nathan,NJ,Player,12:45,0,2,0,0,0,0,1,1,6514,2063
Mercer Dawson,NJ,Player,15:36,1,0,0,1,0,0,2,0,6563,2223
Palat Ondrej,NJ,Player,10:47,0,0,0,-2,0,0,3,0,2871,2416
McLeod Michael,NJ,Player,14:34,0,1,0,0,0,0,3,3,4939,3240
Wood Miles,NJ,Player,14:10,0,0,0,0,0,0,3,1,5940,4242
Hischier Nico,NJ,Player,17:27,1,1,0,4,0,0,3,4,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,6,0,29,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
Kopitar Anze,LA,Player,21:53,1,0,0,2,0,0,4,3,2287,298
Sundqvist Oskar,LA,Player,09:48,0,0,0,-1,0,0,1,4,"",325
Suter Pius,LA,Player,07:55,0,1,0,0,0,0,0,0,"",366
Lemieux Brendan,LA,Player,09:24,1,0,0,0,0,0,2,0,1391,443
Johnson Erik,LA,Player,16:54,0,1,0,-2,0,0,1,4,"",544
Edler Alexander,LA,Player,26:35,0,2,0,1,0,0,1,6,3842,611
Makar Cale,LA,Player,26:56,0,0,0,0,0,0,0,7,"",683
Roy Matt,LA,Player,18:37,1,0,0,-2,0,0,1,4,4118,728
Moore Trevor,LA,Player,10:23,1,0,0,0,0,0,2,2,3034,732
Fiala Kevin,LA,Player,21:38,1,1,0,1,0,0,2,1,2511,803
Zuccarello Mats,LA,Player,18:26,0,0,0,-2,0,0,0,2,"",1559
Hutton Ben,LA,Player,17:46,0,0,0,1,0,0,0,4,"",1631
Anderson Mikey,LA,Player,13:12,0,0,0,0,0,0,0,3,6513,1866
Acciari Noel,LA,Player,11:07,0,1,0,0,0,0,1,2,"",1973
Kempe Adrian,LA,Player,20:37,0,2,0,1,0,0,5,2,6129,2020
Zucker Jason,LA,Player,18:52,0,1,0,-2,0,0,4,0,"",3042
Schenn Brayden,LA,Player,20:32,1,2,0,-2,0,0,4,3,"",3265
Tuch Alex,LA,Player,09:33,0,0,0,0,0,0,1,2,"",4434
Petersen Cal,LA,Goalie,59:52,-,0,0,-,7,0,34,-,2411,621
Hart Carter,LA,Goalie,00:00,-,0,0,-,0,0,0,-,"",1209
