Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Brendan,NJ,Player,20:17,0,0,2,2,0,0,1,6,1851,38
Haula Erik,NJ,Player,05:54,1,1,0,2,0,0,2,0,5356,74
Sharangovich Yegor,NJ,Player,22:43,0,2,0,1,0,0,3,2,1810,200
Hamilton Dougie,NJ,Player,18:18,0,0,0,2,0,0,0,2,782,212
Zetterlund Fabian,NJ,Player,19:16,0,0,0,-1,0,0,2,2,6629,375
Siegenthaler Jonas,NJ,Player,24:40,0,1,0,2,0,0,0,6,3442,512
Bratt Jesper,NJ,Player,16:59,1,0,0,1,0,0,5,0,375,636
Graves Ryan,NJ,Player,17:02,0,0,0,0,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,06:38,1,0,0,1,0,0,4,0,5524,695
Marino John,NJ,Player,17:44,0,1,0,0,0,0,2,2,3769,932
Hughes Jack,NJ,Player,19:38,0,1,0,2,0,0,4,1,916,1222
Severson Damon,NJ,Player,22:14,0,2,0,3,0,0,0,4,2492,1685
Bastian Nathan,NJ,Player,11:16,1,1,0,1,0,1,1,1,6514,2063
Mercer Dawson,NJ,Player,12:57,1,0,0,1,0,0,2,0,6563,2223
Palat Ondrej,NJ,Player,17:03,1,0,0,1,1,0,5,0,2871,2416
McLeod Michael,NJ,Player,12:40,0,1,0,1,0,0,1,0,4939,3240
Wood Miles,NJ,Player,11:38,0,0,0,1,0,0,3,1,5940,4242
Hischier Nico,NJ,Player,18:51,1,0,0,-1,0,0,3,0,6163,4410
Blackwood Mackenzie,NJ,Goalie,59:13,-,0,0,-,2,0,18,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
Addison Calen,MIN,Player,28:54,1,0,0,1,0,0,1,1,6612,144
Boldy Matt,MIN,Player,23:57,0,2,0,-1,0,0,0,0,6613,287
Dewar Connor,MIN,Player,13:31,0,0,2,-3,0,0,3,2,6614,389
Reaves Ryan,MIN,Player,06:10,0,0,0,0,0,0,1,0,4442,394
Eriksson Ek Joel,MIN,Player,24:19,0,0,0,-1,0,0,0,3,6071,558
Hartman Ryan,MIN,Player,13:25,0,0,0,-2,0,0,2,1,2648,869
Dumba Matt,MIN,Player,22:50,0,0,0,0,0,0,1,2,4445,1196
Merrill Jon,MIN,Player,21:37,0,0,0,-2,0,0,0,3,2956,1496
Zuccarello Mats,MIN,Player,11:26,0,0,0,-3,0,0,1,1,"",1559
Greenway Jordan,MIN,Player,20:30,1,1,0,1,0,0,4,3,866,2130
Brodin Jonas,MIN,Player,15:24,0,0,0,-2,0,0,0,2,4506,2217
Duhaime Brandon,MIN,Player,07:44,0,0,0,1,0,0,0,1,6565,2258
Foligno Marcus,MIN,Player,16:06,0,0,0,-1,0,0,2,4,579,3395
Spurgeon Jared,MIN,Player,15:51,0,0,0,-3,0,0,0,2,4407,3434
Kaprizov Kirill,MIN,Player,12:13,0,0,0,-3,0,0,0,0,1717,3774
Goligoski Alex,MIN,Player,16:42,0,0,2,-2,0,0,1,4,5323,4287
Steel Sam,MIN,Player,13:19,0,0,0,1,0,0,1,3,3212,4357
Gaudreau Frederick ,MIN,Player,08:42,0,0,0,-1,0,0,1,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,59:55,-,0,0,-,7,0,38,-,652,508
