Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Brendan,NJ,Player,21:57,0,0,0,0,0,0,0,7,1851,38
Haula Erik,NJ,Player,10:20,0,0,0,-2,0,0,2,0,5356,74
Sharangovich Yegor,NJ,Player,16:09,0,1,0,0,0,0,3,2,1810,200
Hamilton Dougie,NJ,Player,17:14,0,0,0,-3,0,0,0,1,782,212
Zetterlund Fabian,NJ,Player,14:13,0,2,0,1,0,0,1,1,6629,375
Siegenthaler Jonas,NJ,Player,24:16,0,0,0,0,0,0,1,2,3442,512
Bratt Jesper,NJ,Player,18:25,0,1,0,-2,0,0,1,1,375,636
Graves Ryan,NJ,Player,18:30,0,1,0,1,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,08:43,0,0,0,-1,0,0,0,1,5524,695
Marino John,NJ,Player,16:52,0,0,0,2,0,0,0,2,3769,932
Hughes Jack,NJ,Player,16:21,1,0,2,-3,0,0,2,1,916,1222
Severson Damon,NJ,Player,21:11,0,0,0,-4,0,0,0,6,2492,1685
Bastian Nathan,NJ,Player,12:51,0,0,0,-1,0,0,2,1,6514,2063
Mercer Dawson,NJ,Player,17:15,0,1,0,1,0,0,1,2,6563,2223
Palat Ondrej,NJ,Player,16:06,0,1,0,-1,0,0,3,1,2871,2416
McLeod Michael,NJ,Player,15:11,1,0,0,0,0,0,4,1,4939,3240
Wood Miles,NJ,Player,15:42,0,1,0,0,0,0,2,0,5940,4242
Hischier Nico,NJ,Player,13:45,2,0,0,2,0,0,5,2,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,6,0,25,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
Skinner Jeff,OTT,Player,24:29,2,1,0,1,0,0,4,2,2848,77
Chabot Thomas,OTT,Player,25:13,0,2,0,2,0,0,0,2,6067,343
Sanderson Jake,OTT,Player,13:16,0,0,0,1,0,0,1,1,6626,478
Gambrell Dylan,OTT,Player,07:36,0,0,0,0,0,0,1,0,3010,697
Atkinson Cam,OTT,Player,19:52,1,0,0,0,0,0,4,2,3496,733
Kolesnikov Konstantin,OTT,Player,11:40,1,0,0,1,0,0,3,1,4171,752
Formenton Alex,OTT,Player,09:34,0,1,0,1,0,0,1,2,5078,965
Joseph Mathieu,OTT,Player,05:11,0,0,0,0,0,0,2,0,6178,1208
Zub Artyom,OTT,Player,26:31,0,0,0,-1,0,0,0,2,5298,2138
Norris Josh,OTT,Player,18:40,1,1,0,0,0,0,1,0,6533,2238
Stutzle Tim,OTT,Player,19:31,0,0,0,-1,0,0,3,1,6534,2242
Holden Nick,OTT,Player,20:28,0,0,0,0,0,0,0,5,4405,2309
Pinto Shane,OTT,Player,09:55,0,1,0,1,0,0,1,1,6587,2421
Zaitsev Nikita,OTT,Player,24:58,0,0,0,1,0,0,0,4,2746,2442
Stamkos Steven,OTT,Player,23:09,1,1,0,2,0,0,3,1,240,3254
Hamonic Travis,OTT,Player,09:34,0,0,0,1,0,0,0,0,5797,3535
DeBrincat Alex,OTT,Player,21:58,0,2,0,1,0,0,0,4,331,3711
Motte Tyler,OTT,Player,08:36,0,0,0,0,0,0,1,0,5938,3850
Forsberg Anton,OTT,Goalie,59:49,-,0,0,-,4,0,27,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
