Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Brendan,NJ,Player,20:07,0,1,0,1,0,0,0,1,1851,38
Haula Erik,NJ,Player,14:27,0,0,0,-1,0,0,3,0,5356,74
Sharangovich Yegor,NJ,Player,14:16,0,0,0,0,0,0,2,2,1810,200
Hamilton Dougie,NJ,Player,21:18,0,0,0,1,0,0,0,1,782,212
Zetterlund Fabian,NJ,Player,14:48,0,0,0,-1,0,0,3,0,6629,375
Siegenthaler Jonas,NJ,Player,20:33,2,0,0,0,0,0,2,1,3442,512
Bratt Jesper,NJ,Player,15:23,0,0,0,1,0,0,1,2,375,636
Graves Ryan,NJ,Player,18:09,0,0,0,1,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,14:31,0,0,0,-1,0,0,0,0,5524,695
Marino John,NJ,Player,17:32,0,1,0,0,0,0,0,6,3769,932
Hughes Jack,NJ,Player,16:41,0,1,0,1,0,0,0,6,916,1222
Severson Damon,NJ,Player,22:21,0,0,0,1,0,0,1,5,2492,1685
Bastian Nathan,NJ,Player,15:22,0,0,0,-1,0,0,0,2,6514,2063
Mercer Dawson,NJ,Player,14:59,0,0,0,2,0,0,0,3,6563,2223
Palat Ondrej,NJ,Player,15:29,2,0,0,2,0,0,3,1,2871,2416
McLeod Michael,NJ,Player,15:20,0,1,0,2,0,0,1,1,4939,3240
Wood Miles,NJ,Player,15:12,0,0,0,2,0,0,1,1,5940,4242
Hischier Nico,NJ,Player,13:32,0,0,0,0,0,0,3,2,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,2,0,24,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
Ferland Michael,VAN,Player,09:21,0,0,0,0,0,0,0,1,623,83
Horvat Bo,VAN,Player,16:51,0,0,0,-1,0,0,1,2,2502,104
Ekman-Larsson Oliver,VAN,Player,22:45,0,0,0,-2,0,0,0,5,2592,139
Garland Conor,VAN,Player,16:02,1,0,0,1,0,0,3,0,2704,520
Poolman Tucker,VAN,Player,14:17,0,0,0,1,0,0,1,1,6203,574
Highmore Matthew,VAN,Player,08:43,0,0,0,0,0,0,2,1,1472,665
Stillman Riley,VAN,Player,14:09,0,1,0,1,0,0,0,2,4268,719
Hughes Quinton,VAN,Player,22:52,0,0,0,-2,0,0,0,6,1188,1210
Podkolzin Vasili,VAN,Player,17:24,0,0,0,-1,0,0,3,3,5788,1577
Lazar Curtis,VAN,Player,15:10,0,0,0,1,0,0,2,1,2496,2115
Miller J.T.,VAN,Player,19:16,0,1,0,-2,0,0,1,3,3233,2378
Pettersson Elias,VAN,Player,18:20,1,0,0,-2,0,0,6,0,6254,2525
Kuzmenko Andrei,VAN,Player,17:15,0,0,0,-1,0,0,1,0,2462,2782
Myers Tyler,VAN,Player,22:51,0,0,0,-1,0,0,1,1,1127,2893
Schenn Luke,VAN,Player,23:06,0,0,0,-1,0,0,0,8,237,3199
Pearson Tanner,VAN,Player,15:00,0,1,0,1,0,0,1,2,3944,3524
Mikheyev Ilya,VAN,Player,09:25,0,0,0,0,0,0,0,1,4751,3929
Boeser Brock,VAN,Player,17:13,0,1,0,-2,0,0,2,4,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,4,0,20,-,5939,4241
