Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,09:30,0,0,0,-3,0,0,0,1,6630,34
Granlund Mikael,NSH,Player,13:00,0,0,0,-4,0,0,0,2,877,110
Duchene Matt,NSH,Player,15:06,0,0,0,-4,0,0,1,2,2266,165
Johansen Ryan,NSH,Player,18:46,0,0,0,-3,0,0,0,3,2985,174
Josi Roman,NSH,Player,23:11,0,0,2,-5,0,0,0,8,2438,266
Forsberg Filip,NSH,Player,13:02,0,0,2,-5,0,0,0,0,4033,390
Ekholm Mattias,NSH,Player,19:03,0,0,0,-6,0,0,0,2,1098,467
Lauzon Jeremy,NSH,Player,19:47,0,0,0,-2,0,0,0,4,5179,567
Sanford Zachary,NSH,Player,11:58,0,0,0,-1,0,0,0,2,6085,644
Niderreiter Nino,NSH,Player,10:46,0,0,0,-2,0,0,0,4,4867,689
Tolvanen Eeli,NSH,Player,10:37,0,0,0,-1,0,0,0,0,1987,1109
Borowiecki Mark,NSH,Player,20:35,0,0,0,-3,0,0,0,4,3634,2056
Tomasino Philip,NSH,Player,13:59,1,0,0,-2,0,0,1,1,6564,2245
Fabbro Dante,NSH,Player,25:12,0,1,0,-3,0,0,1,11,1267,2252
Carrier Alexandre,NSH,Player,13:49,0,0,2,-1,0,0,0,2,2760,2657
Jeannot Tanner,NSH,Player,19:46,0,1,0,-2,0,0,0,2,3211,2662
Sissons Colton,NSH,Player,16:02,0,0,0,-1,0,0,1,3,1278,2787
Trenin Yakov,NSH,Player,16:55,0,0,0,-2,0,0,0,2,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,60:00,-,0,0,-,12,0,37,-,1195,3633
Kane Patrick,CHI,Player,15:20,1,0,0,1,0,0,3,0,5160,151
Toews Jonathan,CHI,Player,23:15,1,1,0,2,0,0,3,1,5161,152
Johnson Jack,CHI,Player,15:33,0,2,0,6,0,0,0,3,1232,285
Jones Seth,CHI,Player,21:57,1,1,0,3,0,1,4,2,4044,424
Kurashev Philipp,CHI,Player,12:01,2,4,0,6,0,1,3,0,1698,542
Connolly Brett,CHI,Player,09:25,0,1,0,1,0,0,2,1,2688,584
Jones Caleb,CHI,Player,17:40,0,0,0,0,0,0,2,3,2949,712
Murphy Connor,CHI,Player,23:21,0,0,0,2,0,0,1,9,289,1842
Johnson Tyler,CHI,Player,15:41,0,0,0,0,0,0,1,1,892,2411
Tinordi Jarred,CHI,Player,17:48,1,3,0,7,0,0,1,1,2087,2435
Katchouk Boris,CHI,Player,08:39,2,0,0,5,0,0,4,2,6594,2457
Raddysh Taylor,CHI,Player,15:19,1,0,0,1,0,0,2,0,6595,2458
Blackwell Colin,CHI,Player,13:10,1,5,0,6,0,0,2,0,3751,2663
McCabe Jake,CHI,Player,23:41,0,0,0,2,0,0,2,5,5306,3478
Domi Max,CHI,Player,20:25,0,1,0,1,0,0,1,3,2552,4013
Khaira Jujhar,CHI,Player,11:37,1,1,0,3,0,0,2,1,4766,4033
Athanasiou Andreas,CHI,Player,15:27,1,0,0,0,1,0,2,0,5664,4103
Dickinson Jason,CHI,Player,10:00,0,2,4,2,0,0,2,1,6177,4437
Mrazek Petr,CHI,Goalie,59:41,-,0,0,-,1,0,4,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
