Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,09:01,0,2,0,3,0,0,0,0,6630,34
Granlund Mikael,NSH,Player,11:47,1,1,0,1,0,0,1,0,877,110
Duchene Matt,NSH,Player,11:47,1,1,0,1,0,0,2,1,2266,165
Johansen Ryan,NSH,Player,08:14,1,1,0,2,0,0,2,2,2985,174
Josi Roman,NSH,Player,13:05,1,1,0,1,0,0,1,6,2438,266
Forsberg Filip,NSH,Player,11:33,0,1,0,0,0,0,0,0,4033,390
Ekholm Mattias,NSH,Player,12:50,0,0,0,2,0,0,0,2,1098,467
Lauzon Jeremy,NSH,Player,06:27,0,0,0,1,0,0,0,0,5179,567
Sanford Zachary,NSH,Player,08:58,0,1,0,1,0,0,1,1,6085,644
Niderreiter Nino,NSH,Player,07:51,1,1,0,2,0,0,2,0,4867,689
Tolvanen Eeli,NSH,Player,08:02,0,0,0,1,0,0,0,0,1987,1109
Borowiecki Mark,NSH,Player,15:24,0,0,0,3,0,0,0,2,3634,2056
Tomasino Philip,NSH,Player,06:27,1,1,0,2,0,0,2,0,6564,2245
Fabbro Dante,NSH,Player,06:34,0,0,0,1,0,0,0,0,1267,2252
Carrier Alexandre,NSH,Player,15:46,0,0,0,2,0,0,1,1,2760,2657
Jeannot Tanner,NSH,Player,06:27,1,0,0,1,0,0,1,0,3211,2662
Sissons Colton,NSH,Player,08:35,0,0,0,1,0,0,1,0,1278,2787
Trenin Yakov,NSH,Player,06:27,0,1,0,1,0,0,0,0,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,35:03,-,0,0,-,1,0,12,-,1195,3633
Bouchard Evan,EDM,Player,16:23,0,0,0,-2,0,0,0,1,2042,178
Nugent-Hopkins Ryan,EDM,Player,08:58,0,0,0,-1,0,0,1,1,4422,194
Yamamoto Kailer,EDM,Player,09:52,0,0,0,-1,0,0,1,0,1155,382
Turris Kyle,EDM,Player,09:38,0,0,0,-1,0,0,0,0,5487,499
Nurse Darnell,EDM,Player,10:20,0,0,0,-2,0,0,0,1,2513,822
Barrie Tyson,EDM,Player,10:26,0,0,0,-2,0,0,0,1,3025,940
Foegele Warren,EDM,Player,09:19,0,0,0,-1,0,0,0,1,3895,1021
McLeod Ryan,EDM,Player,09:50,0,0,0,-2,0,0,4,0,1713,1137
Puljujarvi Jesse,EDM,Player,08:32,0,0,0,-1,0,0,0,0,364,1152
McDavid Connor,EDM,Player,09:25,0,1,0,-1,0,0,1,0,3758,1363
Murray Ryan,EDM,Player,08:56,0,0,0,-1,0,0,0,4,3391,1491
Ceci Cody,EDM,Player,08:14,0,0,0,-1,0,0,0,3,1109,1791
Ryan Derek,EDM,Player,10:03,0,0,0,-2,0,0,0,1,2672,2468
Hyman Zach,EDM,Player,05:43,0,0,0,-1,0,0,0,0,5566,2697
Kane Evander,EDM,Player,10:09,1,0,0,-2,0,0,2,0,2450,2873
Klefbom Oscar,EDM,Player,15:47,0,0,0,-2,0,0,0,3,4528,3528
Draisaitl Leon,EDM,Player,06:37,0,0,0,-1,0,0,2,1,1803,3666
Kostin Klim,EDM,Player,07:03,0,0,0,-1,0,0,1,0,6184,4497
Smith Mike,EDM,Goalie,35:03,-,0,0,-,7,0,14,-,3638,586
Campbell Jack,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,5366,2546
