Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,16:52,0,0,0,-4,0,0,1,4,6630,34
Granlund Mikael,NSH,Player,11:30,0,0,0,-3,0,0,2,0,877,110
Duchene Matt,NSH,Player,12:57,0,0,0,-3,0,0,2,2,2266,165
Johansen Ryan,NSH,Player,15:48,0,0,2,-3,0,0,2,2,2985,174
Josi Roman,NSH,Player,21:35,0,0,0,-3,0,0,0,8,2438,266
Forsberg Filip,NSH,Player,11:37,0,0,0,-3,0,0,2,2,4033,390
Ekholm Mattias,NSH,Player,20:54,0,0,0,-3,0,0,0,2,1098,467
Lauzon Jeremy,NSH,Player,21:42,0,1,0,-2,0,0,0,6,5179,567
Sanford Zachary,NSH,Player,16:16,0,1,0,-2,0,0,3,0,6085,644
Niderreiter Nino,NSH,Player,15:40,0,0,0,-4,0,0,1,1,4867,689
Tolvanen Eeli,NSH,Player,14:01,0,1,0,-1,0,0,0,3,1987,1109
Borowiecki Mark,NSH,Player,19:48,0,0,0,-4,0,0,0,4,3634,2056
Tomasino Philip,NSH,Player,14:29,0,0,0,-1,0,0,1,3,6564,2245
Fabbro Dante,NSH,Player,18:37,0,0,0,-2,0,0,0,2,1267,2252
Carrier Alexandre,NSH,Player,17:24,0,0,0,-4,0,0,0,4,2760,2657
Jeannot Tanner,NSH,Player,15:54,0,1,0,-1,0,0,0,3,3211,2662
Sissons Colton,NSH,Player,16:46,1,0,0,-2,0,0,1,3,1278,2787
Trenin Yakov,NSH,Player,16:34,1,0,0,0,0,0,1,0,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,60:00,-,0,0,-,12,0,45,-,1195,3633
Forsling Gustav,FLA,Player,24:18,0,2,0,5,0,0,0,6,4628,3
Staal Eric,FLA,Player,11:20,0,0,0,0,0,0,2,1,1882,121
Reinhart Sam,FLA,Player,12:18,0,1,0,1,0,0,2,0,2477,379
Bennett Sam,FLA,Player,12:14,2,0,0,1,1,0,4,0,2478,393
Staal Marc,FLA,Player,13:42,0,0,0,2,0,0,0,5,5158,433
Barkov Aleksander,FLA,Player,24:49,1,4,0,6,0,0,5,1,1405,699
Lundell Anton,FLA,Player,11:38,0,1,0,1,0,0,1,2,6572,848
Ekblad Aaron,FLA,Player,23:03,0,1,0,4,0,0,1,5,2485,1106
Luostarinen Eetu,FLA,Player,11:55,1,1,0,3,0,0,3,2,2136,1245
Hornqvist Patric,FLA,Player,12:45,0,0,0,1,0,0,3,0,3077,1411
Montour Brandon,FLA,Player,20:40,0,1,0,3,0,0,0,5,6124,2226
Tkachuk Matthew,FLA,Player,24:05,2,4,0,5,0,0,5,3,5951,2362
Duclair Anthony,FLA,Player,13:19,0,2,0,1,0,0,1,4,2495,2393
Gudas Radko,FLA,Player,22:00,0,1,0,2,0,0,1,6,3632,2409
Verhaeghe Carter,FLA,Player,23:08,3,1,0,4,0,0,7,2,1035,2641
Mahura Josh,FLA,Player,16:17,0,1,0,2,0,0,0,4,466,2667
Cousins Nick,FLA,Player,11:37,1,1,0,2,0,0,2,1,4665,4041
White Colin,FLA,Player,10:52,2,1,0,2,0,0,8,1,2122,4352
Knight Spencer,FLA,Goalie,60:00,-,0,0,-,2,0,16,-,6557,723
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
