Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,12:18,1,0,0,-2,0,0,3,3,6630,34
Granlund Mikael,NSH,Player,17:05,0,1,0,1,0,0,2,0,877,110
Duchene Matt,NSH,Player,18:58,0,1,0,1,0,0,0,1,2266,165
Johansen Ryan,NSH,Player,11:39,0,1,0,-3,0,0,1,1,2985,174
Josi Roman,NSH,Player,22:55,0,0,0,1,0,0,0,4,2438,266
Forsberg Filip,NSH,Player,17:06,1,0,0,0,0,0,3,0,4033,390
Ekholm Mattias,NSH,Player,20:10,0,0,0,0,0,0,0,2,1098,467
Lauzon Jeremy,NSH,Player,21:03,0,0,0,-1,0,0,0,8,5179,567
Sanford Zachary,NSH,Player,11:59,0,1,0,0,0,0,3,2,6085,644
Niderreiter Nino,NSH,Player,14:18,0,1,0,-3,0,0,0,3,4867,689
Tolvanen Eeli,NSH,Player,13:04,0,1,0,0,0,0,1,2,1987,1109
Borowiecki Mark,NSH,Player,17:39,0,0,0,-2,0,0,0,2,3634,2056
Tomasino Philip,NSH,Player,16:28,1,0,0,0,0,0,1,0,6564,2245
Fabbro Dante,NSH,Player,19:26,0,0,0,-1,0,0,0,7,1267,2252
Carrier Alexandre,NSH,Player,18:47,0,0,0,-1,0,0,0,5,2760,2657
Jeannot Tanner,NSH,Player,17:32,0,1,0,0,0,0,1,3,3211,2662
Sissons Colton,NSH,Player,12:57,1,0,0,0,0,0,2,2,1278,2787
Trenin Yakov,NSH,Player,16:38,0,1,0,0,0,0,0,2,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,59:58,-,0,0,-,6,0,34,-,1195,3633
Skinner Jeff,OTT,Player,23:45,0,2,0,1,0,0,3,1,2848,77
Chabot Thomas,OTT,Player,31:45,0,0,0,0,0,0,0,5,6067,343
Sanderson Jake,OTT,Player,10:30,0,0,0,2,0,0,0,2,6626,478
Gambrell Dylan,OTT,Player,12:16,0,1,0,-1,0,0,3,0,3010,697
Atkinson Cam,OTT,Player,08:36,0,1,0,1,0,0,1,1,3496,733
Kolesnikov Konstantin,OTT,Player,12:35,2,0,0,2,0,0,2,1,4171,752
Formenton Alex,OTT,Player,10:44,0,1,0,2,0,0,0,1,5078,965
Joseph Mathieu,OTT,Player,13:17,0,0,0,-2,0,0,1,0,6178,1208
Zub Artyom,OTT,Player,17:45,0,1,0,0,0,0,0,3,5298,2138
Norris Josh,OTT,Player,10:09,0,0,0,1,0,0,0,1,6533,2238
Stutzle Tim,OTT,Player,11:16,1,0,0,1,0,0,3,0,6534,2242
Holden Nick,OTT,Player,18:02,0,0,0,-1,0,0,0,0,4405,2309
Pinto Shane,OTT,Player,12:57,0,2,0,2,0,0,3,1,6587,2421
Zaitsev Nikita,OTT,Player,30:57,0,0,0,1,0,0,0,5,2746,2442
Stamkos Steven,OTT,Player,23:45,1,1,0,0,0,0,11,1,240,3254
Hamonic Travis,OTT,Player,11:01,0,0,0,2,0,0,0,1,5797,3535
DeBrincat Alex,OTT,Player,24:37,1,1,2,0,0,0,3,6,331,3711
Motte Tyler,OTT,Player,15:49,1,0,0,-1,0,0,4,3,5938,3850
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,4,0,17,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
