Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,17:39,0,1,0,1,0,0,1,2,6630,34
Granlund Mikael,NSH,Player,20:15,0,0,0,-1,0,0,2,3,877,110
Duchene Matt,NSH,Player,19:46,0,0,0,-1,0,0,1,1,2266,165
Johansen Ryan,NSH,Player,17:03,2,0,0,1,0,0,4,1,2985,174
Josi Roman,NSH,Player,18:26,0,0,0,-1,0,0,0,3,2438,266
Forsberg Filip,NSH,Player,18:40,0,0,0,-1,0,0,3,0,4033,390
Ekholm Mattias,NSH,Player,19:35,0,1,0,0,0,0,0,6,1098,467
Lauzon Jeremy,NSH,Player,13:10,0,0,0,3,0,0,0,3,5179,567
Sanford Zachary,NSH,Player,13:45,0,2,0,0,0,0,3,1,6085,644
Niderreiter Nino,NSH,Player,13:32,0,0,0,0,0,0,1,1,4867,689
Tolvanen Eeli,NSH,Player,11:18,1,0,0,-1,0,0,1,0,1987,1109
Borowiecki Mark,NSH,Player,25:15,0,0,0,0,0,0,0,5,3634,2056
Tomasino Philip,NSH,Player,11:19,2,1,0,3,0,0,2,1,6564,2245
Fabbro Dante,NSH,Player,20:10,0,0,0,3,0,0,0,3,1267,2252
Carrier Alexandre,NSH,Player,23:24,0,0,0,-1,0,0,0,6,2760,2657
Jeannot Tanner,NSH,Player,15:32,0,3,0,3,0,0,3,1,3211,2662
Sissons Colton,NSH,Player,11:52,0,1,0,-1,0,0,0,1,1278,2787
Trenin Yakov,NSH,Player,09:19,1,0,0,3,0,0,2,0,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,60:00,-,2,0,-,4,0,30,-,1195,3633
Carter Jeff,PIT,Player,17:14,0,0,0,0,0,0,5,0,3297,474
Letang Kris,PIT,Player,23:11,0,0,0,0,0,0,0,1,1716,501
Malkin Evgeni,PIT,Player,18:50,0,0,0,0,0,0,4,1,1703,502
Crosby Sidney,PIT,Player,16:59,1,0,0,0,0,0,2,0,3308,518
Rakell Rickard,PIT,Player,12:11,0,1,0,1,0,0,0,0,1276,526
Joseph Pierre-Olivier,PIT,Player,21:40,0,0,0,-2,0,0,0,0,6623,678
Caggiula Drake,PIT,Player,10:51,0,0,0,-2,0,0,0,0,6074,704
Dumoulin Brian,PIT,Player,16:26,0,0,0,0,0,0,1,1,2750,749
Rust Bryan,PIT,Player,12:36,1,0,0,1,0,0,3,0,431,1005
Heinen Danton,PIT,Player,12:36,1,0,0,-1,0,0,5,0,6080,1100
Petry Jeff,PIT,Player,27:58,0,1,0,0,0,0,0,4,1116,1433
Pettersson Marcus,PIT,Player,15:38,0,1,0,0,0,0,0,0,3150,1594
Ruhwedel Chad,PIT,Player,19:21,0,1,0,-2,0,0,0,1,3964,2182
Zucker Jason,PIT,Player,12:29,0,0,0,-1,0,0,3,0,2630,3042
Boyle Brian,PIT,Player,14:07,0,0,0,-1,0,0,2,2,3830,4222
Guentzel Jake,PIT,Player,16:22,0,1,0,0,0,0,1,0,6111,4331
Kapanen Kasperi,PIT,Player,10:36,0,0,0,-2,0,0,2,0,991,4360
Blugers Teodors,PIT,Player,10:59,1,0,0,-1,0,0,2,0,341,4454
Jarry Tristan,PIT,Goalie,60:00,-,0,4,-,6,0,23,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
