Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,15:52,0,0,0,-2,0,0,0,1,6630,34
Granlund Mikael,NSH,Player,23:05,0,0,0,-1,0,0,3,0,877,110
Duchene Matt,NSH,Player,18:11,0,0,0,-1,0,0,1,1,2266,165
Johansen Ryan,NSH,Player,16:36,0,0,0,-2,0,0,0,0,2985,174
Josi Roman,NSH,Player,17:47,0,0,0,-1,0,0,0,3,2438,266
Forsberg Filip,NSH,Player,18:53,0,0,0,-1,0,0,1,0,4033,390
Ekholm Mattias,NSH,Player,16:32,0,0,0,-1,0,0,0,5,1098,467
Lauzon Jeremy,NSH,Player,21:39,0,0,0,-2,0,0,0,6,5179,567
Sanford Zachary,NSH,Player,12:23,0,1,0,1,0,0,3,1,6085,644
Niderreiter Nino,NSH,Player,12:40,0,0,0,-2,0,0,0,0,4867,689
Tolvanen Eeli,NSH,Player,13:07,0,0,0,1,0,0,0,0,1987,1109
Borowiecki Mark,NSH,Player,20:58,0,0,0,-2,0,0,0,3,3634,2056
Tomasino Philip,NSH,Player,12:01,0,0,0,-3,0,0,2,2,6564,2245
Fabbro Dante,NSH,Player,21:15,1,0,0,-2,0,0,1,5,1267,2252
Carrier Alexandre,NSH,Player,21:49,0,0,0,-2,0,0,0,2,2760,2657
Jeannot Tanner,NSH,Player,12:08,0,0,0,-3,0,0,0,1,3211,2662
Sissons Colton,NSH,Player,13:12,0,1,0,1,0,0,0,3,1278,2787
Trenin Yakov,NSH,Player,11:52,0,0,0,-3,0,0,0,3,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,60:00,-,0,0,-,7,0,26,-,1195,3633
Marner Mitchell,TOR,Player,16:50,0,0,0,0,0,0,2,0,6033,348
Nylander William,TOR,Player,19:45,0,2,0,3,0,0,2,3,1498,646
Engvall Pierre,TOR,Player,14:27,0,1,0,1,0,0,0,0,3511,947
Liljegren Timothy,TOR,Player,22:07,0,0,0,1,0,0,0,3,5449,953
Kampf David,TOR,Player,14:26,1,2,0,1,0,0,4,0,6153,1102
Muzzin Jake,TOR,Player,22:03,0,0,0,3,0,0,0,2,2862,1186
Simmonds Wayne,TOR,Player,09:12,0,1,0,1,0,0,3,0,3263,1200
Benn Jordie,TOR,Player,21:23,0,1,0,3,0,0,0,4,4012,2021
Rielly Morgan,TOR,Player,21:30,0,0,0,1,0,0,0,2,5557,2086
Aston-Reese Zach,TOR,Player,06:56,0,0,0,1,0,0,0,1,4927,2274
Gaudette Adam,TOR,Player,08:51,1,0,0,1,0,0,1,2,1194,2383
Jarnkrok Calle,TOR,Player,14:13,1,1,0,1,0,0,1,0,459,2396
Bunting Michael,TOR,Player,17:33,0,0,0,0,0,0,0,0,6597,2463
Brodie T.J.,TOR,Player,16:30,0,0,0,1,0,0,0,3,1063,2864
Giordano Mark,TOR,Player,16:27,0,0,0,1,0,0,0,3,3327,2964
Tavares John,TOR,Player,18:22,2,1,0,3,0,0,3,1,719,3008
Matthews Auston,TOR,Player,18:21,0,0,0,0,0,0,6,0,3082,3250
Kerfoot Alex,TOR,Player,21:04,2,2,0,4,0,0,4,0,6186,4530
Samsonov Ilya,TOR,Goalie,60:00,-,1,0,-,1,0,11,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
