Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,12:43,1,0,0,1,0,0,1,0,6630,34
Granlund Mikael,NSH,Player,17:33,0,0,0,-1,0,0,1,2,877,110
Duchene Matt,NSH,Player,17:40,1,1,0,0,0,1,3,2,2266,165
Johansen Ryan,NSH,Player,15:34,1,1,0,2,0,1,1,0,2985,174
Josi Roman,NSH,Player,19:56,0,0,0,1,0,0,0,2,2438,266
Forsberg Filip,NSH,Player,15:52,0,1,0,-1,0,0,0,1,4033,390
Ekholm Mattias,NSH,Player,16:53,1,0,0,-1,0,0,1,1,1098,467
Lauzon Jeremy,NSH,Player,15:58,0,1,0,2,0,0,1,6,5179,567
Sanford Zachary,NSH,Player,10:45,0,0,0,-1,0,0,0,1,6085,644
Niderreiter Nino,NSH,Player,11:51,0,1,0,1,0,0,1,0,4867,689
Tolvanen Eeli,NSH,Player,13:10,0,0,0,-1,0,0,0,0,1987,1109
Borowiecki Mark,NSH,Player,26:53,0,1,0,1,0,0,0,4,3634,2056
Tomasino Philip,NSH,Player,15:51,1,0,2,1,0,0,4,1,6564,2245
Fabbro Dante,NSH,Player,17:20,0,1,0,1,0,0,0,5,1267,2252
Carrier Alexandre,NSH,Player,23:00,0,0,0,0,0,0,1,2,2760,2657
Jeannot Tanner,NSH,Player,13:43,0,0,0,1,0,0,2,1,3211,2662
Sissons Colton,NSH,Player,15:04,0,1,0,0,0,0,0,3,1278,2787
Trenin Yakov,NSH,Player,15:42,0,0,0,2,0,0,4,1,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,60:00,-,0,0,-,4,0,19,-,1195,3633
Kessel Phil,WOF,Player,17:32,1,1,0,-1,1,0,4,1,534,45
McNabb Brayden,WOF,Player,19:15,0,2,0,-1,0,0,0,4,1752,369
Amadio Michael,WOF,Player,11:30,0,0,0,1,0,0,0,0,3947,736
Howden Brett,WOF,Player,15:14,0,0,0,0,0,0,0,1,2471,867
Carrier William,WOF,Player,12:48,0,0,0,-1,0,0,1,1,6095,930
Hague Nicolas,WOF,Player,23:30,1,0,0,0,0,0,1,7,5488,961
Smith Reilly,WOF,Player,17:40,0,0,0,-2,0,0,2,0,3007,2049
Coghlan Dylan,WOF,Player,15:11,0,0,0,0,0,0,0,2,6538,2256
Marchessault Jonathan,WOF,Player,18:00,1,0,0,-1,0,0,3,3,3137,2310
Martinez Alec,WOF,Player,17:30,0,1,0,-1,0,0,0,3,4236,2365
Stone Mark,WOF,Player,16:36,0,1,0,-1,0,0,2,1,2036,2389
Roy Nicolas,WOF,Player,12:40,0,0,0,-1,0,0,0,0,1223,2651
Eichel Jack,WOF,Player,18:44,0,1,0,0,0,0,0,3,3513,3151
Karlsson William,WOF,Player,17:15,0,0,0,-2,0,0,3,1,4720,3501
Theodore Shea,WOF,Player,26:49,0,1,0,-1,0,0,0,1,1674,3810
Pietrangelo Alex,WOF,Player,17:45,1,0,0,-1,0,0,1,2,2185,4012
Stephenson Chandler,WOF,Player,11:21,0,0,0,1,0,0,2,2,4995,4026
Kolesar Keegan,WOF,Player,10:40,0,1,0,1,0,0,0,2,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,5,0,20,-,2708,3541
