Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,20:30,0,0,0,-2,0,0,2,1,6065,296
Parise Zach,NYI,Player,14:42,0,1,0,0,0,0,1,1,3395,387
Palmieri Kyle,NYI,Player,14:20,0,1,2,1,0,0,4,1,4569,498
Dobson Noah,NYI,Player,27:05,0,1,0,1,0,0,1,4,2160,667
Martin Matt,NYI,Player,09:19,0,0,0,2,0,0,1,1,5357,850
Mayfield Scott,NYI,Player,15:29,1,1,0,1,0,1,2,3,6058,1148
Cizikas Casey,NYI,Player,15:25,1,0,0,1,0,0,3,0,3210,1532
Romanov Alexander,NYI,Player,14:45,0,0,0,0,0,0,0,6,5790,1579
Bailey Josh,NYI,Player,10:56,0,1,0,1,0,0,1,0,3269,1649
Nelson Brock,NYI,Player,19:31,0,0,0,-2,0,0,1,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,18:17,1,0,0,1,0,0,1,0,4952,1808
Lee Anders,NYI,Player,18:39,0,0,0,-2,0,0,2,0,2493,1895
Beauvillier Anthony,NYI,Player,10:22,2,0,0,2,0,0,3,1,6066,2074
Hickey Thomas,NYI,Player,18:31,0,1,0,3,0,0,0,2,4517,2097
Wahlstrom Oliver,NYI,Player,13:25,0,0,0,0,0,0,3,1,5065,2234
Pelech Adam,NYI,Player,26:44,0,0,0,-1,0,0,1,7,5645,4007
Pulock Ryan,NYI,Player,17:26,0,0,0,0,0,0,0,4,2748,4152
Clutterbuck Cal,NYI,Player,09:35,0,1,0,3,0,0,1,1,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,0,0,-,3,0,31,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
Zegras Trevor,ANA,Player,20:18,1,0,0,1,0,0,3,0,6553,22
Shattenkirk Kevin,ANA,Player,15:58,0,0,0,-1,0,0,0,2,4438,172
Kulikov Dmitry,ANA,Player,19:37,0,0,0,1,0,0,2,5,4685,272
Groulx Benoit-Olivier,ANA,Player,14:18,0,0,0,-1,0,0,1,1,1457,295
Comtois Maxime,ANA,Player,15:08,0,0,0,-2,0,0,2,1,4341,303
Henrique Adam,ANA,Player,15:06,0,0,0,-1,0,0,2,1,837,320
Drysdale Jamie,ANA,Player,22:14,0,0,0,-2,0,0,2,6,6570,406
Protas Alexei,ANA,Player,11:45,1,0,0,-1,0,0,3,2,"",1086
Terry Troy,ANA,Player,20:39,1,0,0,2,0,0,7,0,1967,2146
Fowler Cam,ANA,Player,15:38,0,0,0,-1,0,0,1,7,4436,2371
Grant Derek,ANA,Player,13:01,0,0,0,-1,0,0,1,0,5353,2392
Leason Brett,ANA,Player,15:44,0,0,0,-2,0,0,1,1,6600,2466
McTavish Mason,ANA,Player,18:52,0,1,0,2,0,0,0,0,6601,2491
Benoit Simon,ANA,Player,22:19,0,0,0,-2,0,0,0,4,3723,2670
Klingberg John,ANA,Player,18:43,0,1,0,2,0,0,0,5,2537,2843
Silfverberg Jakob,ANA,Player,12:54,0,0,0,-1,0,0,3,0,1362,3143
Strome Ryan,ANA,Player,11:35,0,1,0,-1,0,0,0,0,396,3219
Vatrano Frank,ANA,Player,16:11,0,0,0,-2,0,0,3,3,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,5,0,27,-,2104,2896
