Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,25:37,1,0,0,2,0,0,3,1,6065,296
Parise Zach,NYI,Player,15:28,0,1,0,1,0,0,2,1,3395,387
Palmieri Kyle,NYI,Player,14:47,0,1,0,1,0,0,2,1,4569,498
Dobson Noah,NYI,Player,24:12,0,1,0,2,0,0,0,1,2160,667
Martin Matt,NYI,Player,09:48,2,0,0,2,0,0,3,0,5357,850
Mayfield Scott,NYI,Player,16:44,0,0,0,-2,0,0,0,2,6058,1148
Cizikas Casey,NYI,Player,09:47,0,0,0,-3,0,0,0,1,3210,1532
Romanov Alexander,NYI,Player,19:57,0,0,0,2,0,0,1,8,5790,1579
Bailey Josh,NYI,Player,11:58,0,0,0,-3,0,0,1,0,3269,1649
Nelson Brock,NYI,Player,23:11,0,1,0,2,0,0,1,1,3021,1736
Pageau Jean-Gabriel,NYI,Player,17:14,1,0,0,1,0,0,2,1,4952,1808
Lee Anders,NYI,Player,24:02,1,0,0,2,0,0,3,1,2493,1895
Beauvillier Anthony,NYI,Player,08:32,0,2,0,2,0,0,0,1,6066,2074
Hickey Thomas,NYI,Player,15:58,0,0,0,-2,0,0,0,4,4517,2097
Wahlstrom Oliver,NYI,Player,10:20,0,0,0,-2,0,0,1,2,5065,2234
Pelech Adam,NYI,Player,24:05,0,1,0,2,0,0,1,9,5645,4007
Pulock Ryan,NYI,Player,19:04,0,0,0,2,0,0,0,4,2748,4152
Clutterbuck Cal,NYI,Player,09:16,0,2,0,1,0,0,1,0,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,0,0,-,3,0,23,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
Krejci David,BOS,Player,15:14,0,0,0,0,0,0,0,0,3959,46
Bergeron Patrice,BOS,Player,17:05,0,1,0,2,0,0,2,1,320,48
Marchand Brad,BOS,Player,18:40,0,1,0,2,0,0,1,2,5691,51
Pastrnak David,BOS,Player,11:47,1,0,0,1,0,0,3,1,274,59
DeBrusk Jake,BOS,Player,14:26,0,0,0,-4,0,0,2,2,1211,371
Foligno Nick,BOS,Player,21:39,0,0,0,1,0,0,2,2,5155,454
Clifton Connor,BOS,Player,19:38,0,0,4,1,0,0,0,6,264,613
Zacha Pavel,BOS,Player,12:39,0,0,0,-4,0,0,3,1,5127,2013
Forbort Derek,BOS,Player,17:06,0,0,0,1,0,0,0,2,4985,2139
Grzelcyk Matthew,BOS,Player,20:17,0,0,0,-4,0,0,0,2,1074,2231
Coyle Charlie,BOS,Player,08:03,1,0,0,0,0,0,3,0,2149,2342
Renouf Dan,BOS,Player,15:18,0,0,0,1,0,0,0,4,6580,2398
Greer A.J.,BOS,Player,06:25,0,0,0,-1,0,0,1,1,5975,2473
Hall Taylor,BOS,Player,15:18,0,0,0,1,0,0,1,1,1918,3131
Carrick Connor,BOS,Player,25:30,0,0,0,-4,0,0,0,4,2369,3394
Smith Craig,BOS,Player,12:29,0,0,0,-3,0,0,3,0,4429,3750
Nosek Tomas,BOS,Player,14:01,0,1,0,-1,0,0,1,2,3757,4102
McAvoy Charlie,BOS,Player,24:25,1,1,0,1,0,0,1,3,6142,4367
Swayman Jeremy,BOS,Goalie,40:00,-,1,0,-,3,0,15,-,6554,84
Ullmark Linus,BOS,Goalie,20:00,-,0,0,-,2,0,6,-,4488,3736
