Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,16:48,2,0,0,2,0,0,4,1,6065,296
Parise Zach,NYI,Player,18:13,0,0,0,0,0,0,1,0,3395,387
Palmieri Kyle,NYI,Player,18:58,0,0,0,1,0,0,2,0,4569,498
Dobson Noah,NYI,Player,22:30,0,0,0,2,0,0,0,1,2160,667
Martin Matt,NYI,Player,05:48,1,0,0,1,0,0,2,1,5357,850
Mayfield Scott,NYI,Player,20:06,0,0,0,1,0,0,1,4,6058,1148
Cizikas Casey,NYI,Player,17:37,0,1,0,1,0,0,1,0,3210,1532
Romanov Alexander,NYI,Player,17:50,0,0,0,0,0,0,0,1,5790,1579
Bailey Josh,NYI,Player,20:16,1,1,0,1,0,0,3,1,3269,1649
Nelson Brock,NYI,Player,16:32,0,2,0,2,0,0,3,2,3021,1736
Pageau Jean-Gabriel,NYI,Player,20:03,1,0,0,0,0,0,4,1,4952,1808
Lee Anders,NYI,Player,16:35,0,2,0,2,0,0,3,1,2493,1895
Beauvillier Anthony,NYI,Player,04:56,0,1,0,1,0,0,0,1,6066,2074
Hickey Thomas,NYI,Player,20:05,0,1,0,2,0,0,0,1,4517,2097
Wahlstrom Oliver,NYI,Player,18:21,0,1,0,0,0,0,3,1,5065,2234
Pelech Adam,NYI,Player,22:05,0,0,0,2,0,0,0,4,5645,4007
Pulock Ryan,NYI,Player,17:24,0,0,0,1,0,0,0,3,2748,4152
Clutterbuck Cal,NYI,Player,05:53,0,0,0,1,0,0,0,1,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,1,0,-,1,0,20,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
Gallagher Brendan,MTL,Player,18:45,0,0,0,-1,0,0,1,0,2699,308
Drouin Jonathan,MTL,Player,04:46,0,0,0,-2,0,0,1,0,2499,346
Anderson Josh,MTL,Player,17:24,0,0,0,-1,0,0,2,1,4955,381
Olofsson Victor,MTL,Player,18:51,0,0,0,-1,0,0,1,2,"",396
Guhle Kaiden,MTL,Player,22:04,0,0,0,-2,0,0,0,2,6615,405
Slafkovsky Juraj,MTL,Player,20:40,1,0,0,-1,0,0,2,2,6616,466
Dadonov Evgeny,MTL,Player,15:43,0,0,0,0,0,0,2,0,4051,640
Savard David,MTL,Player,20:20,0,1,0,-1,0,0,0,0,4423,707
Matheson Michael,MTL,Player,17:36,0,0,0,-1,0,0,0,1,6057,846
Caufield Cole,MTL,Player,04:46,0,0,0,-2,0,0,0,1,6558,1110
Monahan Sean,MTL,Player,17:03,0,1,0,-1,0,0,1,1,5281,1397
Edmundson Joel,MTL,Player,20:29,0,0,0,-1,0,0,0,1,4557,1904
Dvorak Christian,MTL,Player,18:57,0,0,0,0,0,0,0,2,6034,2057
Sturm Nico,MTL,Player,04:46,0,0,0,-2,0,0,5,0,"",2110
Larkin Dylan,MTL,Player,19:14,0,0,0,-1,0,0,3,0,"",3165
Hoffman Mike,MTL,Player,19:05,0,0,0,0,0,0,1,0,2611,3520
Wideman Chris,MTL,Player,18:43,0,0,0,-1,0,0,0,1,4184,4009
Bowey Madison,MTL,Player,20:48,0,0,0,-2,0,0,1,3,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,5,0,27,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
