Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,18:23,1,0,0,-3,0,0,1,1,6065,296
Parise Zach,NYI,Player,17:32,0,0,0,-2,0,0,0,1,3395,387
Palmieri Kyle,NYI,Player,17:11,0,1,0,-1,0,0,1,1,4569,498
Dobson Noah,NYI,Player,20:52,0,0,0,-4,0,0,0,4,2160,667
Martin Matt,NYI,Player,09:34,1,0,0,1,0,0,1,1,5357,850
Mayfield Scott,NYI,Player,23:12,0,1,0,4,0,0,0,3,6058,1148
Cizikas Casey,NYI,Player,10:40,0,0,0,1,0,0,1,1,3210,1532
Romanov Alexander,NYI,Player,21:21,0,0,0,-1,0,0,0,3,5790,1579
Bailey Josh,NYI,Player,18:31,0,0,0,-2,0,0,1,2,3269,1649
Nelson Brock,NYI,Player,18:57,0,1,0,-1,0,0,0,2,3021,1736
Pageau Jean-Gabriel,NYI,Player,12:52,0,1,0,1,0,0,0,1,4952,1808
Lee Anders,NYI,Player,18:37,0,0,0,-3,0,0,0,2,2493,1895
Beauvillier Anthony,NYI,Player,14:17,0,0,0,2,0,0,1,2,6066,2074
Hickey Thomas,NYI,Player,18:11,0,1,0,2,0,0,1,3,4517,2097
Wahlstrom Oliver,NYI,Player,10:38,2,0,0,2,0,0,2,0,5065,2234
Pelech Adam,NYI,Player,20:28,0,1,0,-3,0,0,0,0,5645,4007
Pulock Ryan,NYI,Player,15:56,0,0,0,-2,0,0,0,5,2748,4152
Clutterbuck Cal,NYI,Player,13:40,0,1,0,-1,0,0,2,1,5214,4277
Sorokin Ilya,NYI,Goalie,38:16,-,0,0,-,4,0,12,-,5141,2065
Varlamov Semyon,NYI,Goalie,20:52,-,0,0,-,2,0,6,-,4806,3344
Karlsson Erik,SJ,Player,20:07,0,0,0,2,0,0,0,0,4017,120
Simek Radim,SJ,Player,23:52,0,1,0,1,0,0,0,4,4584,142
Vlasic Marc-Edouard,SJ,Player,14:57,0,1,0,-1,0,0,0,2,1790,545
Ferraro Mario,SJ,Player,20:01,0,0,0,2,0,0,0,3,2422,937
Gregor Noah,SJ,Player,14:18,0,1,0,-2,0,0,0,2,5027,941
Lindblom Oskar,SJ,Player,14:13,1,0,0,0,0,0,3,0,1217,1379
Sturm Nico,SJ,Player,13:16,1,0,0,-2,0,0,1,0,3343,2110
Knyzhov Nikolai,SJ,Player,24:56,0,0,0,1,0,0,0,5,6517,2148
Barabanov Alexander,SJ,Player,17:03,1,1,0,2,0,0,1,2,3181,2162
Lorentz Steven,SJ,Player,14:25,0,0,0,0,0,0,4,1,6523,2198
Dahlen Jonathan,SJ,Player,14:59,1,0,0,2,0,0,1,2,6591,2447
Weatherby Jasper,SJ,Player,12:36,0,1,0,-1,0,0,1,0,6592,2451
Bonino Nick,SJ,Player,14:26,1,1,0,2,0,0,1,2,563,2862
Hertl Tomas,SJ,Player,17:35,0,2,0,2,0,0,4,1,2290,2913
Couture Logan,SJ,Player,15:32,0,2,0,2,0,0,0,0,4370,3039
Benning Matt,SJ,Player,16:07,0,0,0,-1,0,0,0,2,6097,4305
Meier Timo,SJ,Player,18:00,1,1,0,1,0,0,1,1,6112,4332
Kunin Luke,SJ,Player,13:37,0,1,0,0,0,0,1,0,735,4448
Reimer James,SJ,Goalie,60:00,-,0,0,-,4,0,11,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
