Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,16:06,0,0,0,-2,0,0,3,0,6065,296
Parise Zach,NYI,Player,27:21,0,1,0,-1,0,0,1,4,3395,387
Palmieri Kyle,NYI,Player,15:00,0,0,0,-1,0,0,1,2,4569,498
Dobson Noah,NYI,Player,17:17,0,0,0,-2,0,0,0,3,2160,667
Martin Matt,NYI,Player,05:50,1,0,0,0,0,0,2,1,5357,850
Mayfield Scott,NYI,Player,14:36,0,0,0,0,0,0,0,2,6058,1148
Cizikas Casey,NYI,Player,05:39,0,1,0,0,0,0,1,2,3210,1532
Romanov Alexander,NYI,Player,27:48,0,0,0,0,0,0,0,3,5790,1579
Bailey Josh,NYI,Player,24:21,1,0,0,-1,0,0,6,3,3269,1649
Nelson Brock,NYI,Player,26:11,0,1,0,0,0,0,2,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,12:04,0,1,0,0,0,0,1,0,4952,1808
Lee Anders,NYI,Player,15:15,0,0,0,-1,0,0,1,0,2493,1895
Beauvillier Anthony,NYI,Player,11:34,0,0,0,0,0,0,2,1,6066,2074
Hickey Thomas,NYI,Player,14:12,0,1,0,0,0,0,0,1,4517,2097
Wahlstrom Oliver,NYI,Player,14:20,1,0,0,0,0,0,1,2,5065,2234
Pelech Adam,NYI,Player,18:00,0,1,0,-2,0,0,0,2,5645,4007
Pulock Ryan,NYI,Player,28:07,0,0,0,0,0,0,0,4,2748,4152
Clutterbuck Cal,NYI,Player,06:19,0,0,0,0,0,0,0,0,5214,4277
Sorokin Ilya,NYI,Goalie,36:41,-,0,0,-,4,0,9,-,5141,2065
Varlamov Semyon,NYI,Goalie,23:19,-,0,0,-,1,0,5,-,4806,3344
Bozak Tyler,STL,Player,13:00,1,0,0,0,0,0,2,0,2255,571
Barbashyov Ivan,STL,Player,14:32,1,0,0,1,0,0,1,1,3871,986
Buchnevich Pavel,STL,Player,15:47,1,1,0,2,0,0,1,0,226,1067
Saad Brandon,STL,Player,19:04,1,2,0,2,0,0,2,3,1737,1234
Thomas Robert,STL,Player,14:28,0,0,0,-1,0,0,1,1,3452,1332
Acciari Noel,STL,Player,13:19,0,1,0,0,0,0,1,1,2639,1973
Bortuzzo Robert,STL,Player,22:32,0,0,0,-1,0,0,0,3,4409,2134
Mikkola Niko,STL,Player,16:54,0,1,0,2,0,0,0,2,1141,2155
Parayko Colton,STL,Player,20:34,0,1,0,1,0,0,0,3,4669,2158
Pitlick Rem,STL,Player,16:23,0,0,0,-1,0,0,0,1,6566,2343
O'Reilly Ryan,STL,Player,15:53,0,0,0,1,0,0,3,2,3062,2382
Perunovich Scott,STL,Player,21:23,0,0,0,0,0,0,0,2,6590,2441
Kyrou Jordan,STL,Player,16:32,0,0,0,-1,0,0,0,3,6208,2446
Krug Torey,STL,Player,20:15,0,0,0,1,0,0,0,1,3615,2521
Schenn Brayden,STL,Player,14:44,1,0,0,2,0,0,2,3,4131,3265
Leivo Josh,STL,Player,11:56,0,1,0,0,0,0,1,1,2541,3307
Faulk Justin,STL,Player,18:22,0,0,0,1,0,0,0,2,3744,3400
Tarasenko Vladimir,STL,Player,14:22,0,1,0,1,0,0,0,1,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,3,0,21,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
