Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,22:53,1,1,0,2,0,0,2,1,6065,296
Parise Zach,NYI,Player,14:44,1,0,0,1,0,0,2,0,3395,387
Palmieri Kyle,NYI,Player,19:03,1,0,2,2,0,0,3,1,4569,498
Dobson Noah,NYI,Player,21:17,0,2,0,2,0,0,0,2,2160,667
Martin Matt,NYI,Player,02:08,0,0,0,0,0,0,0,0,5357,850
Mayfield Scott,NYI,Player,23:01,0,0,2,1,0,0,0,4,6058,1148
Cizikas Casey,NYI,Player,05:33,0,0,0,0,0,0,0,1,3210,1532
Romanov Alexander,NYI,Player,10:35,0,0,0,1,0,0,0,1,5790,1579
Bailey Josh,NYI,Player,10:43,0,1,0,1,0,0,1,0,3269,1649
Nelson Brock,NYI,Player,15:33,0,0,0,0,0,0,2,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,23:54,0,2,0,2,0,0,3,6,4952,1808
Lee Anders,NYI,Player,25:53,0,1,0,2,0,0,2,3,2493,1895
Beauvillier Anthony,NYI,Player,12:45,1,0,0,1,0,0,1,1,6066,2074
Hickey Thomas,NYI,Player,21:05,0,1,0,1,0,0,0,2,4517,2097
Wahlstrom Oliver,NYI,Player,10:56,0,0,0,2,0,0,0,1,5065,2234
Pelech Adam,NYI,Player,25:07,0,0,0,2,0,0,2,1,5645,4007
Pulock Ryan,NYI,Player,20:44,0,0,0,0,0,0,2,5,2748,4152
Clutterbuck Cal,NYI,Player,05:26,0,0,0,0,0,0,0,1,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,0,0,-,1,0,15,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
Kessel Phil,WOF,Player,20:01,0,0,0,-3,0,0,0,1,534,45
McNabb Brayden,WOF,Player,19:45,0,1,0,0,0,0,0,2,1752,369
Howden Brett,WOF,Player,10:02,0,0,0,-1,0,0,0,0,2471,867
Carrier William,WOF,Player,18:29,0,0,0,0,0,0,0,0,6095,930
Hague Nicolas,WOF,Player,17:10,0,0,0,-1,0,0,1,3,5488,961
Hutton Ben,WOF,Player,17:34,0,0,0,-1,0,0,0,0,6562,1631
Smith Reilly,WOF,Player,12:13,0,0,0,-1,0,0,2,2,3007,2049
Marchessault Jonathan,WOF,Player,19:49,0,0,0,-3,0,0,3,0,3137,2310
Martinez Alec,WOF,Player,17:58,0,1,0,0,0,0,0,4,4236,2365
Stone Mark,WOF,Player,19:07,1,0,2,0,1,0,3,0,2036,2389
Roy Nicolas,WOF,Player,11:55,0,0,0,-1,0,0,0,0,1223,2651
Eichel Jack,WOF,Player,20:36,0,0,0,-3,0,0,1,2,3513,3151
Karlsson William,WOF,Player,16:49,0,0,0,0,0,0,0,0,4720,3501
Theodore Shea,WOF,Player,24:20,0,0,0,-3,0,0,0,3,1674,3810
Pietrangelo Alex,WOF,Player,23:13,0,0,0,-3,0,0,0,1,2185,4012
Stephenson Chandler,WOF,Player,10:40,0,0,0,0,0,0,0,0,4995,4026
Patrick  Nolan,WOF,Player,05:40,0,0,0,0,0,0,1,0,6161,4408
Kolesar Keegan,WOF,Player,10:06,0,0,0,0,0,0,4,0,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,59:34,-,0,0,-,4,0,20,-,2708,3541
