Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,20:38,0,1,0,-3,0,0,1,0,6065,296
Parise Zach,NYI,Player,17:49,1,1,0,2,0,0,6,1,3395,387
Palmieri Kyle,NYI,Player,17:43,1,0,0,2,0,0,1,2,4569,498
Dobson Noah,NYI,Player,24:08,0,0,0,-4,0,0,0,7,2160,667
Martin Matt,NYI,Player,05:44,0,0,0,-1,0,0,0,0,5357,850
Mayfield Scott,NYI,Player,18:54,0,1,0,1,0,0,0,4,6058,1148
Cizikas Casey,NYI,Player,12:58,1,3,0,3,0,1,1,0,3210,1532
Romanov Alexander,NYI,Player,16:54,0,0,0,2,0,0,1,3,5790,1579
Bailey Josh,NYI,Player,11:53,2,1,2,1,0,0,2,2,3269,1649
Nelson Brock,NYI,Player,24:21,0,0,0,-3,0,0,2,4,3021,1736
Pageau Jean-Gabriel,NYI,Player,17:32,0,2,0,4,0,0,1,0,4952,1808
Lee Anders,NYI,Player,21:04,1,0,0,-3,1,0,3,0,2493,1895
Beauvillier Anthony,NYI,Player,08:38,0,0,0,-1,0,0,0,0,6066,2074
Hickey Thomas,NYI,Player,19:06,0,0,0,1,0,0,0,2,4517,2097
Wahlstrom Oliver,NYI,Player,12:48,1,2,0,1,0,0,1,1,5065,2234
Pelech Adam,NYI,Player,24:00,0,2,0,-2,0,0,0,4,5645,4007
Pulock Ryan,NYI,Player,16:58,1,2,0,4,0,1,1,2,2748,4152
Clutterbuck Cal,NYI,Player,08:35,0,0,0,-1,0,0,0,1,5214,4277
Sorokin Ilya,NYI,Goalie,59:41,-,0,0,-,6,0,25,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
Nichushkin Valery,WSH,Player,12:24,2,1,0,1,0,0,2,1,"",258
Lundestrom Isac,WSH,Player,12:35,0,0,0,-1,0,0,2,1,"",568
Ovechkin Alexander,WSH,Player,17:48,1,1,0,1,0,0,2,1,3392,650
Voracek Jakub,WSH,Player,11:04,1,1,0,1,0,0,4,3,"",921
Gavrikov Vladislav,WSH,Player,21:14,0,2,0,0,0,0,0,1,"",1083
Milano Sonny,WSH,Player,11:43,0,1,0,-1,0,0,1,2,5124,1863
Strome Dylan,WSH,Player,12:17,0,1,0,0,0,0,2,0,1508,1925
Wilson Tom,WSH,Player,16:09,1,1,0,0,0,0,4,0,3194,2128
Irwin Matthew,WSH,Player,19:51,0,1,0,1,0,0,0,5,3503,2183
Fehervary Martin,WSH,Player,13:41,0,0,0,-2,0,0,0,6,6598,2464
Mantha Anthony,WSH,Player,11:16,0,1,0,-2,0,0,2,0,5548,2690
Kuznetsov Evgeny,WSH,Player,18:25,0,1,0,1,0,0,1,4,4336,2909
Eller Lars,WSH,Player,18:12,1,0,0,-1,0,0,2,0,4321,3035
Carlson John,WSH,Player,19:37,0,0,0,0,0,0,0,3,4455,3124
Orlov Dmitry,WSH,Player,26:30,0,1,0,1,0,0,0,5,1905,3776
Sheary Conor,WSH,Player,12:53,0,0,0,-1,0,0,2,1,648,4142
Brown Connor,WSH,Player,16:37,0,0,2,-1,0,0,1,1,2847,4166
Jensen Nick,WSH,Player,19:07,0,0,2,-2,0,0,0,3,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,60:00,-,0,0,-,8,0,20,-,2785,429
