Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,15:06,0,1,0,1,0,0,0,6,6627,64
Zibanejad Mika,NYR,Player,25:01,1,0,0,-1,0,0,3,1,2170,108
Harpur Ben,NYR,Player,16:46,0,1,0,0,0,0,0,3,6628,575
Blais Sam,NYR,Player,10:53,1,0,0,1,0,0,1,3,6207,639
Lindgren Ryan,NYR,Player,23:44,0,0,0,-1,0,0,0,6,3870,855
Kakko Kaapo,NYR,Player,12:57,1,0,0,1,0,0,2,2,4419,863
Kravtsov Vitali,NYR,Player,11:13,0,0,0,-3,0,0,0,0,6192,948
Fox Adam,NYR,Player,26:49,0,0,0,-2,0,0,0,3,1181,1227
Gauthier Julien,NYR,Player,09:22,1,0,0,-2,0,0,1,1,5991,1314
Vesey Jimmy,NYR,Player,10:53,0,0,0,1,0,0,2,1,6032,1596
Miller K’andre,NYR,Player,19:30,0,1,5,0,0,0,0,1,2796,2118
Lafreniere Alexis,NYR,Player,15:09,1,0,0,1,0,0,3,2,6516,2135
Chytil Filip,NYR,Player,10:53,1,0,0,1,0,0,6,2,2026,2350
Trouba Jacob,NYR,Player,18:05,0,1,0,0,0,0,0,5,1743,2659
Panarin Artemi,NYR,Player,24:47,0,1,0,-1,0,0,4,2,1917,3139
Goodrow Barclay,NYR,Player,08:56,0,0,0,-2,0,0,3,0,2539,3211
Trocheck Vincent,NYR,Player,15:10,0,1,0,1,0,0,2,3,3671,3527
Kreider Chris,NYR,Player,24:46,0,1,0,0,0,0,3,1,2968,3752
Halak Jaroslav,NYR,Goalie,25:16,-,1,0,-,4,0,14,-,1277,326
Shestyorkin Igor,NYR,Goalie,34:44,-,0,0,-,3,0,12,-,5584,2237
Zegras Trevor,ANA,Player,18:28,2,0,0,3,0,0,3,0,6553,22
Shattenkirk Kevin,ANA,Player,14:37,0,0,0,-2,0,0,0,2,4438,172
Kulikov Dmitry,ANA,Player,21:01,0,0,2,2,0,0,0,6,4685,272
Groulx Benoit-Olivier,ANA,Player,11:27,2,0,0,-1,0,0,3,0,1457,295
Comtois Maxime,ANA,Player,16:32,0,0,0,-1,0,0,1,1,4341,303
Henrique Adam,ANA,Player,11:47,0,0,0,-1,0,0,2,0,837,320
Drysdale Jamie,ANA,Player,23:56,0,0,0,0,0,0,0,5,6570,406
Moore John,ANA,Player,16:02,0,0,5,0,0,0,0,2,4267,617
Terry Troy,ANA,Player,19:39,1,2,0,3,0,0,3,0,1967,2146
Fowler Cam,ANA,Player,23:23,0,2,0,-1,0,0,0,11,4436,2371
Grant Derek,ANA,Player,14:12,0,2,0,0,0,0,1,1,5353,2392
Leason Brett,ANA,Player,14:59,1,0,0,-1,0,1,4,5,6600,2466
De Leo Chase,ANA,Player,10:41,0,0,0,0,0,0,0,2,545,2482
McTavish Mason,ANA,Player,18:24,0,0,0,2,0,0,2,1,6601,2491
Klingberg John,ANA,Player,21:27,0,0,0,3,0,0,0,4,2537,2843
Silfverberg Jakob,ANA,Player,11:53,0,1,0,0,0,0,2,2,1362,3143
Strome Ryan,ANA,Player,15:37,1,0,0,-1,0,0,4,0,396,3219
Vatrano Frank,ANA,Player,11:01,0,0,0,-1,0,0,1,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:56,-,0,0,-,5,1,29,-,2104,2896
