Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,17:49,0,0,0,1,0,0,0,1,6627,64
Zibanejad Mika,NYR,Player,14:28,0,1,5,1,0,0,2,3,2170,108
Marner Mitchell,NYR,Player,19:47,0,2,0,0,0,0,1,5,6033,348
Harpur Ben,NYR,Player,20:07,0,0,0,1,0,0,3,4,6628,575
Blais Sam,NYR,Player,13:58,0,1,0,1,0,0,2,3,6207,639
Lindgren Ryan,NYR,Player,17:42,0,0,0,1,0,0,0,7,3870,855
Kakko Kaapo,NYR,Player,14:59,2,0,0,2,0,0,3,2,4419,863
Kravtsov Vitali,NYR,Player,08:48,0,0,0,1,0,0,0,0,6192,948
Fox Adam,NYR,Player,19:56,0,0,0,1,0,0,0,5,1181,1227
Vesey Jimmy,NYR,Player,18:46,1,0,0,0,0,0,4,2,6032,1596
Miller K’andre,NYR,Player,22:11,0,0,0,1,0,0,0,5,2796,2118
Lafreniere Alexis,NYR,Player,17:17,1,0,0,1,0,0,4,1,6516,2135
Chytil Filip,NYR,Player,07:42,0,1,0,1,0,0,0,0,2026,2350
Trouba Jacob,NYR,Player,22:15,0,1,0,1,0,0,0,7,1743,2659
Goodrow Barclay,NYR,Player,15:44,0,1,0,1,0,0,2,3,2539,3211
Trocheck Vincent,NYR,Player,22:06,1,1,0,0,0,0,4,2,3671,3527
Kreider Chris,NYR,Player,17:27,0,1,0,1,0,0,1,2,2968,3752
Carpenter Ryan,NYR,Player,08:58,1,0,0,1,0,0,5,1,2797,4157
Jarry Tristan,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,6137,634
Shestyorkin Igor,NYR,Goalie,60:00,-,0,0,-,2,0,18,-,5584,2237
Pacioretty Max,ATL,Player,13:28,0,1,0,0,0,0,1,1,762,42
Ehlers Nikolaj,ATL,Player,16:33,0,1,0,0,0,0,4,0,4141,257
Harkins Jansen,ATL,Player,16:16,0,0,0,0,0,0,0,1,2944,569
Scheifele Mark,ATL,Player,13:30,0,1,0,0,0,0,2,2,5341,581
Lowry Adam,ATL,Player,13:43,0,0,0,0,0,0,1,3,2504,624
Stenlund Kevin,ATL,Player,13:27,0,0,0,-2,0,0,1,0,6164,660
Barron Morgan,ATL,Player,15:36,0,0,0,-2,0,0,3,0,6631,708
Morrissey Josh,ATL,Player,21:44,0,0,0,0,0,0,0,2,6077,878
Skeji Brady,ATL,Player,14:02,0,0,5,0,0,0,0,0,1132,1228
Stanley Logan,ATL,Player,21:15,0,0,0,-1,0,0,3,2,6539,2259
Pionk Neal,ATL,Player,21:42,0,0,0,0,0,0,0,4,2102,2267
Veleno Joe,ATL,Player,14:38,0,0,0,-1,0,0,0,1,5059,2363
Raymond Lucas,ATL,Player,13:15,1,0,0,0,0,0,1,1,6568,2364
Pysyk Mark,ATL,Player,24:16,0,0,0,-3,0,0,0,1,4406,2433
Perfetti Cole,ATL,Player,17:11,0,1,0,-1,0,0,0,1,6602,2495
Pettersson Elias,ATL,Player,18:40,1,0,0,0,0,0,1,0,6254,2525
Beaulieu Nathan,ATL,Player,17:01,0,0,0,-2,0,0,0,1,4220,3179
Appleton Mason,ATL,Player,13:43,0,0,0,-3,0,0,1,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,6,0,31,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
