Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,16:21,0,0,0,-1,0,0,0,8,6627,64
Zibanejad Mika,NYR,Player,23:05,1,1,0,1,0,0,4,2,2170,108
Marner Mitchell,NYR,Player,17:51,1,0,0,1,0,0,2,0,6033,348
Harpur Ben,NYR,Player,10:45,0,0,0,-1,0,0,0,5,6628,575
Blais Sam,NYR,Player,09:55,0,0,2,0,0,0,2,0,6207,639
Lindgren Ryan,NYR,Player,19:48,0,0,0,1,0,0,0,3,3870,855
Kakko Kaapo,NYR,Player,15:41,0,0,0,0,0,0,2,2,4419,863
Kravtsov Vitali,NYR,Player,17:27,2,0,0,2,0,0,3,1,6192,948
Fox Adam,NYR,Player,23:34,0,1,0,1,0,0,1,5,1181,1227
Vesey Jimmy,NYR,Player,08:51,0,0,0,-1,0,0,1,0,6032,1596
Miller K’andre,NYR,Player,22:24,0,0,0,2,0,0,0,4,2796,2118
Lafreniere Alexis,NYR,Player,18:54,0,2,0,2,0,0,0,5,6516,2135
Chytil Filip,NYR,Player,09:22,0,0,0,-1,0,0,1,0,2026,2350
Trouba Jacob,NYR,Player,20:05,0,0,0,2,0,0,0,5,1743,2659
Goodrow Barclay,NYR,Player,14:03,0,0,0,0,0,0,5,2,2539,3211
Trocheck Vincent,NYR,Player,17:08,0,2,0,2,0,0,0,1,3671,3527
Kreider Chris,NYR,Player,19:58,0,1,0,1,0,0,2,3,2968,3752
Carpenter Ryan,NYR,Player,11:10,0,0,0,-1,0,0,0,1,2797,4157
Jarry Tristan,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,6137,634
Shestyorkin Igor,NYR,Goalie,60:00,-,0,0,-,3,0,37,-,5584,2237
Stastny Paul,CAR,Player,13:31,0,0,0,0,0,0,6,5,934,153
Burns Brent,CAR,Player,20:00,0,0,0,0,0,0,0,5,410,309
Wheeler Blake,CAR,Player,26:19,1,0,0,-1,0,0,5,7,206,404
Carter Jeff,CAR,Player,15:38,0,1,0,-2,0,0,3,7,3297,474
Staal Jordan,CAR,Player,09:47,0,1,0,-2,0,0,2,0,1628,500
Pavelski Joe,CAR,Player,20:47,0,1,0,-1,0,0,4,3,1826,546
Gardiner Jake,CAR,Player,13:14,0,0,0,0,0,0,0,3,5230,595
Sedin Daniel,CAR,Player,07:26,1,0,0,1,0,0,1,2,1794,627
Pesce Brett,CAR,Player,21:11,0,0,0,0,0,0,0,4,4415,906
de Haan Calvin,CAR,Player,18:44,0,0,0,0,0,0,0,2,4595,1754
Schmidt Nate,CAR,Player,20:01,0,0,0,-2,0,0,0,4,4431,2129
Jarvis Seth,CAR,Player,08:49,0,1,0,1,0,0,1,1,6574,2381
Peterka JJ,CAR,Player,16:53,0,0,2,0,0,0,2,2,6605,2509
Bonino Nick,CAR,Player,12:19,0,0,0,0,0,0,0,1,563,2862
Teravainen Teuvo,CAR,Player,10:38,1,0,0,-2,1,0,4,1,1779,2963
Fast Jesper,CAR,Player,10:19,0,1,0,1,0,0,1,3,286,3542
Svechnikov Andrei,CAR,Player,17:41,0,1,2,-1,0,0,8,3,5058,3885
Slavin Jaccob,CAR,Player,26:50,0,0,0,-2,0,0,0,8,4920,4060
Andersen Frederik,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,1149,664
Raanta Antti,CAR,Goalie,59:55,-,0,0,-,4,0,23,-,2608,2912
