Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,21:23,0,0,2,-2,0,0,1,8,6627,64
Zibanejad Mika,NYR,Player,21:17,1,2,0,1,1,0,5,0,2170,108
Blais Sam,NYR,Player,08:40,0,0,0,-1,0,0,0,0,6207,639
Lindgren Ryan,NYR,Player,21:15,0,1,0,0,0,0,1,5,3870,855
Hajek Libor,NYR,Player,18:28,0,0,0,-2,0,0,0,3,1718,857
Kakko Kaapo,NYR,Player,14:57,0,0,0,0,0,0,1,2,4419,863
Kravtsov Vitali,NYR,Player,16:28,0,0,0,0,0,0,2,2,6192,948
Fox Adam,NYR,Player,21:32,0,0,0,0,0,0,1,5,1181,1227
Vesey Jimmy,NYR,Player,08:59,0,0,0,-1,0,0,0,0,6032,1596
Miller K’andre,NYR,Player,21:54,0,0,0,2,0,0,1,2,2796,2118
Lafreniere Alexis,NYR,Player,10:04,0,0,0,-1,0,0,0,4,6516,2135
Chytil Filip,NYR,Player,08:40,0,0,0,-1,0,0,0,0,2026,2350
Trouba Jacob,NYR,Player,27:00,0,1,0,2,0,0,0,5,1743,2659
Panarin Artemi,NYR,Player,17:01,1,1,0,0,0,0,1,4,1917,3139
Goodrow Barclay,NYR,Player,25:16,2,0,0,2,0,1,6,1,2539,3211
Trocheck Vincent,NYR,Player,14:05,0,1,2,0,0,0,3,3,3671,3527
Kreider Chris,NYR,Player,21:21,1,2,0,0,0,0,5,0,2968,3752
Carpenter Ryan,NYR,Player,10:09,0,0,0,-1,0,0,0,2,2797,4157
Halak Jaroslav,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,1277,326
Shestyorkin Igor,NYR,Goalie,64:36,-,0,0,-,4,0,21,-,5584,2237
Kane Patrick,CHI,Player,19:08,2,0,0,0,0,0,3,1,5160,151
Toews Jonathan,CHI,Player,24:38,0,1,0,-1,0,0,2,2,5161,152
Johnson Jack,CHI,Player,14:33,0,0,0,1,0,0,0,5,1232,285
Jones Seth,CHI,Player,28:29,0,1,0,0,0,0,0,4,4044,424
Kurashev Philipp,CHI,Player,15:34,0,1,0,1,0,0,2,2,1698,542
Connolly Brett,CHI,Player,13:31,0,1,0,0,0,0,3,2,2688,584
Jones Caleb,CHI,Player,21:12,0,0,0,-1,0,0,0,2,2949,712
Murphy Connor,CHI,Player,29:50,0,1,0,0,0,0,0,3,289,1842
Johnson Tyler,CHI,Player,14:45,0,0,2,-2,0,0,1,1,892,2411
Tinordi Jarred,CHI,Player,17:53,0,0,0,1,0,0,1,9,2087,2435
Katchouk Boris,CHI,Player,12:26,0,1,0,1,0,0,1,0,6594,2457
Raddysh Taylor,CHI,Player,11:12,0,0,0,0,0,0,0,1,6595,2458
Blackwell Colin,CHI,Player,13:47,1,0,0,1,0,0,1,3,3751,2663
McCabe Jake,CHI,Player,17:29,0,0,0,-1,0,0,0,4,5306,3478
Domi Max,CHI,Player,23:51,0,1,0,0,0,0,3,1,2552,4013
Khaira Jujhar,CHI,Player,12:04,1,0,0,1,0,0,1,0,4766,4033
Athanasiou Andreas,CHI,Player,15:00,0,0,0,-1,0,0,1,1,5664,4103
Dickinson Jason,CHI,Player,08:17,0,0,0,1,0,0,2,2,6177,4437
Mrazek Petr,CHI,Goalie,64:37,-,0,2,-,5,0,27,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
