Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,09:24,0,0,0,0,0,0,0,2,6627,64
Zibanejad Mika,NYR,Player,12:38,0,0,0,-2,0,0,0,2,2170,108
Marner Mitchell,NYR,Player,10:24,0,0,0,-1,0,0,1,2,6033,348
Harpur Ben,NYR,Player,10:18,0,0,0,-1,0,0,0,1,6628,575
Blais Sam,NYR,Player,10:05,0,0,0,0,0,0,2,1,6207,639
Lindgren Ryan,NYR,Player,10:01,0,0,0,0,0,0,0,4,3870,855
Kakko Kaapo,NYR,Player,08:57,0,0,0,0,0,0,1,1,4419,863
Kravtsov Vitali,NYR,Player,05:29,0,0,0,0,0,0,2,0,6192,948
Fox Adam,NYR,Player,13:46,0,0,0,-2,0,0,0,1,1181,1227
Vesey Jimmy,NYR,Player,08:11,0,0,0,0,0,0,0,1,6032,1596
Miller K’andre,NYR,Player,11:22,0,0,0,0,0,0,0,6,2796,2118
Lafreniere Alexis,NYR,Player,12:38,0,0,0,-2,0,0,0,2,6516,2135
Chytil Filip,NYR,Player,01:57,0,0,0,0,0,0,0,0,2026,2350
Trouba Jacob,NYR,Player,11:44,0,0,0,0,0,0,1,2,1743,2659
Goodrow Barclay,NYR,Player,07:56,0,0,0,0,0,0,0,0,2539,3211
Trocheck Vincent,NYR,Player,11:16,0,0,2,0,0,0,2,2,3671,3527
Kreider Chris,NYR,Player,12:38,0,0,0,-2,0,0,0,0,2968,3752
Carpenter Ryan,NYR,Player,00:00,0,0,0,0,0,0,0,0,2797,4157
Jarry Tristan,NYR,Goalie,34:30,-,0,0,-,3,0,16,-,6137,634
Shestyorkin Igor,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,5584,2237
Johnston Wyatt,DAL,Player,08:43,0,0,0,0,0,0,0,0,6609,195
Benn Jamie,DAL,Player,12:04,0,1,2,1,0,0,1,6,3078,215
Suter Ryan,DAL,Player,10:25,0,0,0,0,0,0,0,3,3444,362
Heiskanen Miro,DAL,Player,13:25,0,1,0,2,0,0,0,6,825,505
Seguin Tyler,DAL,Player,11:13,1,0,0,1,0,1,2,0,3529,541
Guryanov Denis,DAL,Player,06:19,0,0,0,0,0,0,0,2,2137,600
Caamano Nicholas,DAL,Player,07:51,0,0,0,0,0,0,2,0,1383,691
Robertson Jason,DAL,Player,10:21,1,0,0,1,0,0,3,0,6511,1107
Kiviranta Joel,DAL,Player,00:00,0,0,0,0,0,0,0,0,1746,1247
Hakanpaa Jani,DAL,Player,18:29,0,0,0,1,0,0,0,1,3629,1606
Hintz Roope,DAL,Player,10:01,1,0,0,0,1,0,2,1,4787,1720
Aho Sebastian,DAL,Player,10:46,0,1,0,1,0,0,4,0,4038,1908
Faksa Radek,DAL,Player,03:48,0,0,0,0,0,0,1,0,1664,2024
Dellandrea Ty,DAL,Player,06:13,0,1,0,1,0,0,0,2,5062,2211
Lundkvist Nils,DAL,Player,10:40,0,0,0,0,0,0,0,2,6586,2420
Marchment Mason,DAL,Player,11:13,0,1,0,0,0,0,1,2,1942,2629
Hanley Joel,DAL,Player,07:27,0,0,0,1,0,0,0,3,5563,2691
Lindell Esa,DAL,Player,08:34,0,0,0,0,0,0,0,1,1621,3674
Oettinger Jake,DAL,Goalie,34:30,-,0,0,-,0,0,9,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
