Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,19:34,0,0,0,2,0,0,0,6,6627,64
Zibanejad Mika,NYR,Player,20:00,1,0,0,1,0,0,3,0,2170,108
Marner Mitchell,NYR,Player,18:49,0,1,0,2,0,0,2,0,6033,348
Harpur Ben,NYR,Player,19:54,0,0,0,2,0,0,0,4,6628,575
Blais Sam,NYR,Player,17:56,1,1,0,2,0,0,4,4,6207,639
Lindgren Ryan,NYR,Player,17:11,0,1,0,3,0,0,0,1,3870,855
Kakko Kaapo,NYR,Player,16:21,0,1,0,2,0,0,1,1,4419,863
Kravtsov Vitali,NYR,Player,14:00,1,0,0,1,0,0,1,2,6192,948
Fox Adam,NYR,Player,22:46,0,1,0,2,0,0,2,9,1181,1227
Vesey Jimmy,NYR,Player,08:37,2,0,0,2,0,0,4,1,6032,1596
Miller K’andre,NYR,Player,16:29,0,1,0,1,0,0,0,3,2796,2118
Lafreniere Alexis,NYR,Player,19:08,0,0,0,0,0,0,4,4,6516,2135
Chytil Filip,NYR,Player,13:01,0,2,0,3,0,0,1,0,2026,2350
Trouba Jacob,NYR,Player,17:36,1,1,0,2,0,1,1,2,1743,2659
Goodrow Barclay,NYR,Player,13:24,0,0,2,1,0,0,2,2,2539,3211
Trocheck Vincent,NYR,Player,16:57,0,0,0,1,0,0,2,0,3671,3527
Kreider Chris,NYR,Player,17:06,0,0,0,1,0,0,1,2,2968,3752
Carpenter Ryan,NYR,Player,06:13,0,1,0,1,0,0,1,0,2797,4157
Jarry Tristan,NYR,Goalie,60:00,-,1,0,-,0,0,17,-,6137,634
Shestyorkin Igor,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,5584,2237
Provorov Ivan,PHI,Player,14:57,0,0,0,-3,0,0,1,5,2543,183
Cates Noah,PHI,Player,06:59,0,0,0,-1,0,0,1,1,6625,338
Konecny Travis,PHI,Player,16:34,0,0,0,-2,0,0,0,1,6068,391
Garland Conor,PHI,Player,18:42,0,0,0,-1,0,0,0,0,2704,520
DeAngelo Anthony,PHI,Player,21:02,0,0,0,-4,0,0,0,4,5961,573
Sedlak Lukas,PHI,Player,11:49,0,0,0,-1,0,0,2,2,6073,610
Sedin Henrik,PHI,Player,17:57,0,0,0,-2,0,0,1,2,1795,759
Seeler Nick,PHI,Player,16:35,0,0,0,0,0,0,0,4,3217,1375
Petry Jeff,PHI,Player,30:44,0,0,0,-3,0,0,1,6,1116,1433
Laughton Scott,PHI,Player,17:30,0,0,0,-1,0,0,0,4,1055,2075
Morin Samuel,PHI,Player,18:14,0,0,0,-1,0,0,0,3,389,2143
Tippett Owen,PHI,Player,09:29,0,0,0,0,0,0,0,1,6528,2215
Roslovic Jack,PHI,Player,17:13,0,0,0,-3,0,0,1,1,3804,2225
Bunting Michael,PHI,Player,13:30,0,0,0,-1,0,0,1,1,6597,2463
MacEwen Zack,PHI,Player,06:26,0,0,0,-1,0,0,2,2,3423,2577
Van Riemsdyk James,PHI,Player,14:47,0,0,0,-1,0,0,3,0,2752,3033
Ristolainen Rasmus,PHI,Player,21:39,0,0,0,-2,0,0,0,1,3837,3376
Hayes Kevin,PHI,Player,21:14,0,0,0,-3,0,0,4,0,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,59:40,-,0,2,-,6,0,29,-,5616,2479
