Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,20:28,0,0,0,-1,0,0,0,6,6627,64
Zibanejad Mika,NYR,Player,19:46,1,0,0,1,0,0,2,3,2170,108
Blais Sam,NYR,Player,12:12,0,1,0,-1,0,0,2,0,6207,639
Lindgren Ryan,NYR,Player,29:45,1,1,0,1,0,0,1,9,3870,855
Hajek Libor,NYR,Player,13:16,0,0,0,-1,0,0,0,2,1718,857
Kakko Kaapo,NYR,Player,12:31,0,1,0,-1,0,0,1,0,4419,863
Kravtsov Vitali,NYR,Player,20:38,1,0,0,0,0,0,4,0,6192,948
Fox Adam,NYR,Player,28:02,0,1,0,2,0,0,0,8,1181,1227
Gauthier Julien,NYR,Player,11:31,1,1,0,0,0,0,4,0,5991,1314
Vesey Jimmy,NYR,Player,10:06,0,1,0,-1,0,0,2,2,6032,1596
Miller K’andre,NYR,Player,21:59,0,0,0,0,0,0,0,3,2796,2118
Lafreniere Alexis,NYR,Player,20:29,1,0,0,0,0,0,2,6,6516,2135
Chytil Filip,NYR,Player,09:44,1,0,0,0,0,1,4,2,2026,2350
Trouba Jacob,NYR,Player,16:30,0,0,0,-1,0,0,0,4,1743,2659
Panarin Artemi,NYR,Player,19:23,0,0,0,1,0,0,2,0,1917,3139
Goodrow Barclay,NYR,Player,15:23,0,1,0,0,0,0,6,2,2539,3211
Trocheck Vincent,NYR,Player,20:26,0,1,2,-1,0,0,0,1,3671,3527
Kreider Chris,NYR,Player,15:53,0,1,0,1,0,0,1,1,2968,3752
Halak Jaroslav,NYR,Goalie,33:52,-,0,0,-,3,0,10,-,1277,326
Shestyorkin Igor,NYR,Goalie,31:03,-,0,0,-,3,0,9,-,5584,2237
Bozak Tyler,STL,Player,06:19,0,0,0,-2,0,0,1,0,2255,571
Barbashyov Ivan,STL,Player,22:27,0,1,0,1,0,0,0,3,3871,986
Buchnevich Pavel,STL,Player,17:39,1,0,0,-2,0,0,2,1,226,1067
Saad Brandon,STL,Player,19:43,1,0,0,-1,0,0,2,2,1737,1234
Thomas Robert,STL,Player,13:19,2,0,0,1,0,0,6,2,3452,1332
Acciari Noel,STL,Player,09:57,0,1,0,-1,0,0,0,1,2639,1973
Bortuzzo Robert,STL,Player,16:04,0,1,0,3,0,0,0,5,4409,2134
Mikkola Niko,STL,Player,21:28,0,0,0,-2,0,0,0,4,1141,2155
Parayko Colton,STL,Player,25:30,0,0,0,0,0,0,0,6,4669,2158
Pitlick Rem,STL,Player,13:08,0,2,0,3,0,0,0,0,6566,2343
O'Reilly Ryan,STL,Player,21:28,0,1,0,2,0,0,0,2,3062,2382
Perunovich Scott,STL,Player,13:00,0,0,0,1,0,0,0,4,6590,2441
Kyrou Jordan,STL,Player,15:21,1,3,0,4,0,0,2,0,6208,2446
Krug Torey,STL,Player,26:27,0,0,0,0,0,0,0,2,3615,2521
Schenn Brayden,STL,Player,23:05,0,1,0,-3,0,0,1,3,4131,3265
Leivo Josh,STL,Player,06:38,0,0,0,-2,0,0,1,1,2541,3307
Faulk Justin,STL,Player,27:31,0,1,0,-2,0,0,0,2,3744,3400
Tarasenko Vladimir,STL,Player,15:58,1,0,2,0,0,0,4,3,2695,4349
Binnington Jordan,STL,Goalie,65:00,-,1,0,-,6,0,31,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
