Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,14:31,0,0,0,-1,0,0,0,3,6627,64
Zibanejad Mika,NYR,Player,26:12,0,1,0,0,0,0,2,0,2170,108
Harpur Ben,NYR,Player,12:51,0,0,0,-1,0,0,0,2,6628,575
Blais Sam,NYR,Player,02:26,0,0,0,-2,0,0,0,0,6207,639
Lindgren Ryan,NYR,Player,25:02,0,0,0,-2,0,0,0,2,3870,855
Kakko Kaapo,NYR,Player,00:00,0,0,0,0,0,0,0,0,4419,863
Kravtsov Vitali,NYR,Player,22:51,1,0,0,0,1,0,1,2,6192,948
Fox Adam,NYR,Player,27:02,0,0,0,-2,0,0,1,6,1181,1227
Gauthier Julien,NYR,Player,08:47,0,0,0,-1,0,0,0,1,5991,1314
Vesey Jimmy,NYR,Player,02:43,0,0,0,-2,0,0,0,1,6032,1596
Miller K’andre,NYR,Player,26:10,0,2,0,0,0,0,0,2,2796,2118
Lafreniere Alexis,NYR,Player,33:18,0,1,0,0,0,0,0,1,6516,2135
Chytil Filip,NYR,Player,04:52,0,0,0,-2,0,0,0,1,2026,2350
Trouba Jacob,NYR,Player,22:30,0,1,0,0,0,0,0,7,1743,2659
Panarin Artemi,NYR,Player,25:00,0,0,0,0,0,0,1,4,1917,3139
Goodrow Barclay,NYR,Player,21:05,1,0,0,0,0,0,5,3,2539,3211
Trocheck Vincent,NYR,Player,13:22,0,1,2,-1,0,0,1,2,3671,3527
Kreider Chris,NYR,Player,22:48,1,0,0,0,1,0,4,2,2968,3752
Halak Jaroslav,NYR,Goalie,63:44,-,0,0,-,4,0,20,-,1277,326
Shestyorkin Igor,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,5584,2237
Ferland Michael,VAN,Player,07:59,0,0,0,1,0,0,0,0,623,83
Horvat Bo,VAN,Player,18:15,0,1,0,0,0,0,2,0,2502,104
Ekman-Larsson Oliver,VAN,Player,21:35,0,0,0,2,0,0,0,3,2592,139
Garland Conor,VAN,Player,16:31,0,0,0,0,0,0,0,1,2704,520
Poolman Tucker,VAN,Player,19:55,0,0,0,0,0,0,0,3,6203,574
Highmore Matthew,VAN,Player,07:33,0,1,0,1,0,0,0,1,1472,665
Stillman Riley,VAN,Player,22:45,0,0,0,0,0,0,0,5,4268,719
Hughes Quinton,VAN,Player,20:54,0,0,0,2,0,0,0,2,1188,1210
Podkolzin Vasili,VAN,Player,18:15,1,0,0,0,0,0,3,1,5788,1577
Lazar Curtis,VAN,Player,23:55,0,0,2,0,0,0,3,1,2496,2115
Miller J.T.,VAN,Player,21:44,1,1,0,2,0,0,2,2,3233,2378
Pettersson Elias,VAN,Player,17:38,0,2,0,2,0,0,2,1,6254,2525
Kuzmenko Andrei,VAN,Player,06:52,0,0,2,-1,0,0,0,1,2462,2782
Myers Tyler,VAN,Player,22:28,0,0,0,1,0,0,0,6,1127,2893
Schenn Luke,VAN,Player,20:29,0,2,0,1,0,0,0,3,237,3199
Pearson Tanner,VAN,Player,14:46,0,0,2,0,0,0,2,2,3944,3524
Mikheyev Ilya,VAN,Player,06:16,1,0,0,1,0,0,3,1,4751,3929
Boeser Brock,VAN,Player,20:32,1,1,0,2,0,0,3,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,63:50,-,0,0,-,3,0,15,-,5939,4241
