Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Schneider Braden,NYR,Player,20:07,0,0,0,-1,0,0,0,5,6627,64
Zibanejad Mika,NYR,Player,21:31,1,0,0,-1,0,0,3,2,2170,108
Blais Sam,NYR,Player,10:14,0,0,0,-2,0,0,2,0,6207,639
Lindgren Ryan,NYR,Player,14:42,0,0,0,-1,0,0,0,8,3870,855
Hajek Libor,NYR,Player,18:02,0,0,0,-1,0,0,0,4,1718,857
Kakko Kaapo,NYR,Player,09:10,1,0,0,1,0,0,5,2,4419,863
Kravtsov Vitali,NYR,Player,17:42,0,1,0,0,0,0,1,0,6192,948
Fox Adam,NYR,Player,21:58,0,0,0,-1,0,0,1,5,1181,1227
Vesey Jimmy,NYR,Player,09:41,0,0,0,-2,0,0,4,2,6032,1596
Miller K’andre,NYR,Player,26:49,0,0,0,0,0,0,0,6,2796,2118
Lafreniere Alexis,NYR,Player,07:59,0,2,0,1,0,0,1,0,6516,2135
Chytil Filip,NYR,Player,10:50,0,0,0,-2,0,0,0,0,2026,2350
Trouba Jacob,NYR,Player,18:22,0,0,0,0,0,0,0,4,1743,2659
Panarin Artemi,NYR,Player,15:03,0,1,0,-1,0,0,6,2,1917,3139
Goodrow Barclay,NYR,Player,15:27,1,0,0,0,0,0,3,1,2539,3211
Trocheck Vincent,NYR,Player,18:42,1,1,0,1,0,0,1,1,3671,3527
Kreider Chris,NYR,Player,19:07,0,1,2,-1,0,0,5,1,2968,3752
Carpenter Ryan,NYR,Player,19:39,0,1,0,0,0,0,2,2,2797,4157
Halak Jaroslav,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,1277,326
Shestyorkin Igor,NYR,Goalie,59:57,-,0,0,-,6,0,24,-,5584,2237
Hagelin Carl,WSH,Player,11:46,1,1,0,2,0,0,1,0,1650,360
Ovechkin Alexander,WSH,Player,18:56,1,0,0,1,0,0,4,2,3392,650
Backstrom Nicklas,WSH,Player,19:30,0,1,0,1,0,0,2,0,3066,654
Gustafsson Erik,WSH,Player,20:14,0,2,0,0,0,0,0,7,5592,1753
Milano Sonny,WSH,Player,13:36,0,1,0,-1,0,0,1,1,5124,1863
Strome Dylan,WSH,Player,15:36,0,0,0,0,0,0,0,2,1508,1925
Wilson Tom,WSH,Player,16:22,0,1,0,1,0,0,0,2,3194,2128
Irwin Matthew,WSH,Player,14:59,1,0,0,0,0,0,1,4,3503,2183
Fehervary Martin,WSH,Player,24:02,0,1,0,0,0,0,0,6,6598,2464
Aube-Kubel Nicolas,WSH,Player,11:08,0,1,0,1,0,0,2,0,3774,2530
Mantha Anthony,WSH,Player,16:53,1,0,0,0,0,0,6,0,5548,2690
Kuznetsov Evgeny,WSH,Player,18:14,1,1,0,0,0,0,2,0,4336,2909
Eller Lars,WSH,Player,10:42,1,1,0,1,0,0,1,0,4321,3035
Carlson John,WSH,Player,20:59,0,0,0,2,0,0,1,3,4455,3124
Oshie T.J.,WSH,Player,17:48,0,0,0,0,0,0,3,3,5408,3212
Orlov Dmitry,WSH,Player,21:18,0,0,0,2,0,0,0,3,1905,3776
Sheary Conor,WSH,Player,10:16,0,1,0,0,0,0,0,0,648,4142
Jensen Nick,WSH,Player,18:28,0,0,0,0,0,0,0,5,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,59:13,-,1,0,-,4,0,34,-,2785,429
