Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,25:08,0,0,0,-4,0,0,4,5,4369,96
Chabot Thomas,OTT,Player,22:40,0,0,0,-3,0,0,0,5,6067,343
Batherson Drake,OTT,Player,20:14,0,1,0,-3,0,0,0,5,6270,452
Sanderson Jake,OTT,Player,18:45,0,0,0,0,0,0,1,3,6626,478
Formenton Alex,OTT,Player,13:07,0,1,0,0,0,0,2,2,5078,965
Joseph Mathieu,OTT,Player,15:20,0,1,0,0,0,0,1,0,6178,1208
Zub Artyom,OTT,Player,18:35,0,0,0,-3,0,0,0,2,5298,2138
Norris Josh,OTT,Player,15:26,2,0,0,0,0,0,7,0,6533,2238
Stutzle Tim,OTT,Player,25:58,0,0,0,-4,0,0,4,2,6534,2242
Holden Nick,OTT,Player,22:29,0,0,0,-3,0,0,0,4,4405,2309
Pinto Shane,OTT,Player,03:15,0,0,0,0,0,0,0,0,6587,2421
Zaitsev Nikita,OTT,Player,22:25,0,0,0,-3,0,0,0,3,2746,2442
Hamonic Travis,OTT,Player,15:06,0,0,0,0,0,0,0,1,5797,3535
DeBrincat Alex,OTT,Player,23:24,0,0,0,-3,0,0,4,0,331,3711
Motte Tyler,OTT,Player,16:17,0,1,0,-2,0,0,1,2,5938,3850
Watson Austin,OTT,Player,03:15,0,0,0,0,0,0,0,0,4657,3999
Giroux Claude,OTT,Player,15:21,1,0,0,-2,0,0,1,2,3923,4237
Brassard Derrick,OTT,Player,03:15,0,0,0,0,0,0,0,0,5278,4283
Forsberg Anton,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,2506,2353
Talbot Cam,OTT,Goalie,60:00,-,0,0,-,9,0,37,-,3932,3378
Zegras Trevor,ANA,Player,14:04,0,0,0,1,0,0,3,1,6553,22
Shattenkirk Kevin,ANA,Player,18:38,0,2,0,3,0,0,0,6,4438,172
Kulikov Dmitry,ANA,Player,24:02,0,0,0,2,0,0,0,4,4685,272
Groulx Benoit-Olivier,ANA,Player,12:28,1,1,0,1,0,0,2,0,1457,295
Comtois Maxime,ANA,Player,16:42,1,0,0,2,0,0,1,2,4341,303
Henrique Adam,ANA,Player,15:46,1,1,0,2,0,0,3,3,837,320
Drysdale Jamie,ANA,Player,18:23,0,1,0,2,0,0,0,4,6570,406
Terry Troy,ANA,Player,15:05,1,1,0,2,0,0,6,2,1967,2146
Fowler Cam,ANA,Player,18:28,0,1,0,3,0,0,0,10,4436,2371
Grant Derek,ANA,Player,12:57,2,1,0,1,0,0,4,2,5353,2392
Leason Brett,ANA,Player,15:47,0,1,0,2,0,0,2,2,6600,2466
De Leo Chase,ANA,Player,16:40,0,0,0,1,0,0,2,2,545,2482
McTavish Mason,ANA,Player,14:09,0,0,0,1,0,0,1,3,6601,2491
Benoit Simon,ANA,Player,17:30,0,1,0,1,0,0,0,6,3723,2670
Klingberg John,ANA,Player,22:59,1,1,0,1,0,0,2,4,2537,2843
Silfverberg Jakob,ANA,Player,11:56,0,1,0,1,0,0,1,1,1362,3143
Strome Ryan,ANA,Player,17:13,1,1,0,2,0,0,4,2,396,3219
Vatrano Frank,ANA,Player,17:13,1,1,0,2,0,0,6,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,3,0,25,-,2104,2896
