Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Skinner Jeff,OTT,Player,19:55,0,1,0,0,0,0,5,0,2848,77
Chabot Thomas,OTT,Player,22:37,0,0,0,-1,0,0,0,4,6067,343
Sanderson Jake,OTT,Player,22:58,0,0,0,-3,0,0,1,5,6626,478
Gambrell Dylan,OTT,Player,04:28,0,0,0,0,0,0,2,0,3010,697
Atkinson Cam,OTT,Player,15:34,0,1,0,1,0,0,1,1,3496,733
Kolesnikov Konstantin,OTT,Player,15:18,0,0,0,-3,0,0,4,0,4171,752
Formenton Alex,OTT,Player,19:08,0,0,0,-3,0,0,2,1,5078,965
Joseph Mathieu,OTT,Player,09:30,0,0,0,-1,0,0,1,2,6178,1208
Zub Artyom,OTT,Player,19:49,0,1,0,0,0,0,0,5,5298,2138
Norris Josh,OTT,Player,16:11,1,0,0,0,0,0,4,0,6533,2238
Stutzle Tim,OTT,Player,15:55,0,0,0,0,0,0,1,0,6534,2242
Holden Nick,OTT,Player,18:08,0,0,0,0,0,0,0,3,4405,2309
Pinto Shane,OTT,Player,18:15,0,0,0,-3,0,0,1,0,6587,2421
Zaitsev Nikita,OTT,Player,15:54,0,0,0,-1,0,0,0,1,2746,2442
Stamkos Steven,OTT,Player,21:25,1,0,0,-1,0,0,4,3,240,3254
Hamonic Travis,OTT,Player,20:34,0,0,0,-3,0,0,0,3,5797,3535
DeBrincat Alex,OTT,Player,19:45,0,1,0,-2,0,0,2,0,331,3711
Motte Tyler,OTT,Player,04:39,0,0,0,0,0,0,1,0,5938,3850
Forsberg Anton,OTT,Goalie,59:57,-,0,0,-,6,0,40,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Stastny Paul,CAR,Player,08:33,0,1,0,0,0,0,1,1,934,153
Burns Brent,CAR,Player,19:48,0,0,0,2,0,0,0,2,410,309
Wheeler Blake,CAR,Player,18:03,0,0,0,2,0,0,5,2,206,404
Carter Jeff,CAR,Player,21:14,1,0,0,0,0,0,2,3,3297,474
Staal Jordan,CAR,Player,11:34,1,1,0,1,0,0,6,2,1628,500
Pavelski Joe,CAR,Player,17:14,0,1,0,1,0,0,0,1,1826,546
Gardiner Jake,CAR,Player,15:21,0,0,0,1,0,0,0,2,5230,595
Sedin Daniel,CAR,Player,14:42,1,1,0,2,0,0,4,1,1794,627
Pesce Brett,CAR,Player,23:52,0,0,0,1,0,0,0,4,4415,906
de Haan Calvin,CAR,Player,20:40,0,1,0,2,0,0,0,4,4595,1754
Schmidt Nate,CAR,Player,15:22,0,1,0,1,0,0,0,0,4431,2129
Jarvis Seth,CAR,Player,14:14,0,1,0,2,0,0,6,3,6574,2381
Peterka JJ,CAR,Player,08:29,0,1,0,0,0,0,1,1,6605,2509
Bonino Nick,CAR,Player,09:07,1,0,2,0,0,0,3,1,563,2862
Teravainen Teuvo,CAR,Player,13:06,0,2,2,1,0,0,3,1,1779,2963
Fast Jesper,CAR,Player,13:33,1,0,0,2,0,0,5,1,286,3542
Svechnikov Andrei,CAR,Player,20:13,1,0,0,1,0,0,3,1,5058,3885
Slavin Jaccob,CAR,Player,24:57,0,0,0,1,0,0,1,6,4920,4060
Andersen Frederik,CAR,Goalie,60:00,-,0,0,-,2,0,29,-,1149,664
Raanta Antti,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,2608,2912
