Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Skinner Jeff,OTT,Player,20:05,0,1,0,-1,0,0,0,2,2848,77
Chabot Thomas,OTT,Player,25:16,0,1,0,0,0,0,0,4,6067,343
Sanderson Jake,OTT,Player,12:12,0,0,0,1,0,0,0,2,6626,478
Gambrell Dylan,OTT,Player,07:50,0,1,0,0,0,0,0,1,3010,697
Atkinson Cam,OTT,Player,17:35,0,0,0,-1,0,0,1,1,3496,733
Kolesnikov Konstantin,OTT,Player,11:28,1,0,0,1,0,0,2,0,4171,752
Formenton Alex,OTT,Player,11:52,1,0,0,1,0,0,1,1,5078,965
Joseph Mathieu,OTT,Player,09:23,0,0,0,0,0,0,0,0,6178,1208
Zub Artyom,OTT,Player,22:32,0,0,0,-2,0,0,0,4,5298,2138
Norris Josh,OTT,Player,18:26,1,0,2,-1,0,0,5,1,6533,2238
Stutzle Tim,OTT,Player,20:08,0,0,0,-1,0,0,2,2,6534,2242
Holden Nick,OTT,Player,20:53,0,0,0,-2,0,0,1,4,4405,2309
Pinto Shane,OTT,Player,13:23,0,2,0,1,0,0,2,2,6587,2421
Zaitsev Nikita,OTT,Player,25:58,0,0,0,0,0,0,0,3,2746,2442
Stamkos Steven,OTT,Player,19:36,0,2,0,-1,0,0,2,0,240,3254
Hamonic Travis,OTT,Player,13:09,0,0,0,1,0,0,0,0,5797,3535
DeBrincat Alex,OTT,Player,20:46,1,0,0,-1,0,0,5,1,331,3711
Motte Tyler,OTT,Player,09:09,1,0,0,0,0,0,2,0,5938,3850
Forsberg Anton,OTT,Goalie,59:41,-,0,0,-,7,0,28,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Kane Patrick,CHI,Player,18:02,1,1,0,0,1,0,2,2,5160,151
Toews Jonathan,CHI,Player,18:04,1,0,0,0,0,0,2,2,5161,152
Johnson Jack,CHI,Player,14:51,0,1,0,-1,0,0,0,4,1232,285
Jones Seth,CHI,Player,25:37,0,1,0,1,0,0,0,5,4044,424
Kurashev Philipp,CHI,Player,16:19,0,0,0,0,0,0,4,0,1698,542
Connolly Brett,CHI,Player,08:31,0,1,0,0,0,0,0,0,2688,584
Jones Caleb,CHI,Player,19:32,0,1,0,1,0,0,1,8,2949,712
Murphy Connor,CHI,Player,27:40,0,3,0,1,0,0,0,2,289,1842
Johnson Tyler,CHI,Player,17:17,0,1,0,1,0,0,2,2,892,2411
Tinordi Jarred,CHI,Player,15:00,0,0,0,-1,0,0,1,2,2087,2435
Katchouk Boris,CHI,Player,15:54,0,2,0,0,0,0,1,0,6594,2457
Raddysh Taylor,CHI,Player,17:08,1,0,0,1,0,0,5,1,6595,2458
Blackwell Colin,CHI,Player,15:05,1,0,0,-1,0,0,1,1,3751,2663
McCabe Jake,CHI,Player,17:20,0,2,0,1,0,0,0,2,5306,3478
Domi Max,CHI,Player,16:34,0,1,0,0,0,0,0,2,2552,4013
Khaira Jujhar,CHI,Player,09:38,2,0,0,1,0,0,4,0,4766,4033
Athanasiou Andreas,CHI,Player,17:32,1,0,0,0,0,0,3,1,5664,4103
Dickinson Jason,CHI,Player,10:00,0,0,0,1,0,0,2,1,6177,4437
Mrazek Petr,CHI,Goalie,59:56,-,0,0,-,5,0,23,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
