Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,18:01,0,1,0,0,0,0,4,1,4369,96
Chabot Thomas,OTT,Player,21:08,0,0,0,0,0,0,0,2,6067,343
Batherson Drake,OTT,Player,18:26,1,0,0,-1,0,0,6,2,6270,452
Sanderson Jake,OTT,Player,24:42,0,1,0,2,0,0,1,0,6626,478
Heatherington Dillon,OTT,Player,27:09,0,0,0,-1,0,0,3,2,2786,805
Formenton Alex,OTT,Player,08:06,0,0,0,0,0,0,0,0,5078,965
Joseph Mathieu,OTT,Player,08:28,0,0,0,1,0,0,0,1,6178,1208
Norris Josh,OTT,Player,10:40,0,0,0,0,0,0,2,1,6533,2238
Stutzle Tim,OTT,Player,22:50,1,0,0,1,0,0,5,2,6534,2242
Holden Nick,OTT,Player,18:18,0,0,0,-3,0,0,0,0,4405,2309
Pinto Shane,OTT,Player,14:51,2,0,0,1,0,0,5,0,6587,2421
Zaitsev Nikita,OTT,Player,21:37,0,0,0,0,0,0,0,2,2746,2442
Hamonic Travis,OTT,Player,17:06,0,0,0,2,0,0,0,1,5797,3535
DeBrincat Alex,OTT,Player,20:54,0,1,0,1,0,0,3,2,331,3711
Motte Tyler,OTT,Player,20:16,0,0,0,-2,0,0,4,2,5938,3850
Watson Austin,OTT,Player,15:58,0,2,0,0,0,0,5,3,4657,3999
Giroux Claude,OTT,Player,18:56,0,1,0,-1,0,0,4,1,3923,4237
Brassard Derrick,OTT,Player,12:59,0,1,0,0,0,0,1,2,5278,4283
Forsberg Anton,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,2506,2353
Talbot Cam,OTT,Goalie,64:35,-,0,0,-,4,0,19,-,3932,3378
Landeskog Gabriel,COL,Player,20:43,0,1,0,2,0,0,0,4,1157,105
Nichushkin Valery,COL,Player,15:37,0,0,0,0,0,0,0,1,2145,258
Cogliano Andrew,COL,Player,13:53,1,0,0,-2,0,0,2,4,5163,259
Galchenyuk Alex,COL,Player,09:01,0,0,2,-1,0,0,1,0,1690,281
Johnson Erik,COL,Player,21:16,0,0,0,1,0,0,0,6,5288,544
MacKinnon Nathan,COL,Player,21:03,1,0,2,1,0,0,4,5,3917,599
Makar Cale,COL,Player,20:30,0,0,0,0,0,0,1,4,4146,683
MacDermid Kurtis,COL,Player,22:53,0,1,0,1,0,0,0,8,1114,747
Toews Devon,COL,Player,20:14,0,1,0,2,0,0,1,7,3708,854
Lehkonen Artturi,COL,Player,16:33,1,2,0,2,0,0,2,0,3216,1447
Newhook Alex,COL,Player,21:36,1,1,0,1,0,0,2,2,6560,1456
Rantanen Mikko,COL,Player,20:24,0,0,0,0,0,0,4,4,5444,1683
O'Connor Logan,COL,Player,13:49,0,0,0,-1,0,0,1,2,6576,2388
Rodrigues Evan,COL,Player,08:02,0,0,0,-1,0,0,0,2,6126,2650
Matteau Stefan,COL,Player,08:47,0,0,0,0,0,0,1,0,3256,3216
Manson Josh,COL,Player,24:46,0,1,0,-2,0,0,0,4,5585,3493
Compher J.T.,COL,Player,13:17,0,1,0,-1,0,0,0,1,5937,3848
Girard Samuel,COL,Player,20:21,0,0,0,-2,0,0,0,1,6118,4344
Georgiev Alexander,COL,Goalie,40:00,-,0,0,-,4,0,20,-,482,92
Francouz Pavel,COL,Goalie,25:00,-,0,0,-,0,0,23,-,2460,341
