Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,15:21,0,0,0,0,0,0,2,2,4369,96
Chabot Thomas,OTT,Player,21:38,0,0,0,-1,0,0,0,2,6067,343
Batherson Drake,OTT,Player,13:46,0,0,0,-1,0,0,3,0,6270,452
Sanderson Jake,OTT,Player,22:03,0,1,0,0,0,0,1,2,6626,478
Formenton Alex,OTT,Player,15:33,2,0,0,0,0,0,2,1,5078,965
Joseph Mathieu,OTT,Player,14:44,0,0,0,0,0,0,0,2,6178,1208
Zub Artyom,OTT,Player,20:44,0,0,0,-1,0,0,0,3,5298,2138
Norris Josh,OTT,Player,18:34,0,1,0,0,0,0,2,1,6533,2238
Stutzle Tim,OTT,Player,18:59,0,0,0,0,0,0,2,0,6534,2242
Holden Nick,OTT,Player,22:56,0,0,0,-1,0,0,0,0,4405,2309
Pinto Shane,OTT,Player,13:02,0,0,0,-1,0,0,4,1,6587,2421
Zaitsev Nikita,OTT,Player,18:31,0,0,0,-1,0,0,0,1,2746,2442
Hamonic Travis,OTT,Player,14:08,0,0,0,0,0,0,0,3,5797,3535
DeBrincat Alex,OTT,Player,19:02,0,0,0,0,0,0,3,0,331,3711
Motte Tyler,OTT,Player,15:06,0,0,0,-1,0,0,2,0,5938,3850
Watson Austin,OTT,Player,11:37,0,0,0,-1,0,0,1,0,4657,3999
Giroux Claude,OTT,Player,12:24,0,0,0,-1,0,0,2,0,3923,4237
Brassard Derrick,OTT,Player,12:16,0,0,0,-1,0,0,3,1,5278,4283
Forsberg Anton,OTT,Goalie,59:36,-,0,0,-,4,0,16,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Hronek Filip,DET,Player,18:34,0,0,0,0,0,0,0,1,6228,9
Copp Andy,DET,Player,16:37,0,1,2,2,0,0,2,1,4865,103
Berggren Jonatan,DET,Player,15:14,0,0,0,-1,0,0,2,1,6610,292
Hagg Robert,DET,Player,18:10,0,0,0,2,0,0,0,3,2110,400
Kubalik Dominik,DET,Player,11:56,1,0,0,2,0,0,1,0,6156,522
Perron David,DET,Player,19:46,1,0,0,1,0,0,1,2,5165,543
Seider Moritz,DET,Player,20:33,0,1,0,2,0,0,0,0,1948,645
Luff Matt,DET,Player,09:55,0,0,0,-1,0,0,2,2,5233,738
Czarnik  Austin,DET,Player,14:43,1,1,0,1,0,0,1,0,6079,1022
Maatta Olli,DET,Player,18:25,0,0,0,0,0,0,0,5,2735,1899
Raymond Lucas,DET,Player,15:13,0,0,0,1,0,0,0,1,6568,2364
Oesterle Jordan,DET,Player,19:46,0,0,0,0,0,0,0,4,3157,2845
Chiarot Ben,DET,Player,24:32,0,1,0,0,0,0,0,1,2315,3069
Larkin Dylan,DET,Player,16:47,0,1,0,0,0,0,2,0,5774,3165
Fabbri Robby,DET,Player,10:24,1,0,0,1,0,0,1,1,5090,4016
Bertuzzi Tyler,DET,Player,17:35,0,0,0,-1,0,0,1,1,328,4304
Vrana Jakub,DET,Player,13:06,0,0,0,-1,0,0,3,2,6115,4338
Erne Adam,DET,Player,13:46,0,1,0,2,0,0,0,3,6139,4341
Husso Ville,DET,Goalie,60:00,-,0,0,-,2,0,27,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
