Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,15:20,1,2,0,2,0,0,3,1,4369,96
Chabot Thomas,OTT,Player,22:11,1,1,0,3,0,0,1,2,6067,343
Batherson Drake,OTT,Player,17:35,0,3,0,-1,0,0,4,2,6270,452
Sanderson Jake,OTT,Player,18:20,0,0,0,1,0,0,0,1,6626,478
Formenton Alex,OTT,Player,10:15,0,1,0,1,0,0,5,1,5078,965
Joseph Mathieu,OTT,Player,13:20,0,1,0,1,0,0,2,3,6178,1208
Zub Artyom,OTT,Player,19:29,0,2,0,-1,0,0,1,2,5298,2138
Norris Josh,OTT,Player,12:46,1,0,0,1,0,0,1,1,6533,2238
Stutzle Tim,OTT,Player,17:26,0,2,0,1,0,0,0,1,6534,2242
Holden Nick,OTT,Player,18:50,0,0,0,0,0,0,0,1,4405,2309
Pinto Shane,OTT,Player,14:52,1,0,0,1,0,0,2,1,6587,2421
Zaitsev Nikita,OTT,Player,23:26,0,1,0,2,0,0,0,4,2746,2442
Hamonic Travis,OTT,Player,17:44,0,0,0,1,0,0,0,2,5797,3535
DeBrincat Alex,OTT,Player,15:43,1,1,0,2,0,0,4,0,331,3711
Motte Tyler,OTT,Player,16:28,1,0,0,-1,0,0,3,2,5938,3850
Watson Austin,OTT,Player,16:27,0,0,0,1,0,0,4,2,4657,3999
Giroux Claude,OTT,Player,14:05,2,1,0,0,0,0,5,0,3923,4237
Brassard Derrick,OTT,Player,15:43,0,0,0,1,0,0,3,1,5278,4283
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,5,0,24,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Iafallo Alex,LA,Player,14:18,0,0,0,0,0,0,3,2,6121,58
Durzi Sean,LA,Player,22:25,0,0,0,0,0,0,0,3,6611,82
Doughty Drew,LA,Player,17:58,0,1,0,-2,0,0,0,1,216,294
Kopitar Anze,LA,Player,19:09,1,0,0,-2,0,0,2,1,2287,298
Lemieux Brendan,LA,Player,12:36,0,0,0,-1,0,0,2,2,1391,443
Edler Alexander,LA,Player,19:54,0,2,0,-2,0,0,0,6,3842,611
Roy Matt,LA,Player,19:37,0,1,0,-1,0,0,2,5,4118,728
Moore Trevor,LA,Player,13:55,1,0,0,0,0,0,3,1,3034,732
Fiala Kevin,LA,Player,16:23,0,0,0,-2,0,0,0,1,2511,803
Lizotte Blake,LA,Player,11:30,0,0,0,0,0,0,2,2,1333,1149
Anderson Mikey,LA,Player,17:36,0,1,0,-1,0,0,1,7,6513,1866
Kempe Adrian,LA,Player,17:49,1,1,0,-1,0,0,2,0,6129,2020
Bjornfot Tobias,LA,Player,22:30,0,0,0,0,0,0,0,6,6530,2222
Kaliyev Arthur,LA,Player,16:23,1,0,0,-1,0,0,2,2,6567,2354
Kupari Rasmus,LA,Player,14:27,0,1,0,0,0,0,1,3,6581,2405
Byfield Quinton,LA,Player,13:19,0,0,0,0,0,0,1,3,6582,2406
Arvidsson Viktor,LA,Player,15:17,1,0,0,-1,0,0,1,1,4310,4040
Danault Phillip,LA,Player,15:10,0,1,0,-1,0,0,2,1,5218,4101
Petersen Cal,LA,Goalie,40:00,-,0,0,-,6,0,23,-,2411,621
Copley Pheonix,LA,Goalie,19:44,-,0,0,-,2,0,15,-,5616,2479
