Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,22:48,1,0,0,1,0,0,7,3,4369,96
Chabot Thomas,OTT,Player,22:51,0,0,0,1,0,0,0,3,6067,343
Batherson Drake,OTT,Player,10:46,0,1,0,0,0,0,3,2,6270,452
Sanderson Jake,OTT,Player,22:44,0,0,0,0,0,0,1,1,6626,478
Formenton Alex,OTT,Player,15:36,1,0,0,0,0,0,3,1,5078,965
Joseph Mathieu,OTT,Player,15:57,0,1,0,0,0,0,1,1,6178,1208
Zub Artyom,OTT,Player,21:40,0,0,0,1,0,0,0,2,5298,2138
Norris Josh,OTT,Player,19:43,2,1,0,0,1,0,8,5,6533,2238
Stutzle Tim,OTT,Player,23:02,0,1,0,1,0,0,3,2,6534,2242
Holden Nick,OTT,Player,18:20,0,0,0,1,0,0,0,3,4405,2309
Pinto Shane,OTT,Player,10:31,1,0,0,1,0,0,1,0,6587,2421
Zaitsev Nikita,OTT,Player,18:56,0,0,0,1,0,0,0,4,2746,2442
Hamonic Travis,OTT,Player,15:29,0,1,0,0,0,0,0,2,5797,3535
DeBrincat Alex,OTT,Player,22:44,0,1,0,1,0,0,2,1,331,3711
Motte Tyler,OTT,Player,07:02,0,0,0,0,0,0,0,3,5938,3850
Watson Austin,OTT,Player,10:33,0,1,0,1,0,0,3,1,4657,3999
Giroux Claude,OTT,Player,11:49,0,1,0,0,0,0,2,0,3923,4237
Brassard Derrick,OTT,Player,09:29,0,1,0,1,0,0,3,2,5278,4283
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,2,0,14,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Suzuki Nick,MTL,Player,13:36,0,0,0,0,0,0,2,2,1922,191
Gallagher Brendan,MTL,Player,14:09,0,0,0,0,0,0,0,2,2699,308
Drouin Jonathan,MTL,Player,11:26,0,0,0,-1,0,0,1,1,2499,346
Anderson Josh,MTL,Player,20:36,1,0,0,0,0,0,3,6,4955,381
Guhle Kaiden,MTL,Player,10:50,0,0,0,-1,0,0,0,7,6615,405
Slafkovsky Juraj,MTL,Player,16:27,0,0,0,-2,0,0,2,3,6616,466
Dadonov Evgeny,MTL,Player,10:51,0,0,0,-3,0,0,0,0,4051,640
Savard David,MTL,Player,25:39,0,0,2,0,0,0,0,5,4423,707
Evans Jake,MTL,Player,12:04,0,1,0,1,0,0,0,0,3818,754
Matheson Michael,MTL,Player,18:08,0,0,0,-1,0,0,0,4,6057,846
Caufield Cole,MTL,Player,10:00,0,0,0,-1,0,0,1,2,6558,1110
Dach Kirby,MTL,Player,12:56,1,0,0,1,0,0,1,2,3937,1163
Monahan Sean,MTL,Player,16:17,0,0,0,-3,0,0,1,3,5281,1397
Edmundson Joel,MTL,Player,17:49,0,0,2,0,0,0,0,5,4557,1904
Dvorak Christian,MTL,Player,18:03,0,1,0,0,0,0,2,0,6034,2057
Hoffman Mike,MTL,Player,11:31,0,0,0,1,0,0,1,0,2611,3520
Wideman Chris,MTL,Player,23:16,0,0,0,-1,0,0,0,6,4184,4009
Bowey Madison,MTL,Player,27:20,0,0,0,0,0,0,0,8,6201,4553
Price Carey,MTL,Goalie,60:00,-,0,0,-,5,0,37,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
