Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Skinner Jeff,OTT,Player,24:06,0,1,0,-1,0,0,5,1,"",77
Chabot Thomas,OTT,Player,24:51,0,0,0,-1,0,0,0,3,6067,343
Sanderson Jake,OTT,Player,19:35,0,0,0,0,0,0,1,3,6626,478
Gambrell Dylan,OTT,Player,06:17,0,0,0,-1,0,0,0,0,3010,697
Atkinson Cam,OTT,Player,22:24,0,0,0,0,0,0,3,1,"",733
Kolesnikov Konstantin,OTT,Player,08:49,0,2,0,1,0,0,1,0,"",752
Formenton Alex,OTT,Player,11:00,1,1,0,0,0,0,1,1,5078,965
Joseph Mathieu,OTT,Player,06:21,0,0,0,-1,0,0,0,1,6178,1208
Zub Artyom,OTT,Player,24:01,0,0,0,0,0,0,0,2,5298,2138
Norris Josh,OTT,Player,21:37,0,0,0,0,0,0,1,0,6533,2238
Stutzle Tim,OTT,Player,23:41,0,0,0,0,0,0,4,3,6534,2242
Holden Nick,OTT,Player,22:04,0,0,2,-1,0,0,1,2,4405,2309
Pinto Shane,OTT,Player,12:05,1,1,0,1,0,0,3,0,6587,2421
Zaitsev Nikita,OTT,Player,21:37,0,0,0,-1,0,0,0,4,2746,2442
Stamkos Steven,OTT,Player,24:09,1,0,0,-1,0,0,6,2,"",3254
Hamonic Travis,OTT,Player,16:51,0,0,0,1,0,0,0,0,5797,3535
DeBrincat Alex,OTT,Player,17:18,0,1,0,0,0,0,0,0,331,3711
Motte Tyler,OTT,Player,05:42,0,0,0,0,0,0,0,0,5938,3850
Forsberg Anton,OTT,Goalie,64:07,-,0,0,-,4,0,27,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Smith Brendan,NJ,Player,22:44,0,1,0,0,0,0,0,6,1851,38
Haula Erik,NJ,Player,15:30,0,0,0,0,0,0,0,2,5356,74
Sharangovich Yegor,NJ,Player,15:55,0,1,0,3,0,0,3,2,1810,200
Hamilton Dougie,NJ,Player,28:07,0,0,0,-1,0,0,1,4,782,212
Zetterlund Fabian,NJ,Player,12:21,1,1,0,2,0,0,4,1,6629,375
Siegenthaler Jonas,NJ,Player,19:20,0,0,0,0,0,0,0,2,3442,512
Bratt Jesper,NJ,Player,28:19,0,0,0,-1,0,0,3,3,375,636
Graves Ryan,NJ,Player,17:53,1,1,2,2,0,0,1,4,4126,684
Tatar Tomas,NJ,Player,13:39,0,0,0,0,0,0,0,0,5524,695
Marino John,NJ,Player,13:33,0,1,0,2,0,0,0,2,3769,932
Hughes Jack,NJ,Player,28:49,0,0,0,-1,0,0,1,1,916,1222
Severson Damon,NJ,Player,27:54,0,0,0,-1,0,0,0,6,2492,1685
Bastian Nathan,NJ,Player,15:47,0,0,0,0,0,0,3,0,6514,2063
Mercer Dawson,NJ,Player,05:26,0,0,0,-1,0,0,0,1,6563,2223
Palat Ondrej,NJ,Player,20:56,0,0,0,-1,0,0,4,3,2871,2416
McLeod Michael,NJ,Player,05:43,0,0,0,-1,0,0,0,1,4939,3240
Wood Miles,NJ,Player,07:15,1,0,0,-1,0,0,3,0,5940,4242
Hischier Nico,NJ,Player,12:17,1,2,0,3,0,0,4,2,6163,4410
Blackwood Mackenzie,NJ,Goalie,64:07,-,0,0,-,3,0,26,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
