Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,27:35,0,1,0,-2,0,0,1,3,4369,96
Chabot Thomas,OTT,Player,30:05,0,0,2,-3,0,0,0,1,6067,343
Batherson Drake,OTT,Player,13:09,0,2,0,2,0,0,0,1,6270,452
Sanderson Jake,OTT,Player,21:40,0,0,0,1,0,0,0,4,6626,478
Formenton Alex,OTT,Player,12:51,1,0,0,1,0,0,6,1,5078,965
Joseph Mathieu,OTT,Player,13:04,0,1,0,0,0,0,0,2,6178,1208
Zub Artyom,OTT,Player,22:03,0,0,0,2,0,0,0,3,5298,2138
Norris Josh,OTT,Player,21:47,0,0,0,1,0,0,1,2,6533,2238
Stutzle Tim,OTT,Player,27:17,1,0,0,-3,0,0,4,1,6534,2242
Holden Nick,OTT,Player,11:11,0,1,0,2,0,0,0,1,4405,2309
Pinto Shane,OTT,Player,10:43,0,0,0,0,0,0,0,2,6587,2421
Zaitsev Nikita,OTT,Player,28:48,0,0,0,-1,0,0,0,4,2746,2442
Hamonic Travis,OTT,Player,10:32,0,0,0,-1,0,0,0,3,5797,3535
DeBrincat Alex,OTT,Player,18:56,0,1,2,-2,0,0,1,1,331,3711
Motte Tyler,OTT,Player,07:10,1,0,0,2,0,0,1,0,5938,3850
Watson Austin,OTT,Player,10:14,0,0,0,0,0,0,0,1,4657,3999
Giroux Claude,OTT,Player,10:28,1,0,0,2,0,0,1,2,3923,4237
Brassard Derrick,OTT,Player,10:33,0,0,0,0,0,0,0,0,5278,4283
Forsberg Anton,OTT,Goalie,64:31,-,0,0,-,5,0,33,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Ferland Michael,VAN,Player,04:54,0,0,0,-1,0,0,1,0,623,83
Horvat Bo,VAN,Player,16:53,1,1,0,1,0,0,2,3,2502,104
Ekman-Larsson Oliver,VAN,Player,29:23,0,0,0,3,0,0,0,8,2592,139
Garland Conor,VAN,Player,14:15,0,0,0,-2,0,0,2,3,2704,520
Poolman Tucker,VAN,Player,13:57,0,0,2,-1,0,0,1,3,6203,574
Highmore Matthew,VAN,Player,11:05,0,0,0,-1,0,0,2,1,1472,665
Stillman Riley,VAN,Player,21:28,0,0,2,-2,0,0,0,3,4268,719
Hughes Quinton,VAN,Player,23:39,0,2,0,1,0,0,2,2,1188,1210
Podkolzin Vasili,VAN,Player,13:17,0,1,0,1,0,0,4,0,5788,1577
Lazar Curtis,VAN,Player,16:17,0,0,2,-1,0,0,0,3,2496,2115
Miller J.T.,VAN,Player,30:34,0,2,0,1,0,0,3,0,3233,2378
Pettersson Elias,VAN,Player,19:13,1,1,0,1,0,0,7,1,6254,2525
Kuzmenko Andrei,VAN,Player,08:34,1,0,0,0,0,0,2,1,2462,2782
Myers Tyler,VAN,Player,21:54,0,2,0,0,0,0,0,3,1127,2893
Schenn Luke,VAN,Player,19:54,0,0,0,-1,0,0,0,6,237,3199
Pearson Tanner,VAN,Player,06:27,0,0,0,-1,0,0,1,0,3944,3524
Mikheyev Ilya,VAN,Player,05:15,0,0,0,-1,0,0,1,0,4751,3929
Boeser Brock,VAN,Player,26:36,2,0,0,2,1,0,5,0,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,64:03,-,0,0,-,4,0,15,-,5939,4241
