Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,20:52,1,2,0,1,0,0,1,1,4369,96
Chabot Thomas,OTT,Player,27:06,0,1,0,3,0,0,0,4,6067,343
Batherson Drake,OTT,Player,15:35,0,1,0,2,0,0,2,0,6270,452
Sanderson Jake,OTT,Player,21:23,0,0,0,-4,0,0,0,4,6626,478
Formenton Alex,OTT,Player,14:12,0,1,0,1,0,0,0,0,5078,965
Joseph Mathieu,OTT,Player,14:09,1,0,0,0,0,0,1,3,6178,1208
Zub Artyom,OTT,Player,16:13,0,0,0,0,0,0,0,1,5298,2138
Norris Josh,OTT,Player,19:47,0,1,0,0,0,0,0,0,6533,2238
Stutzle Tim,OTT,Player,20:06,1,1,0,1,0,0,2,4,6534,2242
Holden Nick,OTT,Player,19:45,0,0,0,2,0,0,0,2,4405,2309
Pinto Shane,OTT,Player,10:47,0,0,0,-2,0,0,1,0,6587,2421
Zaitsev Nikita,OTT,Player,21:13,0,1,0,3,0,0,0,1,2746,2442
Hamonic Travis,OTT,Player,15:20,0,0,0,-2,0,0,0,2,5797,3535
DeBrincat Alex,OTT,Player,19:59,1,1,0,1,0,0,3,0,331,3711
Motte Tyler,OTT,Player,07:51,1,0,0,1,0,0,2,3,5938,3850
Watson Austin,OTT,Player,10:48,0,0,0,-3,0,0,1,1,4657,3999
Giroux Claude,OTT,Player,16:18,1,0,0,2,0,0,3,1,3923,4237
Brassard Derrick,OTT,Player,10:47,0,0,0,-2,0,0,0,2,5278,4283
Forsberg Anton,OTT,Goalie,60:19,-,1,0,-,3,2,16,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Hagelin Carl,WSH,Player,08:49,0,0,0,0,0,0,1,0,1650,360
Ovechkin Alexander,WSH,Player,16:34,0,0,0,-2,0,0,3,2,3392,650
Backstrom Nicklas,WSH,Player,17:48,0,1,0,-3,0,0,0,2,3066,654
Gustafsson Erik,WSH,Player,18:45,0,0,0,0,0,0,0,4,5592,1753
Milano Sonny,WSH,Player,15:07,0,0,0,0,0,0,1,2,5124,1863
Strome Dylan,WSH,Player,12:58,2,0,0,0,0,0,3,0,1508,1925
Wilson Tom,WSH,Player,21:30,2,1,0,0,0,1,3,0,3194,2128
Irwin Matthew,WSH,Player,24:05,0,1,0,2,0,0,0,5,3503,2183
Fehervary Martin,WSH,Player,16:06,0,0,0,0,0,0,0,5,6598,2464
Aube-Kubel Nicolas,WSH,Player,07:13,0,0,0,0,0,0,0,2,3774,2530
Mantha Anthony,WSH,Player,09:58,0,0,0,0,0,0,2,1,5548,2690
Kuznetsov Evgeny,WSH,Player,23:02,1,1,0,2,0,1,3,0,4336,2909
Eller Lars,WSH,Player,10:21,0,0,0,0,0,0,2,1,4321,3035
Carlson John,WSH,Player,28:20,0,0,0,-1,0,0,0,8,4455,3124
Oshie T.J.,WSH,Player,18:55,0,0,0,-1,0,0,0,2,5408,3212
Orlov Dmitry,WSH,Player,22:38,0,0,2,-3,0,0,0,6,1905,3776
Sheary Conor,WSH,Player,09:57,0,0,0,0,0,0,0,3,648,4142
Jensen Nick,WSH,Player,15:59,0,0,0,0,0,0,0,2,4071,4325
Lindgren Charlie,WSH,Goalie,55:28,-,0,0,-,3,1,13,-,6083,236
Kuemper Darcy,WSH,Goalie,03:54,-,0,0,-,2,0,2,-,2785,429
