Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,22:10,0,1,0,0,0,0,0,2,2543,183
Cates Noah,PHI,Player,10:24,0,1,0,1,0,0,3,2,6625,338
Konecny Travis,PHI,Player,17:50,0,0,0,-1,0,0,3,1,6068,391
Garland Conor,PHI,Player,18:49,0,0,0,-1,0,0,2,3,2704,520
DeAngelo Anthony,PHI,Player,22:20,0,0,0,0,0,0,0,5,5961,573
Sedlak Lukas,PHI,Player,10:37,1,0,0,1,0,0,2,2,6073,610
Sedin Henrik,PHI,Player,15:40,0,0,0,-1,0,0,2,1,1795,759
Seeler Nick,PHI,Player,12:17,0,0,0,-1,0,0,0,4,3217,1375
Petry Jeff,PHI,Player,24:45,0,0,0,0,0,0,1,1,1116,1433
Laughton Scott,PHI,Player,15:26,0,0,0,-1,0,0,1,0,1055,2075
Morin Samuel,PHI,Player,15:09,0,0,0,-1,0,0,0,1,389,2143
Tippett Owen,PHI,Player,08:25,0,0,0,-2,0,0,2,0,6528,2215
Roslovic Jack,PHI,Player,23:51,1,0,0,0,0,0,7,1,3804,2225
Bunting Michael,PHI,Player,15:23,0,0,0,0,0,0,1,1,6597,2463
MacEwen Zack,PHI,Player,08:34,0,1,0,1,0,0,2,0,3423,2577
Van Riemsdyk James,PHI,Player,16:02,0,0,0,-2,0,0,2,0,2752,3033
Ristolainen Rasmus,PHI,Player,23:19,0,0,0,-2,0,0,2,4,3837,3376
Hayes Kevin,PHI,Player,18:46,0,1,0,-1,0,0,5,1,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,59:52,-,0,2,-,5,0,24,-,5616,2479
Zegras Trevor,ANA,Player,18:46,2,0,0,0,0,1,4,1,6553,22
Shattenkirk Kevin,ANA,Player,21:11,0,0,0,1,0,0,0,6,4438,172
Kulikov Dmitry,ANA,Player,22:58,0,0,0,-1,0,0,0,8,4685,272
Groulx Benoit-Olivier,ANA,Player,11:24,0,0,2,2,0,0,1,0,1457,295
Comtois Maxime,ANA,Player,18:58,0,0,0,1,0,0,2,1,4341,303
Henrique Adam,ANA,Player,15:32,1,0,0,1,0,0,3,1,837,320
Drysdale Jamie,ANA,Player,16:07,0,1,2,1,0,0,1,2,6570,406
Protas Alexei,ANA,Player,05:20,0,0,0,0,0,0,0,0,6357,1086
Terry Troy,ANA,Player,17:43,1,0,0,-1,1,0,4,0,1967,2146
Fowler Cam,ANA,Player,19:19,0,0,2,1,0,0,1,7,4436,2371
Grant Derek,ANA,Player,14:25,0,0,0,1,0,0,0,2,5353,2392
Leason Brett,ANA,Player,17:27,0,1,0,1,0,0,1,0,6600,2466
McTavish Mason,ANA,Player,16:55,0,1,0,-1,0,0,2,3,6601,2491
Benoit Simon,ANA,Player,17:40,0,0,0,1,0,0,0,6,3723,2670
Klingberg John,ANA,Player,21:01,0,3,0,0,0,0,0,9,2537,2843
Silfverberg Jakob,ANA,Player,13:41,1,0,0,2,0,0,2,3,1362,3143
Strome Ryan,ANA,Player,11:17,0,0,0,0,0,0,2,1,396,3219
Vatrano Frank,ANA,Player,05:15,0,0,0,0,0,0,1,2,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,2,0,35,-,2104,2896
