Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,20:35,0,0,0,-1,0,0,0,4,2543,183
Cates Noah,PHI,Player,13:55,0,0,0,-1,0,0,0,2,6625,338
Konecny Travis,PHI,Player,15:31,0,0,0,-1,0,0,1,1,6068,391
Garland Conor,PHI,Player,13:10,0,0,0,-5,0,0,0,0,"",520
DeAngelo Anthony,PHI,Player,19:57,0,0,0,-1,0,0,2,0,5961,573
Sedlak Lukas,PHI,Player,13:47,0,0,0,-1,0,0,1,1,6073,610
Sedin Henrik,PHI,Player,15:12,0,1,0,0,0,0,2,1,"",759
Seeler Nick,PHI,Player,16:12,0,1,0,0,0,0,0,4,3217,1375
Petry Jeff,PHI,Player,24:14,0,0,0,-6,0,0,1,2,"",1433
Laughton Scott,PHI,Player,16:41,0,0,0,-4,0,0,2,1,1055,2075
Morin Samuel,PHI,Player,23:13,0,0,0,-5,0,0,0,2,389,2143
Tippett Owen,PHI,Player,15:29,0,0,0,1,0,0,3,2,6528,2215
Roslovic Jack,PHI,Player,16:01,0,0,0,-1,0,0,1,1,"",2225
Bunting Michael,PHI,Player,14:14,0,0,0,-4,0,0,0,1,"",2463
MacEwen Zack,PHI,Player,15:20,0,0,0,-1,0,0,1,2,3423,2577
Van Riemsdyk James,PHI,Player,16:20,1,0,0,0,0,0,1,2,2752,3033
Ristolainen Rasmus,PHI,Player,15:49,0,0,0,1,0,0,0,1,3837,3376
Hayes Kevin,PHI,Player,14:32,0,0,0,-1,0,0,3,2,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,59:48,-,0,0,-,7,0,43,-,"",2479
Pacioretty Max,ATL,Player,16:35,1,0,0,1,0,0,6,2,762,42
Ehlers Nikolaj,ATL,Player,16:22,1,1,0,3,0,0,5,2,4141,257
Harkins Jansen,ATL,Player,11:23,0,1,0,1,0,0,2,1,2944,569
Scheifele Mark,ATL,Player,17:49,0,1,0,1,0,0,0,0,5341,581
Lowry Adam,ATL,Player,10:02,0,0,0,1,0,0,0,0,2504,624
Stenlund Kevin,ATL,Player,16:18,0,1,0,1,0,0,3,0,6164,660
Barron Morgan,ATL,Player,16:23,2,0,0,1,0,0,6,3,6631,708
Morrissey Josh,ATL,Player,17:50,0,0,0,1,0,0,0,4,6077,878
Skeji Brady,ATL,Player,18:56,0,1,0,3,0,0,1,3,1132,1228
Stanley Logan,ATL,Player,20:22,0,0,0,4,0,0,0,4,6539,2259
Pionk Neal,ATL,Player,19:08,0,0,0,1,0,0,2,5,2102,2267
Veleno Joe,ATL,Player,11:15,0,0,0,1,0,0,1,0,5059,2363
Raymond Lucas,ATL,Player,17:52,0,0,0,1,0,0,4,1,6568,2364
Pysyk Mark,ATL,Player,21:56,1,1,0,2,0,0,3,3,4406,2433
Perfetti Cole,ATL,Player,15:46,2,1,0,3,0,0,5,1,6602,2495
Pettersson Elias,ATL,Player,14:35,0,3,0,3,0,0,3,0,6254,2525
Beaulieu Nathan,ATL,Player,21:48,0,0,0,1,0,0,0,6,4220,3179
Appleton Mason,ATL,Player,15:40,0,2,0,1,0,0,2,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,1,0,18,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
