Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Couturier Sean,PHI,Player,15:15,0,0,0,-2,0,0,1,1,493,181
Provorov Ivan,PHI,Player,14:13,0,0,0,-4,0,0,0,0,2543,183
Cates Noah,PHI,Player,13:13,0,0,0,-5,0,0,0,0,6625,338
Ellis Ryan,PHI,Player,26:12,0,0,0,-4,0,0,0,10,3247,350
Konecny Travis,PHI,Player,19:37,0,0,0,-2,0,0,1,0,6068,391
Braun Justin,PHI,Player,16:40,0,0,0,-4,0,0,0,5,3564,547
DeAngelo Anthony,PHI,Player,23:42,0,0,0,-5,0,0,0,7,5961,573
Sedlak Lukas,PHI,Player,11:16,0,0,0,-6,0,0,1,2,6073,610
Atkinson Cam,PHI,Player,20:13,0,0,0,-2,0,0,1,0,3496,733
Farabee Joel,PHI,Player,13:08,0,0,0,-2,0,0,1,0,3331,1157
Seeler Nick,PHI,Player,19:38,0,0,0,-2,0,0,1,1,3217,1375
Brown Patrick,PHI,Player,16:30,0,0,0,-2,0,0,1,1,5121,1856
Laughton Scott,PHI,Player,14:59,0,0,0,-2,0,0,0,1,1055,2075
Tippett Owen,PHI,Player,13:24,0,0,0,-1,0,0,0,0,6528,2215
MacEwen Zack,PHI,Player,09:53,0,0,0,-6,0,0,0,3,3423,2577
Van Riemsdyk James,PHI,Player,14:02,0,0,0,-2,0,0,2,1,2752,3033
Ristolainen Rasmus,PHI,Player,19:35,0,0,0,-3,0,0,0,3,3837,3376
Hayes Kevin,PHI,Player,18:38,1,0,0,-1,0,0,2,1,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Hart Carter,PHI,Goalie,59:52,-,0,0,-,12,0,34,-,1528,1209
Kane Patrick,CHI,Player,16:30,1,1,0,3,0,0,1,1,5160,151
Toews Jonathan,CHI,Player,16:36,1,2,0,3,0,0,2,1,5161,152
Johnson Jack,CHI,Player,18:15,0,1,0,2,0,0,0,3,1232,285
Jones Seth,CHI,Player,27:03,0,1,0,6,0,0,3,5,4044,424
Kurashev Philipp,CHI,Player,18:33,0,0,0,1,0,0,2,2,1698,542
Connolly Brett,CHI,Player,09:04,3,0,0,4,0,0,4,0,2688,584
Jones Caleb,CHI,Player,14:42,0,1,0,3,0,0,0,2,2949,712
Murphy Connor,CHI,Player,25:24,0,1,0,6,0,0,0,4,289,1842
Johnson Tyler,CHI,Player,15:32,1,1,0,3,0,0,2,0,892,2411
Tinordi Jarred,CHI,Player,19:43,0,0,0,2,0,0,2,0,2087,2435
Katchouk Boris,CHI,Player,16:09,1,0,0,1,0,0,1,1,6594,2457
Raddysh Taylor,CHI,Player,15:53,2,1,0,3,0,0,5,0,6595,2458
Blackwell Colin,CHI,Player,16:56,0,0,0,1,0,0,0,0,3751,2663
McCabe Jake,CHI,Player,14:53,0,1,0,3,0,0,0,3,5306,3478
Domi Max,CHI,Player,16:38,2,2,0,3,0,0,4,0,2552,4013
Khaira Jujhar,CHI,Player,10:56,0,4,0,4,0,0,1,0,4766,4033
Athanasiou Andreas,CHI,Player,15:59,0,2,0,3,0,0,5,1,5664,4103
Dickinson Jason,CHI,Player,11:14,1,2,0,4,0,0,2,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,1,0,11,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
