Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Couturier Sean,PHI,Player,15:25,0,0,0,-1,0,0,3,0,493,181
Provorov Ivan,PHI,Player,18:02,0,1,0,-1,0,0,0,5,2543,183
Cates Noah,PHI,Player,11:50,1,2,0,3,0,0,3,0,6625,338
Ellis Ryan,PHI,Player,24:56,0,0,0,3,0,0,0,7,3247,350
Konecny Travis,PHI,Player,16:47,1,0,0,0,0,0,1,1,6068,391
Braun Justin,PHI,Player,19:33,0,2,0,0,0,0,0,3,3564,547
DeAngelo Anthony,PHI,Player,25:28,1,0,0,3,0,0,1,2,5961,573
Sedlak Lukas,PHI,Player,11:46,0,3,0,3,0,0,2,0,6073,610
Atkinson Cam,PHI,Player,16:14,0,0,0,0,0,0,0,1,3496,733
Farabee Joel,PHI,Player,15:15,1,0,0,-1,0,0,3,0,3331,1157
Seeler Nick,PHI,Player,15:01,0,0,0,0,0,0,0,3,3217,1375
Brown Patrick,PHI,Player,15:47,0,0,0,-1,0,0,1,1,5121,1856
Laughton Scott,PHI,Player,16:50,0,2,0,1,0,0,1,2,1055,2075
Tippett Owen,PHI,Player,16:19,1,0,0,1,0,0,2,0,6528,2215
MacEwen Zack,PHI,Player,11:38,1,1,0,3,0,0,3,2,3423,2577
Van Riemsdyk James,PHI,Player,16:06,2,0,0,1,0,0,5,3,2752,3033
Ristolainen Rasmus,PHI,Player,17:00,0,3,0,1,0,0,0,2,3837,3376
Hayes Kevin,PHI,Player,16:48,0,1,0,0,0,0,2,3,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Hart Carter,PHI,Goalie,59:13,-,0,2,-,6,0,24,-,1528,1209
Landeskog Gabriel,COL,Player,17:27,0,0,0,0,0,0,7,0,1157,105
Nichushkin Valery,COL,Player,15:38,1,1,0,0,0,0,2,1,2145,258
Cogliano Andrew,COL,Player,14:52,0,2,0,-2,0,0,0,4,5163,259
Galchenyuk Alex,COL,Player,12:53,0,0,0,-2,0,0,2,0,1690,281
Johnson Erik,COL,Player,22:38,0,0,0,0,0,0,0,4,5288,544
MacKinnon Nathan,COL,Player,17:32,1,0,0,0,0,0,1,3,3917,599
Makar Cale,COL,Player,22:56,0,0,0,0,0,0,0,9,4146,683
MacDermid Kurtis,COL,Player,17:22,1,0,0,-1,1,0,1,4,1114,747
Toews Devon,COL,Player,17:05,0,1,0,0,0,0,0,5,3708,854
Lehkonen Artturi,COL,Player,14:48,0,2,0,1,0,0,2,0,3216,1447
Newhook Alex,COL,Player,15:21,1,1,0,0,0,0,3,2,6560,1456
Rantanen Mikko,COL,Player,17:44,0,0,0,0,0,0,0,2,5444,1683
O'Connor Logan,COL,Player,14:27,2,0,0,-1,0,0,4,0,6576,2388
Rodrigues Evan,COL,Player,14:22,0,0,0,-2,0,0,0,2,6126,2650
Manson Josh,COL,Player,20:00,0,0,0,-2,0,0,0,7,5585,3493
Compher J.T.,COL,Player,12:45,0,2,0,-1,0,0,1,0,5937,3848
Helm Darren,COL,Player,12:11,0,0,0,-2,0,0,1,3,5382,4289
Girard Samuel,COL,Player,19:59,0,1,0,-3,0,0,0,7,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,1,0,-,8,0,27,-,2460,341
