Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,20:10,0,0,0,-2,0,0,0,0,2543,183
Cates Noah,PHI,Player,13:45,0,0,0,-2,0,0,1,1,6625,338
Konecny Travis,PHI,Player,16:28,1,0,0,0,0,0,3,1,6068,391
Garland Conor,PHI,Player,17:15,1,0,0,-1,0,0,2,1,2704,520
DeAngelo Anthony,PHI,Player,19:53,0,0,0,-2,0,0,0,0,5961,573
Sedlak Lukas,PHI,Player,16:39,0,0,0,-2,0,0,0,3,6073,610
Sedin Henrik,PHI,Player,11:11,0,0,0,-1,0,0,1,0,1795,759
Seeler Nick,PHI,Player,16:44,0,0,0,-1,0,0,0,2,3217,1375
Petry Jeff,PHI,Player,20:33,0,0,2,-1,0,0,0,2,1116,1433
Laughton Scott,PHI,Player,16:08,0,1,0,-1,0,0,0,2,1055,2075
Morin Samuel,PHI,Player,23:06,0,0,0,-1,0,0,1,2,389,2143
Tippett Owen,PHI,Player,12:55,0,0,0,-1,0,0,0,0,6528,2215
Roslovic Jack,PHI,Player,15:52,0,1,0,0,0,0,0,1,3804,2225
Bunting Michael,PHI,Player,15:34,0,0,0,-1,0,0,0,0,6597,2463
MacEwen Zack,PHI,Player,13:40,0,0,0,-2,0,0,1,1,3423,2577
Van Riemsdyk James,PHI,Player,13:55,0,0,0,-1,0,0,1,1,2752,3033
Ristolainen Rasmus,PHI,Player,19:34,0,0,0,-1,0,0,0,2,3837,3376
Hayes Kevin,PHI,Player,16:20,0,1,0,0,0,0,2,3,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,0,0,-,6,0,27,-,5616,2479
Schneider Braden,NYR,Player,10:45,0,0,0,2,0,0,0,3,6627,64
Zibanejad Mika,NYR,Player,14:04,0,1,0,0,0,0,0,3,2170,108
Marner Mitchell,NYR,Player,13:49,1,1,0,0,0,0,3,2,6033,348
Harpur Ben,NYR,Player,08:46,0,0,0,2,0,0,0,5,6628,575
Blais Sam,NYR,Player,08:45,0,1,0,1,0,0,1,1,6207,639
Lindgren Ryan,NYR,Player,28:02,0,0,0,1,0,0,0,3,3870,855
Kakko Kaapo,NYR,Player,07:13,1,0,0,1,0,0,1,1,4419,863
Kravtsov Vitali,NYR,Player,23:43,0,0,0,1,0,0,2,0,6192,948
Fox Adam,NYR,Player,28:20,0,1,0,1,0,0,0,10,1181,1227
Vesey Jimmy,NYR,Player,14:34,2,0,0,2,0,0,2,2,6032,1596
Miller K’andre,NYR,Player,22:54,0,0,0,1,0,0,0,4,2796,2118
Lafreniere Alexis,NYR,Player,22:32,1,0,0,1,0,0,4,3,6516,2135
Chytil Filip,NYR,Player,15:23,0,2,0,2,0,0,1,2,2026,2350
Trouba Jacob,NYR,Player,20:55,0,0,0,1,0,0,2,3,1743,2659
Goodrow Barclay,NYR,Player,08:49,0,1,0,1,0,0,1,1,2539,3211
Trocheck Vincent,NYR,Player,21:44,0,1,0,1,0,0,3,5,3671,3527
Kreider Chris,NYR,Player,14:30,1,1,0,0,0,0,3,1,2968,3752
Carpenter Ryan,NYR,Player,15:12,0,2,0,2,0,0,4,0,2797,4157
Jarry Tristan,NYR,Goalie,60:00,-,0,0,-,2,0,12,-,6137,634
Shestyorkin Igor,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,5584,2237
