Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,19:09,0,0,0,-1,0,0,0,1,2543,183
Cates Noah,PHI,Player,14:45,2,0,0,1,0,0,3,2,6625,338
Konecny Travis,PHI,Player,18:01,1,0,0,-1,0,0,2,1,6068,391
Garland Conor,PHI,Player,11:37,1,0,0,-2,0,0,2,0,2704,520
DeAngelo Anthony,PHI,Player,17:44,0,0,0,-1,0,0,0,1,5961,573
Sedlak Lukas,PHI,Player,14:42,0,1,0,1,0,0,5,1,6073,610
Sedin Henrik,PHI,Player,13:17,1,0,0,0,0,0,2,3,1795,759
Seeler Nick,PHI,Player,18:06,0,1,0,1,0,0,0,0,3217,1375
Petry Jeff,PHI,Player,23:26,0,0,0,-2,0,0,0,2,1116,1433
Laughton Scott,PHI,Player,14:49,0,1,0,-3,0,0,2,0,1055,2075
Morin Samuel,PHI,Player,22:45,0,1,0,-3,0,0,0,1,389,2143
Tippett Owen,PHI,Player,18:52,0,1,0,-2,0,0,1,5,6528,2215
Roslovic Jack,PHI,Player,18:38,0,1,0,-1,0,0,0,1,3804,2225
Bunting Michael,PHI,Player,12:10,0,0,0,-2,0,0,0,0,6597,2463
MacEwen Zack,PHI,Player,10:53,0,2,0,2,0,0,1,1,3423,2577
Van Riemsdyk James,PHI,Player,15:04,0,0,0,-1,0,0,1,1,2752,3033
Ristolainen Rasmus,PHI,Player,18:50,0,1,0,0,0,0,1,3,3837,3376
Hayes Kevin,PHI,Player,17:12,0,0,0,-1,0,0,2,0,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,1,0,-,8,0,28,-,5616,2479
Skinner Jeff,OTT,Player,21:51,1,1,0,0,0,0,6,0,2848,77
Chabot Thomas,OTT,Player,27:55,0,0,0,2,0,0,0,7,6067,343
Sanderson Jake,OTT,Player,17:26,0,1,0,1,0,0,0,2,6626,478
Gambrell Dylan,OTT,Player,06:03,1,1,0,2,0,0,1,1,3010,697
Atkinson Cam,OTT,Player,11:27,1,1,0,0,0,0,2,0,3496,733
Kolesnikov Konstantin,OTT,Player,14:51,0,1,0,1,0,0,4,1,4171,752
Formenton Alex,OTT,Player,17:53,2,0,0,1,0,0,4,1,5078,965
Joseph Mathieu,OTT,Player,07:08,1,0,0,2,0,0,1,0,6178,1208
Zub Artyom,OTT,Player,14:39,0,0,0,0,0,0,0,4,5298,2138
Norris Josh,OTT,Player,16:10,1,1,0,0,0,0,2,1,6533,2238
Stutzle Tim,OTT,Player,16:32,0,2,0,0,0,0,2,2,6534,2242
Holden Nick,OTT,Player,13:57,0,0,0,0,0,0,0,2,4405,2309
Pinto Shane,OTT,Player,16:52,0,1,0,1,0,0,1,0,6587,2421
Zaitsev Nikita,OTT,Player,30:03,0,0,0,2,0,0,0,6,2746,2442
Stamkos Steven,OTT,Player,20:33,1,1,0,0,0,0,4,2,240,3254
Hamonic Travis,OTT,Player,16:00,0,0,0,1,0,0,0,2,5797,3535
DeBrincat Alex,OTT,Player,23:37,0,1,0,0,0,0,1,0,331,3711
Motte Tyler,OTT,Player,07:03,0,1,0,2,0,0,0,1,5938,3850
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,5,0,22,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
