Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,19:52,0,2,0,1,0,0,0,3,2543,183
Cates Noah,PHI,Player,11:11,0,0,0,0,0,0,1,0,6625,338
Konecny Travis,PHI,Player,16:31,1,0,0,1,0,0,1,1,6068,391
Garland Conor,PHI,Player,18:38,0,1,0,1,0,0,1,5,2704,520
DeAngelo Anthony,PHI,Player,23:32,0,3,0,2,0,0,0,1,5961,573
Sedlak Lukas,PHI,Player,15:44,0,0,0,0,0,0,4,1,6073,610
Sedin Henrik,PHI,Player,13:57,1,0,0,1,1,0,1,2,1795,759
Seeler Nick,PHI,Player,17:56,0,0,2,1,0,0,0,2,3217,1375
Petry Jeff,PHI,Player,21:19,0,0,0,2,0,0,0,3,1116,1433
Laughton Scott,PHI,Player,14:48,1,1,0,2,0,0,2,1,1055,2075
Morin Samuel,PHI,Player,15:30,0,0,0,1,0,0,0,2,389,2143
Tippett Owen,PHI,Player,11:40,0,0,0,0,0,0,1,1,6528,2215
Roslovic Jack,PHI,Player,13:22,0,0,0,1,0,0,2,2,3804,2225
Bunting Michael,PHI,Player,14:04,2,0,0,2,0,0,3,2,6597,2463
MacEwen Zack,PHI,Player,11:01,0,0,0,0,0,0,2,0,3423,2577
Van Riemsdyk James,PHI,Player,12:55,0,0,0,-1,0,0,3,1,2752,3033
Ristolainen Rasmus,PHI,Player,22:10,0,0,0,0,0,0,0,2,3837,3376
Hayes Kevin,PHI,Player,20:50,2,0,0,1,0,0,7,2,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,0,0,-,3,0,32,-,5616,2479
Iafallo Alex,PIT,Player,09:23,0,0,0,-1,0,0,4,0,6121,58
Tkachuk Brady,PIT,Player,23:16,1,0,0,-3,0,0,4,1,4369,96
Ellis Ryan,PIT,Player,17:39,0,0,0,-1,0,0,1,0,3247,350
Necas Martin,PIT,Player,17:33,0,0,0,-3,0,0,0,1,751,377
Letang Kris,PIT,Player,23:49,0,1,0,-1,0,0,0,3,1716,501
Rakell Rickard,PIT,Player,14:52,1,0,0,0,0,0,4,0,1276,526
Backstrom Nicklas,PIT,Player,22:09,0,1,0,-2,0,0,4,1,3066,654
Caggiula Drake,PIT,Player,10:11,0,0,0,1,0,0,1,0,6074,704
Dumoulin Brian,PIT,Player,19:19,0,0,0,1,0,0,1,0,2750,749
Heinen Danton,PIT,Player,14:27,0,0,0,-2,0,0,1,0,6080,1100
Hughes Quinton,PIT,Player,15:49,0,1,0,-3,0,0,1,0,1188,1210
Pettersson Marcus,PIT,Player,22:32,0,0,0,-1,0,0,0,2,3150,1594
Werenski Zach,PIT,Player,24:47,0,0,2,-1,0,0,2,2,6037,2322
Archibald Josh,PIT,Player,09:45,1,0,0,1,0,0,4,0,6136,3432
Boyle Brian,PIT,Player,13:04,0,0,0,0,0,0,0,0,3830,4222
Brassard Derrick,PIT,Player,17:23,0,1,0,-2,0,0,2,0,5278,4283
Kapanen Kasperi,PIT,Player,09:22,0,0,0,1,0,0,2,0,991,4360
Blugers Teodors,PIT,Player,09:42,0,1,0,1,0,0,1,0,341,4454
Halak Jaroslav,PIT,Goalie,60:00,-,1,0,-,7,0,28,-,1277,326
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
