Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,18:28,0,0,0,-5,0,0,0,5,2543,183
Cates Noah,PHI,Player,10:12,0,0,2,0,0,0,1,0,6625,338
Konecny Travis,PHI,Player,12:02,0,0,0,-5,0,0,2,1,6068,391
Garland Conor,PHI,Player,15:22,1,0,0,-2,0,0,4,2,2704,520
DeAngelo Anthony,PHI,Player,25:46,0,0,0,-5,0,0,0,5,5961,573
Sedlak Lukas,PHI,Player,19:24,0,0,0,0,0,0,3,6,6073,610
Sedin Henrik,PHI,Player,12:34,0,0,2,-1,0,0,4,2,1795,759
Seeler Nick,PHI,Player,19:57,0,0,0,-1,0,0,0,1,3217,1375
Petry Jeff,PHI,Player,16:42,0,1,0,-3,0,0,1,2,1116,1433
Laughton Scott,PHI,Player,17:56,0,1,0,-3,0,0,3,2,1055,2075
Morin Samuel,PHI,Player,16:36,0,0,0,-2,0,0,0,2,389,2143
Tippett Owen,PHI,Player,10:27,0,0,0,0,0,0,0,0,6528,2215
Roslovic Jack,PHI,Player,12:05,0,0,0,-5,0,0,2,1,3804,2225
Bunting Michael,PHI,Player,16:20,0,0,0,-2,0,0,2,0,6597,2463
MacEwen Zack,PHI,Player,12:04,0,0,0,0,0,0,2,1,3423,2577
Van Riemsdyk James,PHI,Player,11:24,0,0,0,0,0,0,0,1,2752,3033
Ristolainen Rasmus,PHI,Player,22:38,0,0,0,-1,0,0,0,4,3837,3376
Hayes Kevin,PHI,Player,20:08,0,0,0,-5,0,0,2,4,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,0,2,-,11,0,28,-,5616,2479
Nylander William,TOR,Player,12:14,1,2,0,2,0,0,2,0,1498,646
Engvall Pierre,TOR,Player,16:01,1,1,0,1,0,0,7,0,3511,947
Liljegren Timothy,TOR,Player,17:29,1,1,0,4,1,0,1,3,5449,953
Kampf David,TOR,Player,17:28,1,1,0,1,0,0,3,1,6153,1102
Farabee Joel,TOR,Player,20:24,0,4,0,4,0,0,1,1,3331,1157
Muzzin Jake,TOR,Player,18:51,0,1,0,2,0,0,0,4,2862,1186
Brown Patrick,TOR,Player,08:55,0,0,0,0,0,0,0,1,5121,1856
Rielly Morgan,TOR,Player,19:44,0,1,0,5,0,0,0,1,5557,2086
Toninato Dominic,TOR,Player,10:37,0,0,0,0,0,0,1,0,1633,2188
Zadina Filip,TOR,Player,09:59,0,0,0,0,0,0,0,0,633,2287
Jarnkrok Calle,TOR,Player,18:03,0,1,0,1,0,0,0,1,459,2396
Brodie T.J.,TOR,Player,28:34,0,1,0,2,0,0,0,4,1063,2864
Giordano Mark,TOR,Player,21:25,0,1,0,1,0,0,0,3,3327,2964
Tavares John,TOR,Player,13:45,1,1,0,3,0,0,2,0,719,3008
Panarin Artemi,TOR,Player,20:04,4,2,0,5,1,0,7,1,1917,3139
Matthews Auston,TOR,Player,18:10,1,3,0,4,0,0,2,3,3082,3250
Holl Justin,TOR,Player,13:57,0,0,0,2,0,0,0,2,5988,4271
Kerfoot Alex,TOR,Player,14:20,1,2,0,3,0,0,2,1,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,0,0,-,1,0,26,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
