Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,24:32,0,2,0,-1,0,0,1,5,2543,183
Cates Noah,PHI,Player,11:31,0,2,0,-1,0,0,0,0,6625,338
Ellis Ryan,PHI,Player,16:19,0,0,0,-4,0,0,0,2,3247,350
Konecny Travis,PHI,Player,14:38,0,0,0,-2,0,0,0,1,6068,391
Garland Conor,PHI,Player,14:21,0,0,0,-2,0,0,0,1,2704,520
Braun Justin,PHI,Player,24:16,1,0,0,-1,0,0,1,6,3564,547
DeAngelo Anthony,PHI,Player,18:34,0,0,0,-4,0,0,1,6,5961,573
Sedlak Lukas,PHI,Player,11:57,1,0,0,-1,0,0,3,1,6073,610
Simmonds Wayne,PHI,Player,13:49,0,0,0,0,0,0,0,0,"",1200
Seeler Nick,PHI,Player,17:10,0,1,0,1,0,0,0,1,3217,1375
Laughton Scott,PHI,Player,15:46,0,1,0,-1,0,0,0,2,1055,2075
Tippett Owen,PHI,Player,17:40,0,1,0,-1,0,0,1,1,6528,2215
Roslovic Jack,PHI,Player,16:36,0,1,0,0,0,0,3,1,"",2225
Bunting Michael,PHI,Player,16:18,1,0,0,0,0,0,1,1,"",2463
MacEwen Zack,PHI,Player,14:10,1,0,0,-1,0,0,3,1,3423,2577
Van Riemsdyk James,PHI,Player,17:33,1,0,0,-1,0,0,4,0,2752,3033
Ristolainen Rasmus,PHI,Player,19:09,0,1,0,1,0,0,0,4,3837,3376
Hayes Kevin,PHI,Player,15:41,0,0,0,-2,0,0,3,0,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,0,0,-,9,0,26,-,"",2479
Horvat Bo,VAN,Player,15:24,0,0,0,0,0,0,0,0,2502,104
Ekman-Larsson Oliver,VAN,Player,20:41,0,0,0,1,0,0,0,4,2592,139
Couturier Sean,VAN,Player,11:48,2,2,0,2,0,0,3,1,493,181
Malkin Evgeni,VAN,Player,15:58,1,0,0,0,0,0,2,2,1703,502
Poolman Tucker,VAN,Player,12:11,0,0,0,2,0,0,0,2,6203,574
Highmore Matthew,VAN,Player,15:29,2,0,0,1,0,0,2,3,1472,665
Stillman Riley,VAN,Player,12:17,0,1,0,2,0,0,0,2,4268,719
Bear Ethan,VAN,Player,20:40,0,0,0,1,0,0,0,5,5987,1188
Podkolzin Vasili,VAN,Player,12:41,0,3,0,2,0,0,1,2,5788,1577
Lazar Curtis,VAN,Player,16:13,0,3,0,1,0,0,2,0,2496,2115
Hoglander Nils,VAN,Player,14:47,0,2,0,1,0,0,2,2,6521,2178
Miller J.T.,VAN,Player,16:35,0,1,0,1,0,0,0,3,3233,2378
Kuzmenko Andrei,VAN,Player,17:38,1,1,0,-1,0,0,4,2,2462,2782
Myers Tyler,VAN,Player,27:09,0,1,0,1,0,0,1,7,1127,2893
Schenn Luke,VAN,Player,27:02,0,0,0,1,0,0,0,6,237,3199
Connor Kyle,VAN,Player,15:56,1,0,0,1,0,0,6,2,5936,3847
Mikheyev Ilya,VAN,Player,11:39,2,1,0,3,0,0,2,2,4751,3929
Boeser Brock,VAN,Player,15:52,0,0,0,1,0,0,1,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,1,0,-,5,0,21,-,5939,4241
