Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Provorov Ivan,PHI,Player,27:15,0,0,0,2,0,0,0,3,2543,183
Cates Noah,PHI,Player,16:07,0,0,0,-2,0,0,2,0,6625,338
Konecny Travis,PHI,Player,12:38,0,3,0,2,0,0,0,1,6068,391
Garland Conor,PHI,Player,13:57,0,0,0,-1,0,0,2,0,2704,520
DeAngelo Anthony,PHI,Player,26:52,0,1,0,1,0,0,1,3,5961,573
Sedlak Lukas,PHI,Player,15:56,0,0,0,-1,0,0,3,2,6073,610
Sedin Henrik,PHI,Player,15:24,0,0,0,-1,0,0,1,3,1795,759
Seeler Nick,PHI,Player,17:17,0,0,0,-2,0,0,1,2,3217,1375
Petry Jeff,PHI,Player,16:54,0,0,0,-1,0,0,1,4,1116,1433
Laughton Scott,PHI,Player,14:03,0,0,0,-1,0,0,1,1,1055,2075
Morin Samuel,PHI,Player,15:28,0,0,0,-1,0,0,0,2,389,2143
Tippett Owen,PHI,Player,13:42,0,0,0,0,0,0,4,2,6528,2215
Roslovic Jack,PHI,Player,15:45,1,1,0,2,0,0,3,1,3804,2225
Bunting Michael,PHI,Player,16:20,0,0,0,-1,0,0,1,0,6597,2463
MacEwen Zack,PHI,Player,16:36,0,0,0,-2,0,0,1,1,3423,2577
Van Riemsdyk James,PHI,Player,14:55,0,0,0,0,0,0,2,2,2752,3033
Ristolainen Rasmus,PHI,Player,16:14,0,0,0,-1,0,0,0,0,3837,3376
Hayes Kevin,PHI,Player,15:15,2,1,0,2,0,0,6,1,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,59:22,-,0,0,-,4,0,20,-,5616,2479
Kessel Phil,WOF,Player,21:20,0,0,0,-2,0,0,4,2,534,45
McNabb Brayden,WOF,Player,18:42,0,0,0,-2,0,0,0,2,1752,369
Amadio Michael,WOF,Player,14:35,1,0,0,1,0,0,3,0,3947,736
Howden Brett,WOF,Player,12:02,0,0,0,1,0,0,1,0,2471,867
Carrier William,WOF,Player,11:45,0,0,0,1,0,0,2,0,6095,930
Hague Nicolas,WOF,Player,25:30,0,1,0,2,0,0,0,3,5488,961
Smith Reilly,WOF,Player,11:35,1,0,0,1,0,0,2,1,3007,2049
Coghlan Dylan,WOF,Player,15:48,0,0,0,1,0,0,0,2,6538,2256
Marchessault Jonathan,WOF,Player,21:38,0,0,0,-2,0,0,0,2,3137,2310
Martinez Alec,WOF,Player,17:45,0,0,0,1,0,0,0,1,4236,2365
Stone Mark,WOF,Player,15:05,1,0,0,1,0,0,1,3,2036,2389
Roy Nicolas,WOF,Player,13:05,0,1,0,1,0,0,1,2,1223,2651
Eichel Jack,WOF,Player,19:40,0,0,0,-2,0,0,0,2,3513,3151
Karlsson William,WOF,Player,14:15,0,1,0,1,0,0,1,1,4720,3501
Theodore Shea,WOF,Player,24:07,0,1,0,2,0,0,0,4,1674,3810
Pietrangelo Alex,WOF,Player,18:08,0,0,0,-2,0,0,3,0,2185,4012
Stephenson Chandler,WOF,Player,13:00,0,2,0,1,0,0,0,0,4995,4026
Kolesar Keegan,WOF,Player,12:00,1,1,0,1,0,0,2,1,6200,4551
Brossoit Laurent,WOF,Goalie,60:00,-,1,0,-,3,0,29,-,2916,177
Lehner Robin,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2708,3541
